ExpID,y(CO),y(CO2),CO2+CO,CO2/(CO+CO2),y(H2),CO+CO2/H2,y(H2O),vacant,H,OH,CH3O,HCOO
CO_CO2_ratio_ExpID_11,2.00E-01,0.00E+00,0.2,0.00E+00,0.8,0.20/0.80,0.00E+00,5.22E-01,2.02E-01,1.03E-16,2.76E-01,2.62E-17
CO_CO2_ratio_ExpID_12,0.00E+00,2.00E-01,0.2,1.00E+00,0.75,0.20/0.75/0.05,5.00E-02,4.20E-01,1.56E-01,5.20E-02,2.20E-01,1.50E-01
CO_CO2_ratio_ExpID_13,2.00E-02,1.80E-01,0.2,9.00E-01,0.75,0.20/0.75/0.05,5.00E-02,4.26E-01,1.59E-01,4.75E-02,2.27E-01,1.40E-01
CO_CO2_ratio_ExpID_14,4.00E-02,1.60E-01,0.2,8.00E-01,0.75,0.20/0.75/0.05,5.00E-02,4.33E-01,1.61E-01,4.35E-02,2.33E-01,1.30E-01
CO_CO2_ratio_ExpID_15,6.00E-02,1.40E-01,0.2,7.00E-01,0.75,0.20/0.75/0.05,5.00E-02,4.40E-01,1.65E-01,4.00E-02,2.36E-01,1.18E-01
CO_CO2_ratio_ExpID_16,8.00E-02,1.20E-01,0.2,6.00E-01,0.75,0.20/0.75/0.05,5.00E-02,4.49E-01,1.68E-01,3.68E-02,2.39E-01,1.07E-01
CO_CO2_ratio_ExpID_17,1.00E-01,1.00E-01,0.2,5.00E-01,0.75,0.20/0.75/0.05,5.00E-02,4.59E-01,1.72E-01,3.38E-02,2.41E-01,9.44E-02
CO_CO2_ratio_ExpID_18,1.20E-01,8.00E-02,0.2,4.00E-01,0.75,0.20/0.75/0.05,5.00E-02,4.69E-01,1.77E-01,3.11E-02,2.41E-01,8.15E-02
CO_CO2_ratio_ExpID_19,1.40E-01,6.00E-02,0.2,3.00E-01,0.75,0.20/0.75/0.05,5.00E-02,4.82E-01,1.82E-01,2.85E-02,2.40E-01,6.80E-02
CO_CO2_ratio_ExpID_20,1.60E-01,4.00E-02,0.2,2.00E-01,0.75,0.20/0.75/0.05,5.00E-02,4.96E-01,1.87E-01,2.60E-02,2.37E-01,5.37E-02
CO_CO2_ratio_ExpID_21,1.80E-01,2.00E-02,0.2,1.00E-01,0.75,0.20/0.75/0.05,5.00E-02,5.11E-01,1.94E-01,2.37E-02,2.33E-01,3.86E-02
CO_CO2_ratio_ExpID_22,2.00E-01,0.00E+00,0.2,0.00E+00,0.75,0.20/0.75/0.05,5.00E-02,5.29E-01,2.01E-01,2.13E-02,2.26E-01,2.25E-02
