ExpID,y(CO),y(CO2),y(H2),y(H2O),CO2/(CO+CO2),Methanol Production,Water-Gas Shift,CO Hydrogenation,CO2 Hydrogenation,H2O Production,H2O* + * -> OH* + H*;,2OH* -> H2O* + O*;,OH* + CO* -> COOH* + *;,COOH* + OH* -> CO2* + H2O*;,COOH* + H* -> HCOOH* + *;,CO* + H* -> HCO* + *;,CO2* + H* -> HCO2* + *;,HCOOH* + * -> HCO* + OH*;,HCOOH* + H* -> CH3O2* + *;,HCO* + H* -> CH2O* + *;,CH3O* + H* -> CH3OH* + *;
CO_CO2_ratio_ExpID_68,0.05,0.45,0.5,0,0.9,3.44E-02,-3.02E-03,5.82E-04,3.38E-02,3.68E-02,-3.98E-02,6.10E-07,-3.02E-03,-3.00E-03,-1.65E-05,5.82E-04,3.38E-02,1.52E-05,3.38E-02,5.96E-04,3.44E-02
CO_CO2_ratio_ExpID_69,0.1,0.4,0.5,0,0.8,3.62E-02,1.49E-03,3.40E-03,3.28E-02,3.13E-02,-2.98E-02,3.70E-07,1.49E-03,1.51E-03,-1.10E-05,3.40E-03,3.28E-02,4.68E-06,3.28E-02,3.40E-03,3.62E-02
CO_CO2_ratio_ExpID_70,0.15,0.35,0.5,0,0.7,3.78E-02,4.50E-03,6.56E-03,3.13E-02,2.68E-02,-2.23E-02,2.25E-07,4.50E-03,4.51E-03,-5.72E-06,6.56E-03,3.13E-02,-3.37E-06,3.13E-02,6.56E-03,3.78E-02
CO_CO2_ratio_ExpID_71,0.2,0.3,0.5,0,0.6,3.97E-02,6.49E-03,1.02E-02,2.94E-02,2.29E-02,-1.65E-02,1.36E-07,6.49E-03,6.49E-03,-4.83E-07,1.02E-02,2.94E-02,-9.79E-06,2.95E-02,1.02E-02,3.97E-02
CO_CO2_ratio_ExpID_72,0.25,0.25,0.5,0,0.5,4.15E-02,7.60E-03,1.45E-02,2.70E-02,1.94E-02,-1.18E-02,7.86E-08,7.60E-03,7.59E-03,4.66E-06,1.45E-02,2.70E-02,-1.48E-05,2.70E-02,1.45E-02,4.15E-02
CO_CO2_ratio_ExpID_73,0.3,0.2,0.5,0,0.4,4.32E-02,7.85E-03,1.95E-02,2.37E-02,1.59E-02,-8.02E-03,4.23E-08,7.85E-03,7.84E-03,9.54E-06,1.95E-02,2.37E-02,-1.83E-05,2.37E-02,1.95E-02,4.32E-02
CO_CO2_ratio_ExpID_74,0.35,0.15,0.5,0,0.3,4.51E-02,7.24E-03,2.55E-02,1.96E-02,1.24E-02,-5.15E-03,2.05E-08,7.24E-03,7.23E-03,1.39E-05,2.55E-02,1.96E-02,-2.01E-05,1.96E-02,2.55E-02,4.51E-02
CO_CO2_ratio_ExpID_75,0.4,0.1,0.5,0,0.2,4.70E-02,5.62E-03,3.26E-02,1.44E-02,8.75E-03,-3.15E-03,8.70E-09,5.62E-03,5.60E-03,1.68E-05,3.26E-02,1.44E-02,-1.94E-05,1.44E-02,3.26E-02,4.70E-02
CO_CO2_ratio_ExpID_76,0.45,0.05,0.5,0,0.1,4.90E-02,2.93E-03,4.12E-02,7.76E-03,4.85E-03,-1.94E-03,2.97E-09,2.93E-03,2.91E-03,1.63E-05,4.12E-02,7.76E-03,-1.49E-05,7.79E-03,4.12E-02,4.90E-02
CO_CO2_ratio_ExpID_77,0.5,0,0.5,0,0,5.13E-02,-1.64E-18,5.13E-02,1.30E-16,1.30E-16,-1.30E-16,-8.22E-36,-1.64E-18,1.16E-29,-1.64E-18,5.13E-02,1.30E-16,1.04E-18,1.27E-16,5.13E-02,5.13E-02
