Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(51),H2X(50),COX(60),CHOX2(61),SX(53),CH3OX(46),CH3X(55),CH4(41),CH2OX2(52),CHX(32),SX(406),SX(420),C2HOX(418),C2H4O(376),CH2X(63),SX(57),CH4X(383),SX(56)
1.0688352643169357e-21,0.0027149456784039327,0.1557,0.0,0.007990085131538639,0.6423999999999987,0.20189999999999836,1.6001096521500346e-90,1.5605490790954811e-125,4.538759347247741e-50,1.991580318994907e-135,8.889459668523939e-105,2.3587352527259548e-135,2.4917256000297716e-15,1.8084184500450842e-67,9.742211649148405e-106,1.5689746049033144e-125,1.6413305537186813e-15,4.906300937836101e-96,1.881087398189333e-46,3.351462621885668e-125,1.9155986264845415e-128,2.6864774931637276e-72,1.0273969654553355e-85,3.190141501505283e-171,3.3023107787280756e-106,7.29506864721473e-75,3.893321250047862e-26,9.894460895513487e-31,9.078786302904072e-52,2.080187457513447e-145,1.0273970321854086e-85,2.1971658133563587e-99,3.1152782102463046e-120,4.753715762314482e-65,1.80841852299566e-67,1.8143310144504297e-118,2.550875561135406e-130,1.0606213858671316e-126,1.4505007449689097e-150,1.1084549428265244e-80,7.006899809759151e-117,4.512036033353331e-106,1.521217127590382e-141
2.1385991431119923e-21,0.0027149456784039327,0.1557,0.0,0.007990085131534501,0.6423999999999975,0.20189999999999672,2.0514932762340612e-88,8.003301711340934e-123,9.081462012781459e-50,5.106824904497078e-133,2.848885049199718e-103,3.025107123075401e-133,4.985616035503558e-15,5.793896512747433e-66,1.2485371196605017e-103,8.008668927700958e-123,3.284087111391933e-15,6.290428472100527e-94,1.5063955475627915e-45,1.719534038266407e-122,9.439424007576889e-126,8.608263241127682e-71,8.227507776416961e-85,3.273483683255259e-168,1.0583212204214956e-104,4.676426944139382e-73,7.790025055479688e-26,3.960362495087123e-30,1.4542959080682118e-50,5.341133679167895e-143,8.227508814055367e-85,3.519284840019473e-98,1.9968460306385487e-118,1.9027370287860124e-64,5.793896980390039e-66,9.317604034352627e-116,3.2728846030806345e-128,1.0893799737610467e-123,7.309400229782885e-148,8.874428570123685e-80,2.2455576680298394e-115,1.446012747995908e-104,3.905885646132192e-139
4.278126900702105e-21,0.0027149456784039327,0.1557,0.0,0.007990085131526228,0.6423999999999951,0.20189999999999345,2.6280583941056184e-86,4.1017485209331945e-120,1.8166867343848682e-49,1.308420304016628e-130,9.123250391699138e-102,3.875917590011215e-131,9.973396906440785e-15,1.8551601489216545e-64,1.5993608428834346e-101,4.103287269734133e-120,6.5696002267332024e-15,8.058384557900155e-92,1.2057269879021365e-44,8.813200114918538e-120,4.825549378066771e-123,2.7566513126519893e-69,6.585340441427475e-84,3.355521299542184e-165,3.389160784641381e-103,2.9953410340201254e-71,1.558343266633524e-25,1.584660511789323e-29,2.3282255101716363e-49,1.3693751313417024e-140,6.585341702795254e-84,5.633916014151148e-97,1.2789645455736845e-116,7.61418707268048e-64,1.8551604484557507e-64,4.777851780894051e-113,4.194766700884262e-126,1.1172193500284858e-120,3.7127123384158805e-145,7.102866186129206e-79,7.191116798063625e-114,4.630701539500065e-103,1.0013899081392681e-136
8.557182415882332e-21,0.0027149456784039327,0.1557,0.0,0.007990085131509683,0.6423999999999901,0.20189999999998687,3.3652869153659936e-84,2.101175003038609e-117,3.633767800598223e-49,3.3509277553039393e-128,2.920533804948078e-100,4.963552740429941e-129,1.9948958648273845e-14,5.938289764463137e-63,2.0480102565231363e-99,2.1019244535594166e-117,1.3140626457394798e-14,1.031897359691888e-89,9.648258699387298e-44,4.514707138062407e-117,2.471561447390129e-120,8.824560851697816e-68,5.269610649394929e-83,3.437831083531411e-162,1.0849377379368814e-101,1.917794051305651e-69,3.117024788801395e-25,6.339671136867824e-29,3.7262399082457006e-48,3.5082816940743644e-138,5.269607548941146e-83,9.016731329677984e-96,8.188532961454006e-115,3.0510401199331525e-63,5.938291682257183e-63,2.448113367159728e-110,5.383028017736307e-124,1.1449001680381798e-117,1.8968648956768244e-142,5.691385378067423e-78,2.3019904898868757e-112,1.4823796163740005e-101,2.5654573302528423e-134
1.7115293446242783e-20,0.0027149456784039327,0.1557,0.0,0.00799008513147659,0.6423999999999801,0.20189999999997374,4.308439014576605e-82,1.076079144499756e-114,7.267929933024582e-49,8.580119404060171e-126,9.347601225149702e-99,6.3547620011383216e-127,3.9900082131774396e-14,1.9005342213057838e-61,2.6219858486873793e-97,1.0764617205608179e-114,2.628267891863422e-14,1.3210981148071456e-87,7.719584198155556e-43,2.3121269591321983e-114,1.2657521176967708e-117,2.824386407675515e-66,4.216290284730551e-82,3.5212443803427755e-159,3.4725040076753093e-100,1.2276346054122962e-67,6.234387833124177e-25,2.5360726195704e-28,5.962837961302783e-47,8.98494997928773e-136,4.216219782820089e-82,1.4428990218283103e-94,5.2417582886033e-113,1.251686251974774e-62,1.9005354489403893e-61,1.253907150162977e-107,7.108464977801987e-122,1.172820719456288e-114,9.99479960262038e-140,4.656121711829642e-77,7.367572199475824e-111,4.744575656422471e-100,6.570037484964527e-132
3.4231515506963685e-20,0.0027149456784039327,0.1557,0.0,0.007990085131410403,0.6423999999999601,0.20189999999994745,5.5153429227970704e-80,5.510220716876106e-112,1.4536254197875884e-48,2.1967296549444894e-123,2.9922826200517905e-97,8.134752071171268e-125,7.980232909811317e-14,6.082141258444548e-60,3.356473629824341e-95,5.512179355693268e-112,5.2566783840777977e-14,1.691172910260662e-85,6.17605828072497e-42,1.1839571703436538e-111,6.4814598618515785e-115,9.038880718403938e-65,3.3741412097717856e-81,3.6062109351723163e-156,1.1115914526119502e-98,7.85762575706688e-66,1.2469113921717898e-24,1.0144685480133175e-27,9.5411942978809e-46,2.300788549583658e-133,3.373189385903424e-81,2.3093951118029983e-93,3.355904708422293e-111,7.002071902727173e-62,6.082149116070302e-60,6.421200214813512e-105,1.3527880102910287e-119,1.2011922992695283e-111,7.5923789868950385e-137,5.03822292888795e-76,2.3577319566651276e-109,1.5187973226618733e-98,1.682426238317101e-129
6.84639596284055e-20,0.0027149456784039327,0.1557,0.0,0.00799008513127803,0.6423999999999203,0.20189999999989489,7.059941636937468e-78,2.8213939296978013e-109,2.9072902727572846e-48,5.623925878481444e-121,9.615352802440413e-96,1.041283650284983e-122,1.596068230281415e-13,1.9463423280083394e-58,4.2964724473246306e-93,2.822396796676121e-109,1.0513499368372516e-13,2.1647951709682386e-83,4.941003007587952e-41,6.062192276357691e-109,3.3186949373902e-112,2.892576957570572e-63,2.7109004916156587e-80,3.69300531500009e-153,3.571971366106819e-97,5.0290939212105795e-64,2.4938566098697986e-24,4.057942519960504e-27,1.5266338441105175e-44,5.891666618466898e-131,2.6986375646164125e-80,3.710520971496506e-92,2.156668397757105e-109,1.557018671696865e-60,1.9463473571022606e-58,3.2879444172432647e-102,1.0800519372295892e-116,1.2301294963614618e-108,2.4205305805179626e-133,2.083966128264699e-74,7.544382243641035e-108,4.880480706202662e-97,4.315252454567977e-127
1.369288478712891e-19,0.0027149456784039327,0.1557,0.0,0.007990085131013284,0.6423999999998404,0.20189999999978975,9.036807525243386e-76,1.444577234152104e-106,5.814619978694416e-48,1.4398522201036303e-118,3.279836832711249e-94,1.3340163506717768e-120,3.192158108776013e-13,6.228310323490729e-57,5.499536622586887e-91,1.445090709409674e-106,2.1027141336425827e-13,2.770963967961954e-81,3.952864990382187e-40,3.10387840806285e-106,1.6991987913651082e-109,9.256462559375302e-62,2.3160483346523585e-79,3.7819967332102296e-150,1.218420851363001e-95,3.2186485415092746e-62,4.987747045182874e-24,1.623182134664188e-26,2.4426178593666806e-43,1.5089031731002142e-128,2.15895253194825e-79,6.342287029782488e-91,1.472254552236408e-107,8.79522472998803e-59,6.228342509976142e-57,1.6834851730425316e-99,1.995616770586409e-113,1.2596957943678395e-105,1.7885547046933885e-129,2.3182909035821335e-72,2.413806462914119e-106,1.6647612888912642e-95,1.1370144875117496e-124
2.7385862435705633e-19,0.0027149456784039327,0.1557,0.0,0.007990085130483793,0.6423999999996808,0.20189999999957947,1.1566880827570378e-73,7.396114853607851e-104,1.1629279390559666e-47,3.68828060167141e-116,2.088229444063484e-92,1.735150205436487e-118,6.384337865341334e-13,1.993012706955659e-55,7.039267788435934e-89,7.398743797825846e-104,4.2054425270387916e-13,3.5467637978327904e-79,3.162317123058112e-39,1.589144858195431e-103,8.699751409682892e-107,2.962102715753695e-60,3.7383251318475883e-78,3.8751489720345374e-147,7.757842270867873e-94,2.0598931333808717e-60,9.97552791547725e-24,6.492670481341413e-26,3.908093955302978e-42,3.8658758373327716e-126,1.7272821543584344e-78,2.1179658715435968e-89,1.9267357775011443e-105,5.58203735558875e-57,1.99303330588699e-55,8.619421816446061e-97,4.0593109947051625e-110,1.2899252070833135e-102,1.455233003115563e-125,2.939429568861693e-70,7.72156351941259e-105,1.0599750008061377e-93,4.232838541995035e-122
5.477181773285908e-19,0.0027149456784039327,0.1557,0.0,0.007990085129424812,0.6423999999993616,0.20189999999915892,1.4804727816072266e-71,3.78659475386759e-101,2.325859821425534e-47,9.489208514346074e-114,5.986223481837717e-90,2.7971441582445246e-116,1.2768697376776474e-12,6.3772526846196e-54,9.009732700973568e-87,3.7879406902530156e-101,8.410899312973404e-13,4.539590576174149e-77,2.529864061193436e-38,8.135804096182123e-101,4.454014598728438e-104,9.47878534043678e-59,2.712466148822554e-76,3.987982982022512e-144,2.2239831731201504e-91,1.3182528717133799e-58,1.9951089654738918e-23,2.5970019349345704e-25,6.25256238118052e-41,9.915896553771045e-124,1.3831939338892977e-77,3.4994936361270905e-87,1.2194967331665993e-102,3.570416964920215e-55,6.377384509906732e-54,4.4129645133140757e-94,8.3095398792273e-107,1.3208297484593383e-99,1.1915644449008936e-121,3.760046491024763e-68,2.470131599131447e-103,3.038688988067328e-91,6.49873562749912e-119
1.0954372832716596e-18,0.0027149456784039327,0.1557,0.0,0.007990085127306848,0.6423999999987231,0.20189999999831781,1.8947618492836597e-69,1.9384916171252022e-98,4.651723586157479e-47,2.526742232099834e-111,2.9142964949989943e-87,1.540801625043837e-113,2.553741639286475e-12,2.040458226101604e-52,1.1530989748290554e-84,1.9391806431023104e-98,1.68218128814114e-12,5.809936183015723e-75,2.023896388092353e-37,4.164848483420026e-98,2.280163493688273e-101,3.0332218269370323e-57,3.306063755888427e-74,4.24747001924473e-141,1.0827150269301822e-88,8.435730541891526e-57,3.99022131279539e-23,1.0387438095383464e-24,1.0002790419107063e-39,2.5638889210806037e-121,1.1240005345989468e-76,1.0373743437710335e-84,1.3809151130033873e-99,2.284694752190342e-53,2.040542583406975e-52,2.25921423126003e-91,1.7015569323582365e-103,1.3523958894416335e-96,9.759945189091741e-118,4.812152498243281e-66,7.947870977802082e-102,1.4793438046736905e-88,2.3841955494609648e-115
2.1908754951577973e-18,0.0027149456784039327,0.1557,0.0,0.007990085123070922,0.6423999999974462,0.20189999999663563,2.4246608562796967e-67,9.92250955313878e-96,9.303451116174907e-47,8.46936652363504e-109,1.487214891368916e-84,2.6201104926174714e-110,5.107485439791331e-12,6.527762988240074e-51,1.475583856672357e-82,9.926036387967852e-96,3.3643640004562478e-12,7.434789189514501e-73,1.6191223474100528e-36,2.131690017426132e-95,1.1671377180760888e-98,9.706345291822302e-56,4.218249781442437e-72,5.693726336419581e-138,5.52527983540869e-86,5.397449868222553e-55,7.980446005315046e-23,4.154511670040791e-24,1.6000221355708816e-38,7.332768350032107e-119,1.1224751886203077e-75,3.5600136345040386e-82,1.791792511261157e-96,1.4618143446537714e-51,6.528302733226278e-51,1.1564790706309306e-88,3.483964805957225e-100,1.384567858104775e-93,7.993460449869326e-114,6.158159552323925e-64,2.818128746091205e-100,7.549354144679785e-86,9.69265846813281e-112
4.3817519189300725e-18,0.0027149456784039327,0.1557,0.0,0.007990085114599069,0.6423999999948925,0.20189999999327127,3.1019355829382733e-65,5.077682053397499e-93,1.8606906243955296e-46,6.265541820006765e-106,7.612117553859671e-82,5.297021056987092e-107,1.0214973029949836e-11,2.0877909863627927e-49,1.8877634128144316e-80,5.079486786366241e-93,6.728729419596498e-12,9.51157152329016e-71,1.2953101484038902e-35,1.0906929462178353e-92,5.972595472167855e-96,3.106059986493172e-54,5.3976722551401716e-70,1.6841743227683039e-134,2.8280432514511625e-83,3.4525461489540137e-53,1.5960895381860997e-22,1.661432345503628e-23,2.5586740006683253e-37,4.8880157084631976e-116,3.75591500025878e-74,1.3769512879509712e-79,2.6147339757286858e-93,9.350633842781823e-50,2.0881362409769e-49,5.9187159256245904e-86,7.13178638889526e-97,1.4172094771214177e-90,6.545148310871438e-110,7.87888993071381e-62,2.3333653238094384e-98,3.864055850336718e-83,3.9666602874431765e-108
8.763504766474624e-18,0.0027149456784039327,0.1557,0.0,0.007990085097655362,0.642399999989785,0.20189999998654254,3.966304088502109e-63,2.5970690848079212e-90,3.721382486275917e-46,9.98476470256114e-103,3.8965139514389975e-79,3.0167929610743994e-103,2.042994816686198e-11,6.673937194502138e-48,2.41382110272516e-78,2.5979920783366155e-90,1.345746023591717e-11,1.2162117574931274e-68,1.036285550167091e-34,5.576931523747024e-90,3.054742786792543e-93,9.939743704080024e-53,6.907442860005753e-68,1.0733649694205564e-130,1.4476274070632455e-80,2.2072977909758687e-51,3.192179410097946e-22,6.642749504683286e-23,4.089523531965737e-36,6.454962070964323e-112,3.958764900018238e-72,5.906059029647765e-77,4.273098755888462e-90,5.978035753790602e-48,6.676144492283043e-48,7.485420192701338e-83,3.8114828782910634e-93,3.5826143732178486e-87,1.3990796802199396e-105,1.007588091515252e-59,1.9414279679077873e-95,1.9779739431005922e-80,8.15606988472331e-104
1.7527010461563724e-17,0.0027149456784039327,0.1557,0.0,0.007990085063767952,0.6423999999795701,0.20189999997308508,5.06620723455781e-61,1.3269382490549913e-87,7.442871994846303e-46,1.9671253347033027e-99,1.994289403034502e-76,6.178656934685878e-100,4.085989826706652e-11,2.1311933157214774e-46,3.0832687641351465e-76,1.3274097703041633e-87,2.691492178071935e-11,1.553508054646706e-66,8.291472208140436e-34,2.847730096926131e-87,1.560731369283523e-90,3.1811631311684926e-51,8.838307758830969e-66,8.458400939585968e-127,7.4091560652130755e-78,1.4096921377681362e-49,6.384359140332261e-22,2.6547182586913787e-22,6.529332197686534e-35,2.603350911221797e-108,4.9999991950045854e-70,2.727788858927125e-74,7.634748141742346e-87,3.817806435918567e-46,2.1326030078463764e-46,3.830608667114955e-80,7.798526282527326e-90,3.6688851580954165e-84,1.1451273158262837e-101,1.287388018695707e-57,9.592287192455494e-93,1.0124099249904315e-77,3.3330664451828755e-100
3.505402185174193e-17,0.0027149456784039327,0.1557,0.0,0.00799008499599313,0.6423999999591401,0.20189999994617017,6.457576427107704e-59,6.765841085708193e-85,1.48993002120238e-45,3.988713572999055e-96,1.020615557008546e-73,1.2654586814429203e-96,8.17197977729943e-11,6.791364558628379e-45,3.930254587709544e-74,6.768244580166996e-85,5.3829844518968267e-11,1.9802263683190818e-64,6.636957515182909e-33,1.4502369937770018e-84,7.957339226089105e-88,1.0185386094754284e-49,1.1307928406662961e-63,6.86035940603941e-123,3.791776626296782e-75,8.98408175225479e-48,1.2768718546443381e-21,1.0599867169744727e-21,1.0402641457316611e-33,1.0614424440351621e-104,6.398104150388785e-68,1.3174874294631835e-71,1.445697759949988e-83,2.4330297602238983e-44,6.800348640216506e-45,1.9553155433201672e-77,1.5916867124592537e-86,3.7455405287700255e-81,9.348866522461642e-98,1.641931072364781e-55,4.683803518315197e-90,5.182294049677139e-75,1.358823412333227e-96
7.010804463209834e-17,0.0027149456784039327,0.1557,0.0,0.007990084860443489,0.6423999999182802,0.2018999998923403,8.196792522409341e-57,3.435746273042305e-82,3.151794412966217e-45,8.07730980773349e-93,5.226494703509682e-71,2.597693142429075e-93,1.6343959400690623e-10,2.155195185943464e-43,4.989493398659251e-72,3.4369660596235803e-82,1.076596885900543e-10,2.5137300428856547e-62,5.321543115556107e-32,7.346192405257322e-82,4.040066045662024e-85,3.2665027801533846e-48,1.4476778533903101e-61,5.556988716058252e-119,1.941739993886184e-72,5.701691652160043e-46,2.5537437141235586e-21,4.2248178890151395e-21,1.6503824905990383e-32,4.3199660129339335e-101,8.207075143578553e-66,6.509126943366898e-69,2.82561359836107e-80,1.5439941431125665e-42,2.1608968773870423e-43,9.961772468673002e-75,3.2412332280714092e-83,3.8164982619944014e-78,7.615032515780708e-94,2.0866349858724839e-53,2.2031159265326962e-87,2.6559915061180384e-72,5.519799000578532e-93
1.0516206741245475e-16,0.0027149456784039327,0.1557,0.0,0.007990084724893851,0.6423999998774204,0.20189999983851045,5.447808278559521e-56,2.9542836369765266e-81,5.626588989981697e-45,8.552228401380398e-92,4.5502286988967655e-70,1.658281589164002e-92,2.4515938746285005e-10,1.0082106386372725e-42,3.301846125978448e-71,2.955332346720645e-81,1.6148953125572865e-10,1.663507776048825e-61,1.5825703971925998e-31,6.313260145615123e-81,3.485445109401349e-84,1.5645136053984113e-47,9.735726622491668e-61,6.99418325415387e-118,1.690494594789492e-71,3.244891942710733e-45,3.830615551859777e-21,8.955608761441624e-21,6.267690867825193e-32,2.5075105553393157e-100,5.522503253967696e-65,5.599405379580345e-68,2.9911347738978374e-79,8.786815075002282e-42,1.0114555304413038e-42,5.691872230846821e-74,2.2883194138639738e-82,2.5601478072951323e-77,6.898299533455525e-93,1.3873366566471265e-52,1.2296234114517393e-86,2.312883533075443e-71,3.178590508272309e-92
