Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(51),H2X(50),COX(60),CHOX2(61),SX(53),CH3OX(46),CH3X(55),CH4(41),CH2OX2(52),CHX(32),SX(406),SX(420),C2HOX(418),C2H4O(376),CH2X(63),SX(57),CH4X(383),SX(56)
0.0,0.0027149456784039327,0.1557,0.0,0.007990085131542772,0.6424,0.2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1607680976508858e-24,0.0027149456784039327,0.1557,0.0,0.007990085131542769,0.6424,0.2019,-9.371335151505077e-110,-5.612581166643389e-145,4.92914785756709e-53,-2.521406587401297e-157,-3.1830236622318175e-118,3.676779316160718e-154,2.7060443093304633e-18,1.4858149092144754e-81,2.1279538247036177e-120,-2.8188460544787074e-141,1.782504945394822e-18,-2.8279285324428525e-115,4.21404945687552e-55,1.919967328860655e-150,-2.894255348712807e-143,8.40534044161264e-82,2.301595302962158e-94,-1.2653754269954786e-195,-1.1824490734810493e-119,-1.9842146510769476e-91,4.228194233328855e-29,1.749702256389251e-36,3.547812644730246e-63,2.5620454355586124e-167,2.3015953032676082e-94,1.0015554161209794e-110,-2.3281914958020087e-136,8.406302210675739e-71,1.4858148717872017e-81,5.3798651951235e-143,-2.1801744155712032e-149,6.818377287817037e-154,2.3466390500554377e-173,3.7228851684017945e-89,-2.508947939418572e-130,-1.6156119704884023e-119,1.8736058390631856e-163
3.2501506734224805e-24,0.0027149456784039327,0.1557,0.0,0.007990085131542759,0.6424,0.2019,8.647811780156041e-108,1.083626510989289e-143,1.3801614001187852e-52,4.1629158671483764e-155,3.14503097677584e-117,1.0115289599132994e-152,7.57692406612529e-18,8.557532729253938e-80,6.001865506684245e-119,2.7857294621105345e-140,4.9910138471054946e-18,2.708007378783838e-113,6.368271016245079e-54,2.2954452734948776e-147,2.8597094889668866e-142,5.078356824678523e-81,3.478170524370344e-93,2.5254202343259155e-194,1.1683353186103048e-118,1.0282575036062338e-89,1.1838943853320784e-28,1.056820162646745e-35,1.1154890286199608e-61,1.9088790638854258e-165,3.47817052523176e-93,2.8245462913405664e-109,4.323146131386253e-135,5.0774065352245455e-70,8.557532686084102e-80,6.372104347118005e-141,8.639839737793679e-148,1.460485671250298e-151,6.05575184512597e-172,4.4198092722144816e-88,2.47900809424293e-129,1.5963279676275846e-118,1.395949762028618e-161
7.428915824965669e-24,0.0027149456784039327,0.1557,0.0,0.007990085131542743,0.6424,0.2019,1.8435650460116193e-105,1.1450591670122461e-141,3.1546546288429374e-52,1.7898377545337506e-152,1.7346256003110912e-115,2.47767520962851e-150,1.73186835797149e-17,3.8375568333970594e-78,1.3065386069893034e-117,1.537002290137084e-138,1.140803165052682e-17,5.636523646278116e-111,6.850695322288666e-53,2.1000366428041089e-144,1.5772581119377575e-140,2.449793955035821e-80,3.741657110631765e-92,4.140861749562083e-192,6.44389313928673e-117,1.0791980725188465e-87,2.7060443093304612e-28,5.088134158394505e-35,2.48859465515991e-60,1.2749140102401646e-162,3.7416571125055335e-92,6.144005099092397e-108,4.705162116182607e-133,2.444552682829109e-69,3.8375568301368623e-78,8.546868330671108e-138,2.3787546634351455e-145,3.90105229437086e-148,4.0908523038139115e-169,4.339394953147421e-87,1.3672808792900244e-127,8.80446450159718e-117,9.323355856518842e-159
1.5786446128052047e-23,0.0027149456784039327,0.1557,0.0,0.00799008513154271,0.6424,0.2019,2.9484091111185584e-103,9.109241689562266e-140,6.703641086291243e-52,5.729549263105023e-150,6.826886527213975e-114,4.1627791990873524e-148,3.680220260689397e-17,1.4437847885209992e-76,2.4379416960442932e-116,6.053713840571481e-137,2.4242067257369393e-17,9.025619902367316e-109,6.2969692690161354e-52,1.4230270423262268e-141,6.2075498609120165e-139,1.0882282155531122e-79,3.439227511948451e-91,2.3231023156678282e-189,2.536093509026482e-115,8.616251600575179e-86,5.7503441573272145e-28,2.2221218623227303e-34,4.660862361348994e-59,5.009735502975419e-160,3.439227515422104e-91,1.1389950007053983e-106,3.71908811007564e-131,1.0676003807192638e-68,1.44378478899881e-76,6.77013398998662e-135,4.259817763401052e-143,6.18178002029235e-145,1.849385136009335e-166,3.838145694990369e-86,5.3811426513034006e-126,3.4651327684053918e-115,3.6635839272895777e-156
3.25015067342248e-23,0.0027149456784039327,0.1557,0.0,0.007990085131542646,0.6424,0.20189999999999997,4.203600342044161e-101,6.798371432991189e-138,1.3801614001187848e-51,1.6343704000618887e-147,2.412092979109445e-112,6.06928289899535e-146,7.576924066125147e-17,4.999368312781419e-75,4.415014754757716e-115,2.142494776808203e-135,4.991013847105422e-17,1.2878713130274429e-106,5.387189783347479e-51,8.358374096395196e-139,2.193310405810099e-137,5.1858493587037307e-79,2.94233154149584e-90,2.502759113906167e-186,8.960590341002371e-114,6.137467849283142e-84,1.1838943853320672e-27,9.276921333751246e-34,8.050480621878528e-58,1.5684476139434052e-157,2.9423315474661607e-90,1.9576414008109505e-105,2.634830751990738e-129,4.457021431772739e-68,4.999368318596268e-75,4.257203226258261e-132,6.39462784816805e-141,7.775743302109406e-142,7.40642434377688e-164,3.226192723973464e-85,1.9012788365115623e-124,1.2243095573804399e-113,1.1469944719277358e-153
6.593162794657031e-23,0.0027149456784039327,0.1557,0.0,0.007990085131542516,0.6424,0.2018999999999999,5.674060919408462e-99,6.444559541529416e-136,2.799755983098106e-51,4.413054452566084e-145,8.1036239260006e-111,8.281505941333049e-144,1.5370331676996392e-16,1.6633213142595136e-73,1.0345536441488101e-113,7.239507396923815e-134,1.012462808984226e-16,1.739111912227866e-104,4.4542326908805025e-50,4.579546535351405e-136,7.370960177778893e-136,4.2693958030284716e-78,2.4327766126475588e-89,2.7265625744264796e-183,3.0103837168512905e-112,4.140561710579095e-82,2.401614324530739e-27,3.789925050347247e-33,1.3375993849639903e-56,4.427138276329379e-155,2.4327766225429177e-89,3.244647085904941e-104,1.7727196035351433e-127,1.8208386837737003e-67,1.6633213183736248e-73,2.4084644699712006e-129,8.846069880390476e-139,8.798858470002784e-139,3.0152631617536863e-161,2.645027716278805e-84,6.387501294257715e-123,4.1131682352649885e-112,3.23753379865662e-151
1.3279187037126134e-22,0.0027149456784039327,0.1557,0.0,0.007990085131542257,0.6423999999999999,0.2018999999999998,7.456761534580743e-97,1.4115893556847778e-133,5.638945149056746e-51,1.1600306642825579e-142,2.6564803273042776e-109,1.0941522572118627e-141,3.095714689873788e-16,5.42659448908014e-72,5.659510647172685e-112,2.4932863936994442e-132,2.0391856575315423e-16,2.285993407780923e-102,3.62210805019667e-49,2.4249444014052594e-133,2.428758684619551e-134,8.762722013329708e-77,1.9782935308067163e-88,2.885913104957232e-180,9.868455390422555e-111,2.7201800203475203e-80,4.8370542029280026e-27,1.5319482905450246e-32,2.180624554693852e-55,1.1892148827332344e-152,1.9782935469186313e-88,5.28306675958862e-103,1.1630149873813501e-125,7.360121086396742e-67,5.42659451626052e-72,1.295316205537255e-126,1.1765437217454612e-136,9.464808745341881e-136,1.3083279953614883e-158,2.142012026325562e-83,2.0939111380821585e-121,1.3483536008090468e-110,8.69663802011189e-149
2.665123552206434e-22,0.0027149456784039327,0.1557,0.0,0.00799008513154174,0.6423999999999997,0.2018999999999996,9.670799478989842e-95,6.059371784596204e-131,1.1317323480974019e-50,3.0090801448364893e-140,8.603455394096644e-108,1.4227762126400168e-139,6.213077734221681e-16,1.7533334413395718e-70,6.06591940781639e-110,1.3679120929989228e-130,4.09263135462597e-16,2.9650543545304524e-100,2.9213613623584666e-48,1.2625509649188936e-130,8.514180134638507e-133,2.629178859728913e-75,1.5955653881918345e-87,3.0047072824884808e-177,3.1960641638265185e-109,1.7637435386537659e-78,9.707933959722216e-27,6.159896614359592e-32,3.521714366068805e-54,3.117981855740527e-150,1.5955654141950609e-87,8.526891372708938e-102,7.5357406503224445e-124,2.959472321394446e-66,1.753333458975283e-70,6.796000543681143e-124,1.5349312868312175e-134,9.93183713104285e-133,6.045666558860186e-156,1.7240776392184964e-82,6.781478621826095e-120,4.366868424185657e-109,2.2801546810463206e-146
5.339533249194075e-22,0.0027149456784039327,0.1557,0.0,0.007990085131540706,0.6423999999999994,0.2018999999999992,1.246000432637853e-92,3.045577991299551e-128,2.267408014480853e-50,7.75408752652632e-138,2.7696537950224814e-106,1.8355373979090718e-137,1.2447803822915847e-15,5.637735743657158e-69,7.611509811327411e-108,3.2918887841788626e-128,8.199522748814009e-16,3.8204212019753164e-98,2.3465963166921037e-47,6.51854171497882e-128,6.087076703600881e-131,8.380539132404155e-74,1.2816448694832425e-86,3.102475890821769e-174,1.0288879101458412e-107,1.1361586678576176e-76,1.9449693473309374e-26,2.470393982780836e-31,5.6610526197075255e-53,8.077593300281037e-148,1.2816449112507892e-86,1.3702486563697998e-100,4.852670170617501e-122,1.1868807946172312e-65,5.637735857271643e-69,3.522156085250461e-121,1.9834498343306233e-132,1.0294846863393337e-129,2.9215891515403906e-153,1.3834637682335395e-81,2.183115220739367e-118,1.405797223434492e-107,5.907069012524478e-144
