Time (s),Volume (m^3),Ne,N2,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(52),COX(53),CHOX(64),CH2O2X(54),CH3OX(48),SX(57),OCO(174),SX(231),CH3X(25),CH4(24),CH4X(249)
0.0,0.000897708597878115,0.0,0.0,0.0024417673862284725,0.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.446573093081683e-25,0.000897708597878115,0.0,0.0,0.0024417673862284677,0.8,0.1,0.1,-2.7501142962893068e-76,2.7115752864169385e-49,1.247916063216982e-45,-2.3740519369661422e-116,2.4289769231044376e-145,1.9610649730174446e-18,2.3120286704273767e-51,4.368186357039176e-51,3.462895311490549e-80,6.004384253102139e-19,2.85130259969027e-21,5.373134775899548e-47,1.5730058232147793e-45,9.416737715053019e-49,1.8720592569870652e-67,2.0876956528434435e-89,2.2296902069685232e-87,-1.586638088233737e-134,2.1315923619754885e-18,2.132907363150733e-22,7.971440616600494e-46,6.958781589594357e-64,2.0876956528434435e-89,4.120024230983651e-165,-1.4480492893582416e-113,-7.903558492226219e-132,8.185025759814298e-121,-1.5342728011677935e-149,-1.4491509146397873e-167
1.245040466062871e-24,0.000897708597878115,0.0,0.0,0.0024417673862284594,0.8,0.1,0.1,2.717305408868206e-75,7.592410801967428e-49,3.494164977007549e-45,2.345715330374494e-115,3.9731843096775404e-144,5.4909819244488234e-18,1.396465317172173e-50,6.6012036279264675e-50,2.2695971033120864e-79,1.6812275908680016e-18,7.98364727907167e-21,8.119881584934551e-46,9.500955172182569e-45,5.687709579886553e-48,1.1307237912201841e-66,3.154925863998234e-88,3.3695080473242125e-86,2.663196241023633e-133,5.9684586135313536e-18,5.972140616818623e-22,4.8147501324266834e-45,4.2031040801137725e-63,3.154925863998234e-88,1.2542750909663555e-163,1.430765420376102e-112,1.3266243528341138e-130,2.3083083611787505e-119,2.9619370500896265e-148,4.890779217629175e-166
2.845806779572277e-24,0.000897708597878115,0.0,0.0,0.0024417673862284425,0.8,0.1,0.1,1.498712647812455e-73,1.7354081833068402e-48,7.986662804588684e-45,1.2937671858589591e-113,1.1904880929125574e-141,1.2550815827311486e-17,6.723379379875416e-50,7.101273660356492e-49,3.9614353050293206e-78,3.8428059219811875e-18,1.824833663759013e-20,8.734998099150582e-45,4.57430093385653e-44,2.738387327529209e-47,5.443948319318337e-66,3.393925290362064e-87,3.6247630120933405e-85,3.139396660073271e-131,1.3642191116643024e-17,1.3650607124140682e-21,2.318094931307399e-44,2.0236136862522106e-62,3.393925290362064e-87,7.28203266406876e-161,7.891312844006572e-111,1.5638352135564862e-128,5.02107491246994e-118,3.127492713778896e-146,1.0683230530419515e-163
6.047339406591088e-24,0.000897708597878115,0.0,0.0,0.0024417673862284087,0.8,0.1,0.1,5.898413685947579e-72,3.6877423895270354e-48,1.6971658459750953e-44,5.091820264395234e-112,2.2619507360143607e-139,2.6670483633036413e-17,2.9362764236326794e-49,6.527293937113341e-48,6.92425308101671e-77,8.165962584197998e-18,3.8777715353649665e-20,8.028968162428395e-44,1.9977173954289847e-43,1.195925689803249e-46,2.377515256373523e-65,3.1196020648020527e-86,3.3317817008843506e-84,2.481547060463843e-129,2.898965612286612e-17,2.9007540138729903e-21,1.0123729583082358e-43,8.837652618765941e-62,3.1196020648020527e-86,2.769716727628891e-158,3.1057478570919017e-109,1.2361390092842749e-126,9.308226679509567e-117,2.4720223403284646e-144,1.691792399378724e-161
1.2450404660628711e-23,0.000897708597878115,0.0,0.0,0.002441767386228341,0.8,0.09999999999999999,0.1,2.0840425452361128e-70,7.592410801967426e-48,3.4941649770075494e-44,1.7990549389356377e-110,3.4821307844079344e-137,5.49098192444847e-17,1.2258376223063088e-48,5.584237385162041e-47,1.166699446190999e-75,1.6812275908593375e-17,7.983647278185924e-20,6.868951301695495e-43,8.34007687420069e-43,4.992754336444743e-46,9.925658180544976e-65,2.6688852454511645e-85,2.8504093911002332e-83,1.7562041668968334e-127,5.968458613531134e-17,5.972140616768879e-21,4.226457814921335e-43,3.6895459987859255e-61,2.6688852454511645e-85,8.532885841384659e-156,1.097330764033815e-107,8.748222080594315e-125,1.5998463400987216e-115,1.7520818898348668e-142,2.3999392110773086e-159
2.5256535168703956e-23,0.000897708597878115,0.0,0.0,0.0024417673862282057,0.7999999999999999,0.09999999999999998,0.1,7.00151161897579e-69,1.5401747626848203e-47,7.088163239072457e-44,6.04407243130931e-109,4.873482433807929e-135,1.1138849046737501e-16,5.0079469351594054e-48,4.617155456308495e-46,1.9428913727153564e-74,3.410490255723116e-17,1.6195398762264045e-19,5.679381768328936e-42,3.4071935329062943e-42,2.039703055966684e-45,4.054955233003889e-64,2.2066859321290715e-84,2.3567736057952095e-82,1.1809104709649274e-125,1.2107444616019785e-16,1.2114913822472833e-20,1.7266459233179227e-42,1.5072999274181006e-60,2.2066859321290715e-84,2.3892526325013034e-153,3.6865725857405584e-106,5.8824977475789573e-123,2.6516279815561647e-114,1.1790707910299278e-140,3.231327554457551e-157
5.086879618485445e-23,0.000897708597878115,0.0,0.0,0.002441767386227935,0.7999999999999997,0.09999999999999995,0.1,2.2951926320927064e-67,3.1020421276609755e-47,1.4276159763202268e-43,1.981330787513055e-107,6.518283756415671e-133,2.243458329131306e-16,2.02429265565528e-47,3.7545941335097837e-45,3.261831924120854e-73,6.869015585389488e-17,3.2618901724165086e-19,4.618378932533123e-41,1.3772421021669216e-41,8.244805872407352e-45,1.6390777383362033e-63,1.7944403522955664e-83,1.9164891554563044e-81,7.745326113402351e-124,2.4385416620995525e-16,2.440046023352944e-20,6.979378888981593e-42,6.092747303087746e-60,1.7944403522955664e-83,6.392318825275129e-151,1.2085096341537623e-104,3.858197935037248e-121,4.3174887782750734e-113,7.736314726815135e-139,4.241203918050488e-155
1.0209331821715543e-22,0.000897708597878115,0.0,0.0,0.0024417673862273943,0.7999999999999994,0.09999999999999988,0.1,7.433364872561012e-66,6.225776857613282e-47,2.8652152811461887e-43,6.416870854591524e-106,8.527267175940515e-131,4.502605178045416e-16,8.139598741474471e-47,3.028216182083692e-44,5.636663564443213e-72,1.3786066244477485e-16,6.54659076229464e-19,3.724889920244909e-40,5.537829918126041e-41,3.315200179103852e-44,6.590659496590752e-63,1.4472811521921576e-82,1.5457179327020636e-80,5.017868330292339e-122,4.894136063094076e-16,4.8971553054237485e-20,2.8063775548352594e-41,2.4498668936470064e-59,1.4472811521921576e-82,1.67263682564461e-148,3.913960401772226e-103,2.4995628250462115e-119,6.968444294937912e-112,5.013016810193737e-137,5.49700903741577e-153
2.045423622817574e-22,0.000897708597878115,0.0,0.0,0.0024417673862263123,0.7999999999999987,0.09999999999999974,0.1,2.392974280017196e-64,1.2473246317517878e-46,5.740413890798109e-43,2.065741052333588e-104,1.1034039885731242e-128,9.020898875869625e-16,3.264354400476468e-46,2.432427909101537e-43,1.0297376539565079e-70,2.76201675616745e-16,1.3115991932042593e-18,2.992034150361292e-39,2.2209174815593194e-40,1.3295435475981882e-43,2.6431492325824883e-62,1.162534927965543e-81,1.2416047020706817e-79,3.231049377192637e-120,9.80532486508062e-16,9.811373869003282e-20,1.1254829177923156e-40,9.825061972885078e-59,1.162534927965543e-81,4.328871854130071e-146,1.2599955421467579e-101,1.609490399061068e-117,1.1198102909022198e-110,3.228242494018915e-135,7.08018563788106e-151
