Time (s),Volume (m^3),Ne,N2,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(52),COX(53),CHOX(64),CH2O2X(54),CH3OX(48),SX(57),OCO(174),SX(231),CH3X(25),CH4(24),CH4X(249)
4.0944045041096134e-22,0.000897708597878115,0.0,0.0,0.0024417673862241482,0.7999999999999973,0.09999999999999946,0.1,7.680472157528989e-63,2.4968185237327013e-46,1.1490811110101939e-42,6.630186916557901e-103,1.4200291119145659e-126,1.8057486271502014e-15,1.3074624789169547e-45,1.949892027599911e-42,2.0521266035488123e-69,5.528837019215257e-16,2.625479423150527e-18,2.3984857081947634e-38,8.895254161450542e-40,5.3251090513160096e-43,1.0586383523514025e-61,9.319156377230104e-81,9.952998465836319e-79,2.074170216126212e-118,1.9627702469043707e-15,1.9639810993914051e-19,4.507802158892366e-40,3.935149513956285e-58,9.319156377230106e-81,1.1142346137731117e-143,4.0440721903843847e-100,1.033211397517475e-115,1.7955927223683571e-109,2.072470005469356e-133,9.090910185370242e-149
8.192366266693692e-22,0.000897708597878115,0.0,0.0,0.00244176738621982,0.7999999999999944,0.09999999999999891,0.1,2.46143006292434e-61,4.995806307694504e-46,2.299160554870955e-42,2.1248357293043524e-101,1.8225624916471295e-124,3.6130661062702665e-15,5.233546199337394e-45,1.5614950289129882e-41,4.57423702159781e-68,1.1062477543744493e-15,5.253239867029768e-18,1.9207338194805656e-37,3.5604198276249934e-39,2.131431382877248e-42,4.23731230056735e-61,7.462883270159851e-80,7.970470978215165e-78,1.3294880608625408e-116,3.927245767692987e-15,3.929668523474241e-19,1.8042956306998264e-39,1.5750853348936658e-57,7.462883270159856e-80,2.86020022764342e-141,1.296040240925785e-98,6.62261082232542e-114,2.8760689198028435e-108,1.328430837186106e-131,1.1654492678308266e-146
1.638828979186185e-21,0.000897708597878115,0.0,0.0,0.0024417673862111642,0.7999999999999886,0.0999999999999978,0.1,7.88246740399859e-60,9.99378187561801e-46,4.5993194425924594e-42,6.804560145357148e-100,2.336036983504771e-122,7.227701064484742e-15,2.0945627137227082e-44,1.2498288647581767e-40,1.1446478538907094e-66,2.2129758586537444e-15,1.0508760690735077e-17,1.537365531526536e-36,1.4246316915332275e-38,8.528501840498436e-42,1.6954768557083848e-60,5.973331360980775e-79,6.3796072050887e-77,8.515190491827538e-115,7.856196809254213e-15,7.861043368042636e-19,7.219532726664057e-39,6.302392981238994e-57,5.973331360980779e-79,7.332060246568098e-139,4.1504308216457807e-97,4.241692267262718e-112,4.604208146441865e-107,8.508523382132417e-130,1.492936295042419e-144
3.2780136842198167e-21,0.000897708597878115,0.0,0.0,0.002441767386193852,0.7999999999999772,0.09999999999999558,0.09999999999999999,2.523332444397999e-58,1.998973301146463e-45,9.199637218035393e-42,2.1782733241625194e-98,2.9921493526391733e-120,1.4456970980811077e-14,8.38701713709641e-44,1.0001162418827464e-39,3.152062764584418e-65,4.426432064706129e-15,2.1019802081933012e-17,1.2302038828556441e-35,5.699454385166146e-38,3.4119560717232935e-41,6.783011451018363e-60,4.779875282211031e-78,5.104978188345456e-76,5.451792237443717e-113,1.571409889231264e-14,1.5723793042790328e-18,2.8882831983810603e-38,2.5213675780857306e-56,4.7798752822110365e-78,1.878281678999781e-136,1.3286343877225671e-95,2.7157143040911636e-110,7.368731903492983e-106,5.447557039217313e-128,1.9117019866047014e-142
6.55638309428708e-21,0.000897708597878115,0.0,0.0,0.0024417673861592284,0.7999999999999542,0.09999999999999115,0.09999999999999996,8.076171975235868e-57,3.998163528315631e-45,1.8400272768921012e-41,6.971777439704937e-97,3.8312457135914352e-118,2.89155108130533e-14,3.366925194578374e-43,8.001941884515819e-39,9.269114816841178e-64,8.853344466786075e-15,4.2041883839478164e-17,9.842876904699952e-35,2.2799672638337838e-37,1.3648934994045078e-40,2.7134254017447724e-59,3.8243843621932305e-77,4.0844994869528783e-75,3.489809681372249e-111,3.14299030581734e-14,3.1449292334729327e-18,1.1554073075774304e-37,1.0086291132404976e-55,3.82438436219324e-77,4.810032610720016e-134,4.2524245511590564e-94,1.7383871882932686e-108,1.1791570368458227e-104,3.487109320427681e-126,2.44745451021853e-140
1.3113121914421606e-20,0.000897708597878115,0.0,0.0,0.002441767386089981,0.7999999999999083,0.0999999999999823,0.09999999999999992,2.584615869941872e-55,7.996543982653344e-45,3.680154387069188e-41,2.2311772512490224e-95,4.9048230662656477e-116,5.783259047589593e-14,1.3657785435187941e-42,6.40195707289608e-38,2.835304219344854e-62,1.770716923084668e-14,8.408604325516608e-17,7.874799665643647e-34,9.120239870062482e-37,5.4597961125612425e-40,1.0854143265180565e-58,3.0597011560641e-76,3.267806222205331e-74,2.233690267136811e-109,6.286151138887056e-14,6.290029068838177e-18,4.621817293343011e-37,4.034680615162253e-55,3.059701156064115e-76,1.23157713672742e-131,1.3609029282752887e-92,1.1126733715334582e-106,1.8867792138075512e-103,2.2319652900840866e-124,3.1330464267873764e-138
2.622659955469066e-20,0.000897708597878115,0.0,0.0,0.0024417673859514853,0.7999999999998165,0.09999999999996459,0.09999999999999984,8.271152993446892e-54,1.599330489132627e-44,7.360408607424228e-41,7.140100774006771e-94,6.27870355919875e-114,1.156667497950139e-13,5.766493264612789e-42,5.121725106598655e-37,8.863664208162301e-61,3.541481859857072e-14,1.681743456889354e-16,6.300038634901635e-33,3.648169937875363e-36,2.1839628412863635e-39,4.3417456391261084e-58,2.447838393609224e-75,2.614327386158646e-73,1.4296296372482537e-107,1.2572472804616732e-13,1.2580228647478436e-17,1.848764530523277e-36,1.6139050729636428e-54,2.447838393609249e-75,3.1531043063211326e-129,4.3550922909612367e-91,7.121446765707503e-105,3.018949109341706e-102,1.4285266933510079e-122,4.010494415125579e-136
5.2453554835228763e-20,0.000897708597878115,0.0,0.0,0.0024417673856744946,0.799999999999633,0.09999999999992916,0.09999999999999967,2.6468280960628227e-52,3.198682670866215e-44,1.4720917048154003e-40,2.2848856198774283e-92,8.037079050565928e-112,2.3133506840698084e-13,2.791856517562705e-41,4.097440693112132e-36,2.8028839492183866e-59,7.083011669243017e-14,3.3635088496607382e-16,5.040109893370558e-32,1.459282633719242e-35,8.735939938317956e-39,1.7367159222913187e-57,1.958301702655269e-74,2.0914944772913287e-72,9.149846853877001e-106,2.514511613443708e-13,2.5160627436398083e-17,7.395133348413365e-36,6.455685897235314e-54,1.958301702655309e-74,8.072286344882736e-127,1.393661741778238e-89,4.557832990870129e-103,4.8304004693162105e-101,9.142791345905e-121,5.13355764601765e-134
1.0490746539630497e-19,0.000897708597878115,0.0,0.0,0.002441767385120513,0.7999999999992659,0.0999999999998583,0.09999999999999934,8.469931620580366e-51,6.397387034329395e-44,2.944193392995197e-40,7.311719377498556e-91,1.0287675923185796e-109,4.626717055258384e-13,1.8931297596600852e-40,3.2779717217954933e-35,8.915658026921556e-58,1.4166071031379451e-13,6.727037011589543e-16,4.032118586364124e-31,5.83715873588288e-35,3.494393513927013e-38,6.946899021587047e-57,1.566653756992922e-73,1.6732079764961268e-71,5.855971480264908e-104,5.029040278752175e-13,5.032142354079392e-17,2.958068384119165e-35,2.582287440845336e-53,1.566653756992986e-73,2.066547588274021e-124,4.459767447650964e-88,2.917046295982994e-101,7.728706264163139e-100,5.851457022046708e-119,6.571033652112196e-132
2.0981528651845738e-19,0.000897708597878115,0.0,0.0,0.0024417673840125497,0.7999999999985317,0.0999999999997166,0.09999999999999867,2.7103829306710322e-49,1.2794795761239799e-43,5.8883967699055924e-40,2.339763862145722e-89,1.3168357743196918e-107,9.253449793432487e-13,1.9994632627547057e-39,2.622376922517039e-34,2.8444468397185765e-56,2.833218872911059e-13,1.3454082841007666e-15,3.225705661399809e-30,2.3348682415567603e-34,1.3977607724076956e-37,2.778766674321115e-56,1.253327963027909e-72,1.3385703267140765e-70,3.747843981269507e-102,1.00580976067467e-12,1.006430098558125e-16,1.1832303621433732e-34,1.0329175614439301e-52,1.2533279630280116e-72,5.290410061522381e-122,1.4271325004374422e-86,1.8669188678198104e-99,1.2365982424602373e-98,3.7449550698399504e-117,8.410974177336854e-130
4.196309287627622e-19,0.000897708597878115,0.0,0.0,0.0024417673817966235,0.7999999999970632,0.09999999999943317,0.09999999999999733,8.673180196835034e-48,2.5589613214997377e-43,1.177680353257652e-39,7.487266205780963e-88,1.6855570276936726e-105,1.85069152529685e-12,2.787306774258401e-38,2.0978883602739766e-33,9.08857670588771e-55,5.666442001840659e-13,2.6908132522216775e-15,2.580566483805949e-29,9.339475316573046e-34,5.591048696185078e-37,1.1115080822162711e-55,1.0026643525470383e-71,1.0708562203357459e-69,2.3986272574268784e-100,2.0116212252246104e-12,2.0128615891076272e-16,4.7329274618775755e-34,4.131675167476237e-52,1.0026643525472022e-71,1.3543481349719762e-119,4.566828269916972e-85,1.1948292660491838e-97,1.9785613773377857e-97,2.3967784641388287e-115,1.076607962388836e-127
8.392622132513719e-19,0.000897708597878115,0.0,0.0,0.0024417673773647706,0.7999999999941262,0.09999999999886632,0.09999999999999463,2.775376583131183e-46,5.117924812227897e-43,2.3553617199669642e-39,2.3959286713556273e-86,3.7767767638425096e-103,3.7013846104791735e-12,4.2948999362223926e-37,1.6782846214135036e-32,2.9041296399310046e-53,1.1332886617233797e-12,5.381606397517463e-15,2.0644501893404273e-28,3.7357848814592165e-33,2.2364196980845536e-36,4.446035148635538e-55,8.021322735245385e-71,8.566823725169603e-69,1.535123711038362e-98,4.023244150128636e-12,4.0257236272035934e-16,1.893172184457295e-33,1.6526708582949184e-51,8.021322735248005e-71,6.059105396344406e-117,1.4613813820064095e-83,7.646888533339505e-96,3.1657015469615015e-96,1.533940519114882e-113,1.378060274007612e-125
1.6785247822285912e-18,0.000897708597878115,0.0,0.0,0.002441767368501067,0.7999999999882522,0.09999999999773262,0.09999999999998925,8.880922656956101e-45,1.0235851793652674e-42,4.710724680246432e-39,7.666977274157029e-85,4.850448137331937e-101,7.402770753944312e-12,6.805735570456037e-36,1.3425839893880079e-31,9.293062145738311e-52,2.2665769278159652e-12,1.0763125525162773e-14,1.6515529051083965e-27,1.4943083313878277e-32,8.945672017963665e-36,1.7784146192512387e-54,6.41706133235994e-70,6.8534073883361774e-68,9.824798907285465e-97,8.046489983153262e-12,8.051443931386901e-16,7.572691113600617e-33,6.610683656369905e-51,6.417061332364136e-70,1.5588885624903743e-114,4.676386890842656e-82,4.893973912641517e-94,5.065125126610183e-95,9.817226612532855e-112,1.7639184647952953e-123
3.35704992018303e-18,0.000897708597878115,0.0,0.0,0.002441767350773661,0.7999999999765044,0.09999999999546524,0.09999999999997848,2.841711322106458e-43,2.0471705758356473e-42,9.421454230786722e-39,2.4534335781413077e-83,6.208678196510623e-99,1.480554293327656e-11,1.0862128886249765e-34,1.0739964335615926e-30,2.973947241210637e-50,4.533150832059987e-12,2.152589513537192e-14,1.321229750037999e-26,5.977185506350613e-32,3.578261681453741e-35,7.113659563865687e-54,5.133650289134848e-69,5.48264080117449e-67,6.287873466004412e-95,1.6092981582068826e-11,1.6102869451747178e-15,3.029076901681191e-32,2.644273011229989e-50,5.133650289141573e-69,3.990836058462238e-112,1.4964211056386347e-80,3.132096165287835e-92,8.104202272481529e-94,6.283027280041668e-110,2.257816433226317e-121
5.035575058137469e-18,0.000897708597878115,0.0,0.0,0.0024417673330462586,0.7999999999647566,0.09999999999319786,0.09999999999996771,1.3594925464769018e-42,3.0707559729667446e-42,1.4132192078485853e-38,1.1737667916262683e-82,3.249767760048258e-98,2.2208315005010792e-11,4.107783989752866e-34,3.1883104201983216e-30,1.4229103029148874e-49,6.799722108365885e-12,3.228839610720248e-14,3.922380025649496e-26,1.2701448165601452e-31,7.603795127314318e-35,1.511652720729809e-53,1.5240525290332991e-68,1.627645318272438e-66,3.590015593164375e-94,2.4139473113850716e-11,2.415427988412927e-15,6.436788679932677e-32,5.619080361623224e-50,1.5240525290358457e-68,2.4798088137443352e-111,7.159107275344142e-80,1.788238767896579e-91,3.06598452352223e-93,3.567317052105713e-109,1.4976880225248271e-120
6.714100196091907e-18,0.000897708597878115,0.0,0.0,0.002441767315318859,0.7999999999530087,0.09999999999093048,0.09999999999995694,4.499335461173996e-42,4.0943413718675695e-42,1.8842946001901546e-38,3.8847633486174214e-82,1.8916001268563686e-97,2.9611086969147025e-11,1.0690565761146702e-33,6.946921176202428e-30,4.70931571220168e-49,9.066290756736685e-12,4.3050628447358284e-14,8.546617903364547e-26,2.166706430540563e-31,1.2971162489918775e-34,2.57870175154176e-53,3.320830357803846e-68,3.5465274957623e-66,1.3390659964254624e-93,3.2185964578498943e-11,3.2205675228561374e-15,1.0980404429552414e-31,9.585492673015728e-50,3.3208303578104834e-68,1.4591131029069336e-110,2.3694040975022646e-79,6.670048697153456e-91,7.980740578277487e-93,1.371917794073492e-108,6.389181996640014e-120
1.0071150472000784e-17,0.000897708597878115,0.0,0.0,0.0024417672798640673,0.799999999929513,0.09999999998639576,0.09999999999993542,2.6250593225988053e-41,6.141512183142994e-42,2.82645350097623e-38,2.266635420389872e-81,3.0507078584785213e-96,4.441663064489361e-11,3.9225832979371e-33,2.0163554931409878e-29,2.7476328488139694e-48,1.359942188588489e-11,6.457446268637004e-14,2.48079932769182e-25,4.485851670304442e-31,2.6855083601074603e-34,5.338874509445563e-53,9.639346380061558e-68,1.0294369924173679e-65,9.169008658115235e-93,4.8278947350236834e-11,4.830843050701818e-15,2.273353295303369e-31,1.9845571964179477e-49,9.639346380086001e-68,2.651509829644727e-109,1.3824559690374436e-78,4.567147022681671e-90,2.9288192883732033e-92,1.0441372644616678e-107,5.594769380933175e-119
1.342820074790966e-17,0.000897708597878115,0.0,0.0,0.0024417672444092867,0.7999999999060172,0.09999999998186102,0.0999999999999139,8.73358000735538e-41,8.188683028767951e-42,3.768629952727846e-38,7.541370192596447e-81,1.502753464106006e-95,5.922217392496406e-11,1.0170552257231822e-32,4.409309642116677e-29,9.141834595107723e-48,1.813254335120359e-11,8.609730912658661e-14,5.425189228383703e-25,7.629195939154086e-31,4.567336465243015e-34,9.080027241232672e-53,2.1080163655044193e-67,2.2512441271577288e-65,3.48042362080401e-92,6.437192987510035e-11,6.441113030193571e-15,3.866378536961339e-31,3.375219781845225e-49,2.1080163655107743e-67,1.4629561264887294e-108,4.59957129258913e-78,1.7336136399977475e-89,7.59464784815456e-92,3.9426588898315746e-107,2.4005486147768114e-118
1.6785251023818537e-17,0.000897708597878115,0.0,0.0,0.002441767208954519,0.7999999998825215,0.0999999999773263,0.09999999999989237,2.3547991439205906e-40,1.0235853950595389e-41,4.710837020702093e-38,2.0334288202838466e-80,5.933084635382487e-95,7.402771678109591e-11,2.2236013292585605e-32,8.27200833638779e-29,2.465005017282236e-47,2.266565446243947e-11,1.0761909725575319e-13,1.0178316009421714e-24,1.1655589205525987e-30,6.97784261744667e-34,1.3872229945639996e-52,3.9549256210860735e-67,4.223610213466299e-65,1.0547771715114417e-91,8.046491213545572e-11,8.051377065039235e-15,5.906952756094305e-31,5.1565924178225734e-49,3.9549256211000076e-67,6.240708704193961e-108,1.240204939549942e-77,5.25386235628137e-89,1.6605521458904763e-91,1.205979474754036e-106,8.131537475213017e-118
2.349935157563629e-17,0.000897708597878115,0.0,0.0,0.0024417671380450195,0.7999999998355299,0.09999999996825688,0.09999999999984932,1.3880134629660119e-39,1.4330196544940033e-41,6.595448685339366e-38,1.1987799480972485e-79,8.079718363077599e-94,1.0363880119491503e-10,8.551439977154148e-32,2.2630268727778088e-28,1.4533421605117512e-46,3.173184497241647e-11,1.5065943240758622e-13,2.784912873680587e-24,2.241284577781366e-30,1.3418074672688028e-33,2.6675806533710594e-52,1.0821397379690996e-66,1.155650091082189e-64,9.440692128561711e-91,1.1265087584602757e-10,1.1271886927511806e-14,1.135886047754787e-30,9.916136805683039e-49,1.0821397379745008e-66,1.4617720988527338e-106,7.311382222090384e-77,4.702365946676883e-88,6.387224169678744e-91,1.0672262757470326e-105,1.1212578664746844e-116
3.021345212745404e-17,0.000897708597878115,0.0,0.0,0.0024417670671355684,0.7999999997885384,0.09999999995918751,0.0999999999998063,4.681086308630666e-39,1.842454101672951e-41,8.480458370616438e-38,4.04333591021562e-79,4.1605654976993056e-93,1.3324988388689615e-10,2.2711919728427297e-31,4.770081242604248e-28,4.902289355102422e-46,4.0797993429280374e-11,1.9369546987356202e-13,5.870821624843024e-24,3.675630947590125e-30,2.2005497541974704e-33,4.3748255830381245e-52,2.2812823462592322e-66,2.4362727643117694e-64,3.943785525536477e-90,1.448368384822926e-10,1.4492372645910063e-14,1.8628501643331752e-30,1.6262945917230534e-48,2.2812823462736653e-66,9.031413752369796e-106,2.46604377999774e-76,1.9643816020962348e-87,1.6966110780497728e-90,4.4107941101021425e-105,5.661620319217592e-116
4.3641653231089555e-17,0.000897708597878115,0.0,0.0,0.0024417669253168155,0.7999999996945554,0.0999999999410489,0.09999999999972024,3.201292904204875e-38,2.661324816626129e-41,1.2253052630359793e-37,2.7660344603558003e-78,6.520013293059704e-92,1.924720441060746e-10,1.0303700834807798e-30,1.4545549540089884e-27,3.354364647994831e-45,5.893016420239598e-11,2.7975465577219844e-13,1.7907011843693902e-23,7.619928992464051e-30,4.562084381759159e-33,9.069799893868884e-52,6.95862231255328e-66,7.432316113093228e-64,4.244064463945355e-89,2.0920876053235848e-10,2.093327166159229e-14,3.8620217462117666e-30,3.372089421945531e-48,6.958622312619709e-66,2.3463311993105487e-104,1.687188275036822e-75,2.1141415235417658e-86,7.699390427052169e-90,4.658054224424145e-104,9.609783712698693e-115
7.049805543836058e-17,0.000897708597878115,0.0,0.0,0.0024417666416798995,0.7999999995065894,0.09999999990477218,0.09999999999954819,4.031377537519364e-37,4.2990940379425676e-41,1.982254458174619e-37,3.485719094670505e-77,2.2977521911063587e-90,3.10916343885487e-10,7.70828654977236e-30,6.3069782226300025e-27,4.2294364876827395e-44,9.519400119653473e-11,4.5182148604926413e-13,7.769226137370045e-23,1.9810234049833042e-29,1.1861226628897037e-32,2.3581723371785828e-51,3.0194213221290944e-65,3.2280505238809176e-63,9.916796310349611e-88,3.3795259174275583e-10,3.3814780016738064e-14,1.0041320924645031e-29,8.77490118913105e-48,3.01942132218024e-65,1.5979265815388078e-102,2.128047120002156e-74,4.944140943228943e-85,5.76396638024427e-89,1.0442693633416517e-102,4.0917306877065294e-113
1.2421085985290263e-16,0.000897708597878115,0.0,0.0,0.0024417660744084266,0.7999999991306576,0.09999999983222077,0.09999999999920425,7.713427726265812e-36,7.575210053799634e-41,3.5243961266361673e-37,6.679571019659573e-76,1.4810258057076267e-88,5.478048608094488e-10,8.186536459460874e-29,3.5603832273422147e-26,8.113457535060697e-43,1.6771965704494757e-10,7.957490970351969e-13,4.391458796553043e-22,6.139205373627382e-29,3.67628523983337e-32,7.309652517308737e-51,1.7071574399331558e-64,1.837819862301617e-62,3.718669341150206e-86,5.954402026052128e-10,5.957663808001706e-14,3.1123668600356336e-29,2.7353500571382025e-47,1.7071574399905283e-64,2.041318739917031e-100,4.10479846893722e-73,1.865893896007819e-83,6.130753722243272e-88,3.823465930324713e-101,2.9588330656868094e-111
