Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(48),CH2O2X(49),CH3OX(44),CH3X(50),CH4(39),CH4X(236),CH3O2X(47),CH4O2(169),H(23),HCO(31),OCHCO(260),SX(257),CH2OX(167)
0.0,0.0028149649241145727,0.0915567593028733,0.0,0.008284441771669187,0.4515426283560999,0.0,0.4569006123410269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.825718162255018e-25,0.0028149649241145727,0.0915567593028733,0.0,0.008284441771669182,0.4515426283560999,2.2903884147993208e-85,0.4569006123410269,6.8824493482188e-85,1.6114210191057275e-97,1.0949352139251925e-47,-1.4489478923442623e-132,2.988590682407612e-180,1.639467790422254e-18,3.3747903777448147e-48,2.508441313836151e-59,2.2841419237804546e-74,3.374790377769899e-48,7.400836412089341e-26,2.1969843458396195e-64,4.0153743172686914e-48,3.3577691958886525e-42,1.0483570818587033e-79,-4.6085914899312535e-108,3.573828395308421e-89,-3.721386093669193e-117,2.5616684225347716e-18,1.300008655637606e-65,-4.240194039169319e-112,-2.521529931557042e-124,6.955416646229094e-151,5.805247679813974e-134,3.93425098349889e-89,-6.944435621786226e-115,1.8320194543559083e-51,1.1856720645601975e-94,1.0307412714746116e-197,-1.3054660213254665e-111,3.579891052401224e-100
2.7512010854314053e-24,0.0028149649241145727,0.0915567593028733,0.0,0.008284441771669177,0.4515426283560999,1.3833946025387904e-84,0.4569006123410269,2.9318627039878293e-83,9.534493012545196e-96,3.0658185989905396e-47,1.5066517397314847e-130,2.020788086349936e-177,4.590509813182309e-18,2.0383733881578673e-47,2.978021527638418e-58,7.181707599738926e-73,2.0383733881876471e-47,2.0722341953850146e-25,2.608245030360092e-63,2.42528608730114e-47,2.0280925943167375e-41,3.2962024914786944e-78,2.388259163000434e-106,5.400769369162927e-88,3.676967611830811e-116,7.172671583097356e-18,7.85205228646465e-65,2.1973488196704338e-110,2.326852693380264e-122,1.958388211104754e-148,9.155420809591182e-132,5.945439977516017e-88,6.861546812926329e-114,1.106538832451821e-50,2.6522866189715897e-93,1.3407034771464667e-195,1.2898839728051549e-110,2.173128607066815e-98
6.288459623843212e-24,0.0028149649241145727,0.0915567593028733,0.0,0.008284441771669161,0.4515426283560999,6.660449510236426e-84,0.4569006123410269,1.2677876236658281e-81,4.289970679444164e-94,7.007585369121233e-47,5.885407313538739e-128,6.490594074442951e-174,1.0492593858702395e-17,9.813890418481893e-47,2.923839195185603e-57,1.6021994585463694e-71,9.813890418774274e-47,4.736535303737171e-25,2.56078277546094e-62,1.1676708509680103e-46,9.764392821644066e-41,7.353646438855313e-77,2.5065751435383024e-104,5.809901228084247e-87,2.0280125083183017e-114,1.639467790422249e-17,3.780425187573982e-64,2.306206921719131e-108,4.960450603100574e-120,1.8919497991048695e-145,4.373981997738537e-129,6.395833020517608e-87,3.7844507306465323e-112,5.3275061474129385e-50,5.2404552636134207e-92,2.970272893058532e-193,7.11428847700875e-109,9.80650117141898e-97
1.3362976700666824e-23,0.0028149649241145727,0.0915567593028733,0.0,0.008284441771669131,0.4515426283560999,2.908793286795138e-83,0.4569006123410269,4.7646794791296356e-80,1.6169073491205075e-92,1.489111890938262e-46,1.8866949815449253e-125,1.011066181066609e-170,2.2296761949742485e-17,4.285983779735881e-46,2.58610265668326e-56,3.0007422672041815e-70,4.285983779994488e-46,1.006513752044146e-24,2.2649800627968644e-61,5.099525377829405e-46,4.264366878778445e-40,1.3772565928977284e-75,2.0012343129053503e-102,5.3403001839164696e-86,7.981555947964153e-113,3.483869054647261e-17,1.651011025520106e-63,1.8412615389620222e-106,7.93323664477379e-118,1.2862341905213426e-142,1.485435626499062e-126,5.8788724619277765e-86,1.489428942379917e-110,2.326661494104973e-49,9.325095868287003e-91,4.909510487625041e-191,2.7999379331388706e-107,3.702420422342831e-95
2.751201085431405e-23,0.0028149649241145727,0.0915567593028733,0.0,0.00828444177166907,0.4515426283560998,1.2143639375266e-82,0.4569006123410269,1.6521998465901274e-78,5.604338497970861e-91,3.065818598990539e-46,5.460671525257304e-123,1.2668532396826146e-167,4.5905098131822314e-17,1.7893138582802674e-45,2.173775107302963e-55,5.183036035513703e-69,1.789313858497643e-45,2.072234195384995e-24,1.903850853874696e-60,2.128951458424208e-45,1.780289227660031e-39,2.378868262047504e-74,1.425505178933501e-100,4.5687392366017307e-85,2.8200637280583623e-111,7.17267158309723e-17,6.892646464014283e-63,1.3115544955019261e-104,1.1310559384806247e-115,7.552016985675623e-140,4.358887323578994e-124,5.0294991827250183e-85,5.262488376330404e-109,9.713352918318091e-49,1.5728125216026503e-89,7.1044830252957346e-189,9.892812200467466e-106,1.2845147641155675e-93
5.581007916160851e-23,0.0028149649241145727,0.0915567593028733,0.0,0.00828444177166895,0.4515426283560997,4.961072921991921e-82,0.4569006123410269,5.5021586936124905e-77,1.8655428557330037e-89,6.219232015095093e-46,1.4900387984003853e-120,1.4322826604323535e-164,9.312177049598055e-17,7.30993094981009e-45,1.7821921669214488e-54,8.611691894598867e-68,7.309930951592266e-45,4.203675082066658e-24,1.5608913995907983e-59,8.697461347300674e-45,7.273062389061525e-39,3.95252518752896e-73,9.61698265378137e-99,3.7775219460748165e-84,9.474235077477734e-110,1.4550276639996938e-16,2.8158717002654127e-62,8.848229415484223e-103,1.5267103911418744e-113,4.136077427260348e-137,1.1933632435750542e-121,4.158487218445149e-84,1.767976077041104e-107,3.9682214428686886e-48,2.583348308859026e-88,9.657107863794262e-187,3.3235712878529366e-104,4.2779480723261163e-92
1.1240621577619742e-22,0.0028149649241145727,0.0915567593028733,0.0,0.008284441771668708,0.4515426283560995,2.005344995800716e-81,0.4569006123410269,1.7959817538915486e-75,6.087900603317689e-88,1.25260588473042e-45,3.9404309946294448e-118,1.540377049204421e-161,1.8755511522429155e-16,2.954790965653478e-44,1.4432654232227426e-53,1.403923127591404e-66,2.954790967096731e-44,8.466556855429847e-24,1.264050096047468e-58,3.5156529207573193e-44,2.9398881039209855e-38,6.443613592672372e-72,6.317965072236552e-97,3.0718181021113e-83,3.1057856779227046e-108,2.930548675379545e-16,1.1382215308150226e-61,5.812925596565297e-101,2.0063787762922483e-111,2.1896248614421898e-134,3.158446543685495e-119,3.3816127976220054e-83,5.795670844115032e-106,1.6040185209719097e-47,4.187718126663713e-87,1.2734387011059324e-184,1.0895127702641216e-102,1.3963915698751412e-90
2.2559848900537524e-22,0.0028149649241145727,0.0915567593028733,0.0,0.008284441771668224,0.4515426283560991,8.063404029837607e-81,0.4569006123410269,5.804296533650107e-74,1.967254223676799e-86,2.5139712511722446e-45,1.0254094621897733e-115,1.6163141627946725e-158,3.7642180468089125e-16,1.1881084516463781e-43,1.1616655738624261e-52,2.2673396040069193e-65,1.1881084528080337e-43,1.6992320402155663e-23,1.01741738898212e-57,1.4136285639534731e-43,1.1821160764886265e-37,1.0406453070749274e-70,4.096519405714796e-95,2.4775325691858057e-82,1.0058605867198328e-106,5.881590698138884e-16,4.576757546571828e-61,3.769055770007964e-99,2.6021064269968855e-109,1.1398991461174101e-131,8.220816355242401e-117,2.727393315711443e-82,1.8770248582869603e-104,6.449687860252345e-47,6.744190252332521e-86,1.6543068768972894e-182,3.5285691543068606e-101,4.512894470208732e-89
4.519830354637308e-22,0.0028149649241145727,0.0915567593028733,0.0,0.008284441771667256,0.4515426283560983,3.233785660524714e-80,0.4569006123410269,1.8665744755923051e-72,6.325992045838773e-85,5.0367019840559703e-45,2.646725823537421e-113,1.6753770517899237e-155,7.541551835940019e-16,4.764846285594063e-43,9.321634638811443e-52,3.6446822024955374e-64,4.764846294915616e-43,3.404384749560506e-23,8.164133300243115e-57,5.669282697370181e-43,4.740814181053908e-37,1.6728069079513957e-69,2.6388735483118602e-93,1.9900888704052968e-81,3.2381008298979806e-105,1.178367474365611e-15,1.83551472792636e-60,2.427929848683358e-97,3.3525933791877074e-107,5.884947692072699e-129,2.122014890011651e-114,2.1907907731102046e-81,6.042582765678708e-103,2.5866132882452186e-46,1.0825918278241922e-84,2.1332021482868787e-180,1.1359290595046198e-99,1.4512790307485448e-87
