Time (s),Volume (m^3),Ne,N2,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(52),COX(53),CH3OX(48),CHOX(64),SX(57),CH2O2X(54),CH3X(25),CH4(24),CH4X(275),SX(189)
0.0,0.00299236199292705,0.0,0.0,0.008139224620761576,0.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.382591130607665e-25,0.00299236199292705,0.0,0.0,0.008139224620761573,0.8,0.1,0.1,-3.553802838797359e-77,8.017674882292221e-50,3.689879209839257e-46,-1.444370872744593e-119,2.5349123769713196e-149,1.9328471111075845e-18,2.2459715715859264e-51,1.2546974454706823e-51,9.978472637630656e-80,5.917986867987944e-19,2.810275064076814e-21,3.6419206780223797e-50,4.584190161030771e-46,2.7443074745984303e-49,5.4557176467321705e-68,1.7989798428960069e-90,1.921337400289303e-88,-2.344523864058581e-118,2.1009207729430272e-18,2.102216852500653e-22,1.7989798428916275e-90,2.323106444024161e-46,-2.3915266723357735e-148,2.0279885570025056e-64,2.5758735775978826e-111,-4.019808253261798e-132,-1.6196857286249602e-115,-4.6706528555753105e-125
1.2271255165701463e-24,0.00299236199292705,0.0,0.0,0.008139224620761562,0.8,0.1,0.1,3.5114323400599804e-76,2.2449489670418223e-49,1.0331661787549919e-45,1.4271308530009877e-118,4.146467788400563e-148,5.411971911101229e-18,1.3565668292981457e-50,1.896098726650391e-50,3.064193971222419e-78,1.657036323036046e-18,7.868770179355751e-21,5.503670660154082e-49,2.768850857252642e-45,1.6575617146558897e-48,3.2952534608533585e-67,2.7186182629150457e-89,2.903524998472615e-87,2.3165395875381046e-117,5.8825781642404704e-18,5.886207186998505e-22,2.718618262900458e-89,1.403156292197446e-45,7.134249337235688e-147,1.2249050884291656e-63,7.264375433573069e-110,6.747309212612659e-131,1.6003531496683628e-114,4.614903964365211e-124
2.804858323588906e-24,0.00299236199292705,0.0,0.0,0.008139224620761545,0.8,0.1,0.1,1.9367032684959334e-74,5.131311924667022e-49,2.3615226942971244e-45,7.871266559069197e-117,1.2424090861532579e-145,1.2370221511088488e-17,6.531285331857507e-50,2.0397364824140658e-49,6.826688427710433e-77,3.787511595508238e-18,1.7985760409676312e-20,5.920597758428154e-48,1.333082498812831e-44,7.9804461361088e-48,1.5865226975647902e-66,2.9245654643824396e-88,3.123479692297839e-86,1.2776754540222375e-115,1.3445892946835335e-17,1.3454187855980912e-21,2.9245654643494967e-88,6.755593539323095e-45,9.20381005578058e-145,5.897390723758068e-63,1.5801603264342177e-108,7.953781128451899e-129,8.826665195554222e-113,2.545326459435165e-122
5.960323937626425e-24,0.00299236199292705,0.0,0.0,0.008139224620761512,0.8,0.1,0.1,7.622191305751294e-73,1.090403783991742e-48,5.01823572538139e-45,3.0978583309676948e-115,2.3606016384395677e-143,2.6286720711062897e-17,2.8523838992719572e-49,1.8748692424489157e-48,1.2781423225662847e-75,8.048462140443374e-18,3.821974086936816e-20,5.442049369921052e-47,5.821921504354935e-44,3.485270492715792e-47,6.92876152541983e-66,2.688179519619932e-87,2.8710159648286544e-85,5.0284887695238176e-114,2.8572522512024974e-17,2.8590149193892556e-21,2.688179519557937e-87,2.9503451840139667e-44,7.899464765697886e-143,2.5755454673877923e-62,2.9293509362090106e-107,6.287094083875309e-127,3.473870196811481e-111,1.0017524775802146e-120
1.2271255165701464e-23,0.00299236199292705,0.0,0.0,0.008139224620761446,0.8,0.09999999999999999,0.1,2.693091977676085e-71,2.244948967041822e-48,1.033166178754992e-44,1.0945432165331817e-113,3.633997638970937e-141,5.411971911101126e-17,1.1908141331857239e-48,1.6039901092688573e-47,2.2074228605054766e-74,1.657036323027666e-17,7.868770178495487e-20,4.6557878108527305e-46,2.4305376232397853e-43,1.4550318230102947e-46,2.892621694783393e-65,2.2997941749537766e-86,2.45621460299148e-84,1.7766784932094392e-112,5.882578164240388e-17,5.886207186950314e-21,2.29979417484645e-86,1.231711036714173e-43,5.806363577529005e-141,1.0752395329178775e-61,5.034805806903691e-106,4.449410209938642e-125,1.22739668919876e-109,3.539417435639784e-119
2.489311762185154e-23,0.00299236199292705,0.0,0.0,0.008139224620761313,0.7999999999999999,0.09999999999999998,0.1,9.047663043800641e-70,4.554039333141981e-48,2.095851391188698e-44,3.677207592169625e-112,5.0860305818110994e-139,1.0978571591090616e-16,4.864864362388619e-48,1.326210039809443e-46,3.667698965835786e-73,3.361416540979529e-17,1.5962362360094016e-19,3.8494953961075005e-45,9.929539255224507e-43,5.944279762094667e-46,1.1817305955228012e-64,1.9015142975980536e-85,2.0308457320360774e-83,5.968896928236318e-111,1.1933229990316021e-16,1.1940591721987345e-20,1.9015142974195255e-85,5.031941482796174e-43,3.9750314962914544e-139,4.3927043339686375e-61,8.344821390112832e-105,2.99188169905842e-123,4.123539715883043e-108,1.1890962795728275e-117
5.013684253415169e-23,0.00299236199292705,0.0,0.0,0.008139224620761045,0.7999999999999997,0.09999999999999995,0.1,2.965949451903353e-68,9.172220065342296e-48,4.2212218160561086e-44,1.2054396597543068e-110,6.802566949297968e-137,2.2111770951068859e-16,1.9664560804155602e-47,1.0784519781624202e-45,5.980062229864801e-72,6.770176976824079e-17,3.2149546717215833e-19,3.1303457252797207e-44,4.0136785261439736e-42,2.4027729206179253e-45,4.776748062357489e-64,1.5462798474047475e-84,1.65145002145825e-82,1.9566872142894132e-109,2.403453364246669e-16,2.404936079172107e-20,1.5462798471135358e-84,2.0339912014951322e-42,2.6300019260318735e-137,1.7756013250726462e-60,1.358737838129342e-103,1.962307899190942e-121,1.3517535215256424e-106,3.8980225584713803e-116
1.00624292358752e-22,0.00299236199292705,0.0,0.0,0.008139224620760513,0.7999999999999994,0.09999999999999988,0.1,9.605722918844155e-67,1.8408581529742912e-47,8.471962665790927e-44,3.904017779295418e-109,8.899168561615925e-135,4.4378169671022424e-16,7.90703539213139e-47,8.698105882656678e-45,9.66090103652523e-71,1.3587697848276464e-16,6.452391540715853e-19,2.5247372319452367e-43,1.613882482167834e-41,9.66144423539164e-45,1.9207159232938252e-63,1.2471307150061171e-83,1.3319542695452957e-81,6.337058521516077e-108,4.823714094676566e-16,4.8266898929827184e-20,1.2471307145356743e-83,8.178589165654904e-42,1.711223394957145e-135,7.13961483419558e-60,2.1930083491671977e-102,1.2712960718923596e-119,4.377879671168391e-105,1.2624397454368115e-114
2.0159919200795261e-22,0.00299236199292705,0.0,0.0,0.008139224620759446,0.7999999999999987,0.09999999999999974,0.1,3.092307223048439e-65,3.6881304458544105e-47,1.697344436526056e-43,1.2567947807501657e-107,1.151526965287251e-132,8.891096711091783e-16,3.1710780267935226e-46,6.986791640475124e-44,1.5539965632572943e-69,2.7222739590234384e-16,1.2927265268984008e-18,2.02800624571121e-42,6.472390576905632e-41,3.8746712565489965e-44,7.703034911539891e-63,1.0017632125559244e-82,1.0698981030409135e-80,2.0400475906594855e-106,9.66423555553541e-16,9.670197520059409e-20,1.0017632117995789e-82,3.279980053874768e-41,1.104232200993278e-133,2.8633048754797717e-59,3.524105545525974e-101,8.185986782609309e-118,1.409342024683068e-103,4.064089286206318e-113
