Time (s),Volume (m^3),Ne,N2,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(52),COX(53),CH3OX(48),CHOX(64),SX(57),CH2O2X(54),CH3X(25)
3.853342132084695e-22,0.000897708597878115,0.0,0.0,0.002441767386224403,0.7999999999999974,0.09999999999999949,0.1,8.753798364119521e-63,2.3498157067802893e-46,1.0814277518975033e-42,1.1859244449874084e-104,1.3241614096801184e-128,1.6994332772858476e-15,1.1580357613922961e-45,1.6253655039927165e-42,2.3048076233983237e-67,5.203320924062258e-16,2.470901560999089e-18,4.717832714719834e-41,7.878653686802512e-40,4.716525159891709e-43,9.378583540695491e-62,7.768140540782882e-81,8.296490332318954e-79,1.9250098249083682e-103,1.847210084008108e-15,1.8483496463143196e-19,7.768140529574913e-81,3.992624779092935e-40,6.640292756775177e-130,3.485418140965214e-58,5.219573285737202e-99
7.710032085309342e-22,0.000897708597878115,0.0,0.0,0.0024417673862203297,0.7999999999999947,0.09999999999999896,0.1,2.8054085785910638e-61,4.701672956311879e-46,2.163795058748865e-42,3.8006389085869634e-103,1.699519330351383e-126,3.4003430387320542e-15,4.635387641970575e-45,1.301610612863267e-41,3.7014853141010595e-66,1.041116254212612e-15,4.943949846415172e-18,3.778092501840835e-40,3.1535147052254885e-39,1.887839224957965e-42,3.756367792324712e-61,6.220812680972972e-80,6.64392099095129e-78,6.169252378300428e-102,3.696025042107069e-15,3.698305155725444e-19,6.220812663002166e-80,1.598090423601256e-39,4.2585195682252776e-128,1.395075582360459e-57,8.360388375454506e-98
1.5423411991758637e-21,0.000897708597878115,0.0,0.0,0.0024417673862121834,0.7999999999999893,0.09999999999999792,0.1,8.98402195133198e-60,9.405387455374973e-46,4.328529672451572e-42,1.2171141403193213e-101,2.1783286179684376e-124,6.8021625616017446e-15,1.8551216957162077e-44,1.0418160081203426e-40,5.9562639144339886e-65,2.0826845772704384e-15,9.890046360514527e-18,3.024005280738264e-39,1.26181664167863e-38,7.553815916861074e-42,1.5070228457508126e-60,4.9791714868140734e-79,5.317829568585788e-77,1.975637362259227e-100,7.393654958290815e-15,7.398216171361536e-19,4.979171457937543e-79,6.394443334928359e-39,2.7282518698946453e-126,5.582119497878187e-57,1.3383882462295914e-96
3.085017180465722e-21,0.000897708597878115,0.0,0.0,0.002441767386195891,0.7999999999999785,0.09999999999999584,0.09999999999999999,2.8759616746701104e-58,1.8812816453500813e-45,8.657998899856918e-42,3.896221392103409e-100,2.790146170031964e-122,1.3605801607250239e-14,7.427501855303119e-44,8.336638271945735e-40,9.630255288285887e-64,4.16582122116631e-15,1.9782239161781998e-17,2.4198168846903604e-38,5.048088174570262e-38,3.022018235747892e-41,6.092873703137635e-60,3.9843459908957506e-78,4.255340980932962e-76,6.32440306193468e-99,1.4788914790601602e-14,1.4798038189889092e-18,3.9843459440007474e-78,2.55819374019952e-38,1.7469798897615367e-124,2.233211283616052e-56,2.1420022539294302e-95
6.170369143045439e-21,0.000897708597878115,0.0,0.0,0.0024417673861633054,0.7999999999999569,0.09999999999999168,0.09999999999999998,9.204796341467982e-57,3.762767444975111e-45,1.7316937354667343e-41,1.2470238908031692e-98,3.57259433279337e-120,2.7213079698183685e-14,2.980535057376669e-43,6.670154195833153e-39,1.5722586376761033e-62,8.332094500078923e-15,3.956662385659203e-17,1.9360985997743207e-37,2.0193995804202078e-37,1.2089056715355756e-40,2.5394490008038143e-59,3.187880395446879e-77,3.4047036920257303e-75,2.024187176849147e-97,2.957943445499634e-14,2.9597682175965684e-18,3.1878803160587864e-77,1.0233607983089873e-37,1.1183578587153963e-122,8.933572147212751e-56,3.427668554540135e-94
1.2341073068204875e-20,0.000897708597878115,0.0,0.0,0.002441767386098135,0.7999999999999137,0.09999999999998334,0.09999999999999994,2.945809367666617e-55,7.525739044224619e-45,3.4634814264287143e-41,3.9908494790875497e-97,4.57369361874632e-118,5.4427635878596393e-14,1.2071314885272536e-42,5.336459836429844e-38,2.615625291590624e-61,1.6664641022387632e-14,7.913538961531278e-17,1.5489769195092345e-36,8.077926773110544e-37,4.835819419058579e-40,1.17921499754947e-58,2.5504658430249677e-76,2.723935205832183e-74,6.4780038630141185e-96,5.916047378287852e-14,5.91969699442048e-18,2.550465688181174e-76,4.093609924047398e-37,7.158460062153851e-121,3.573574260268313e-55,5.484641828316526e-93
2.4682480918523743e-20,0.000897708597878115,0.0,0.0,0.0024417673859677934,0.7999999999998273,0.09999999999996667,0.09999999999999985,9.427025880957385e-54,1.5051682242721423e-44,6.927056808352274e-41,1.2771316854443449e-95,5.854823035103032e-116,1.0885674823360507e-13,5.066534784904556e-42,4.269300909703967e-37,4.5046171476920256e-60,3.332973392493899e-14,1.5827290660915957e-16,1.239220747714657e-35,3.231236255534364e-36,1.9343670920572008e-39,7.332048229797318e-58,2.0404375561389518e-75,2.1792168736968362e-73,2.073057844210625e-94,1.1832255243501364e-13,1.1839554466502676e-17,2.0404371303183345e-75,1.637477412712193e-36,4.581775372465367e-119,1.4294587798580724e-54,8.775725748974394e-92
4.9365296619161485e-20,0.000897708597878115,0.0,0.0,0.002441767385707111,0.7999999999996545,0.09999999999993332,0.0999999999999997,3.0167158649408968e-52,3.0103568639706174e-44,1.385420757219818e-40,4.0869205180069123e-94,7.494494592459897e-114,2.177149729203556e-13,2.407297051369977e-41,3.415491456044627e-36,8.229827225396675e-59,6.665991916177749e-14,3.16547882502496e-16,9.913922753091619e-35,1.2925074954559393e-35,7.737546834996233e-39,7.119321532116115e-57,1.6323773758270062e-74,1.743400672657706e-72,6.633938530742611e-93,2.3664670972476697e-13,2.3679269084404565e-17,1.6323755542721285e-74,6.549977308331245e-36,2.932517921267771e-117,5.717893231605527e-54,1.4041411481648202e-90
9.873092802043696e-20,0.000897708597878115,0.0,0.0,0.0024417673851857453,0.799999999999309,0.09999999999986664,0.09999999999999938,9.653585055227739e-51,6.020734143364032e-44,2.7708509099891213e-40,1.307838487196486e-92,9.593198350602955e-112,4.354314222007891e-13,1.5719872096680072e-40,2.7324094742300475e-35,1.6439279667994678e-57,1.3332028736239764e-13,6.330976019119114e-16,7.93120078438419e-34,5.170055039362593e-35,3.0950342811814833e-38,9.553382629920846e-56,1.3059211076169723e-73,1.3947309111580719e-71,2.1228841660603146e-91,4.73295024246206e-13,4.735869701515844e-17,1.3059108877349975e-73,2.6200050714506074e-35,1.8769616521796606e-115,2.2871688840568844e-53,2.2466593172428342e-89
1.974621908229879e-19,0.000897708597878115,0.0,0.0,0.0024417673841430148,0.799999999998618,0.09999999999973327,0.09999999999999874,3.0891534414909263e-49,1.2041488702136704e-43,5.541711215537943e-40,4.185324725796921e-91,1.227985134057207e-109,8.708643203893861e-13,1.6032976277195638e-39,2.185927731664071e-34,3.677172626457175e-56,2.6664101467141115e-13,1.2661961112230733e-15,6.344985456979303e-33,2.0680262840150357e-34,1.2380167049237758e-37,1.4573569344612637e-54,1.0447967480948872e-72,1.115788083707271e-70,6.793263466226336e-90,9.465916530568133e-13,9.471754765646707e-17,1.0447335415437347e-72,1.0480053514595818e-34,1.2014589622342445e-113,9.148698483421677e-53,3.594851350139628e-88
3.9492471642808984e-19,0.000897708597878115,0.0,0.0,0.002441767382057553,0.799999999997236,0.09999999999946654,0.09999999999999748,9.885244249188732e-48,2.4082997819625456e-43,1.1083431826832085e-39,1.3398628546022654e-89,1.572266420792135e-107,1.7417301152774998e-12,2.2005110808287298e-38,1.7487320512643093e-33,9.233573500532839e-55,5.332824329205359e-13,2.5323894118256472e-15,5.075997971970358e-32,8.272107726625311e-34,4.952071868665483e-37,2.310705271846778e-53,8.361952240940374e-72,8.926305377786748e-70,2.1738486450558193e-88,1.8931849097489453e-12,1.8943522805829247e-16,8.357929420857553e-72,4.192031997600268e-34,7.693914408806852e-112,3.659483814902137e-52,5.754090265479834e-87
7.898497676382937e-19,0.000897708597878115,0.0,0.0,0.0024417673778866305,0.799999999994472,0.09999999999893307,0.09999999999999495,3.163234368176798e-46,4.816601605437695e-43,2.2166873052696497e-39,4.301867823614897e-88,3.535562880621291e-105,3.483461699097407e-12,3.374869591974279e-37,1.3989652735901443e-32,2.547831088970781e-53,1.0665651239432156e-12,5.064761141039056e-15,4.060801699461398e-31,3.30883885198989e-33,1.9808290085103822e-36,3.712401388442676e-52,6.7125111754144674e-71,7.141024248685992e-69,6.956352507288535e-87,3.78637141941688e-12,3.7887050533881244e-16,6.686637031639497e-71,1.6768180741894256e-33,6.533943371699458e-110,1.4637943090257004e-51,9.236388214172098e-86
1.5796998700587013e-18,0.000897708597878115,0.0,0.0,0.0024417673695447863,0.7999999999889439,0.09999999999786613,0.09999999999998989,1.0122047496291445e-44,9.633205252298864e-43,4.4333755557371994e-39,1.413762133131743e-86,4.665815898660642e-103,6.966924842911941e-12,5.341273410422982e-36,1.1191379640106978e-31,7.507312535745818e-52,2.1331299240866122e-12,1.01294451121975e-14,3.2486418552467914e-30,1.32353088766824e-32,7.923310566135653e-36,6.021784144882922e-51,5.5190736036298696e-70,5.712778843632104e-68,2.2261546299598536e-85,7.57274442388743e-12,7.577407258076231e-16,5.351175973582438e-70,6.707308101403175e-33,4.317825388588053e-108,5.855178523705999e-51,1.516587401583405e-84
3.1594000748995168e-18,0.000897708597878115,0.0,0.0,0.0024417673528610994,0.7999999999778877,0.09999999999573224,0.09999999999997976,3.2388579885048595e-43,1.9266412545705243e-42,8.866752141597792e-39,5.504349666386482e-85,7.293290655578591e-101,1.3933851035239901e-11,8.522182752233058e-35,8.952548780156195e-31,2.299262607887753e-50,4.2662571967680806e-12,2.025857511102881e-14,2.5989123495466396e-29,5.294083801631209e-32,3.1693183408927703e-35,9.910291936720551e-50,5.398318041959061e-69,4.570154829082552e-67,7.1272000204853485e-84,1.5145490373367268e-11,1.5154798303786753e-15,4.293232578510659e-69,2.6829506049282914e-32,3.3790112295937796e-106,2.3420723009519955e-50,2.937782651677038e-83
4.739100279740332e-18,0.000897708597878115,0.0,0.0,0.0024417673361774163,0.7999999999668316,0.09999999999359835,0.09999999999996963,1.5494922445532416e-42,2.889961983889302e-42,1.3300128921663494e-38,2.962085941160231e-84,3.9423668442432235e-100,2.0900777132266774e-11,3.222733589507936e-34,2.6576965498888054e-30,1.0900851687505126e-49,6.399382141846744e-12,3.03874671719631e-14,7.715518580819158e-29,1.1249869009488535e-31,6.734792406220885e-35,3.832088345993043e-49,1.9153178333385217e-68,1.356753515755876e-66,3.410971920566221e-83,2.2718236263385842e-11,2.273217598585506e-15,1.2784629503719036e-68,5.701315764292887e-32,1.82502160929124e-105,4.976906165626026e-50,1.2822922342675408e-82
6.318800484581147e-18,0.000897708597878115,0.0,0.0,0.0024417673194937354,0.7999999999557754,0.09999999999146449,0.0999999999999595,5.128160527877262e-42,3.853282713208938e-42,1.773350607806545e-38,1.1516437043667652e-83,2.7003030979640934e-99,2.7867703133992576e-11,8.387053982591885e-34,5.7907931112145616e-30,3.583457647772588e-49,8.532504759325134e-12,4.0516121300587255e-14,1.6811702620406462e-28,1.9190859896464209e-31,1.1488749060906843e-34,1.0474667055046409e-48,5.319996653909902e-68,2.956272388676642e-66,1.1295382335053297e-82,3.029098209394318e-11,3.030954030430466e-15,2.8000392011601434e-68,9.725849863381666e-32,9.26877977712925e-105,8.490023100904817e-50,4.027993700198173e-82
9.478200894262778e-18,0.000897708597878115,0.0,0.0,0.0024417672861263796,0.799999999933663,0.09999999998719673,0.09999999999993923,2.9919471366625693e-41,5.779924172041146e-42,2.6600262291054817e-38,1.2019557724255331e-82,8.769277272793837e-98,4.180155491377845e-11,3.077336021443825e-33,1.6807933701051938e-29,2.0718397166756327e-48,1.2798744531554432e-11,6.077287116260243e-14,4.879914678937811e-28,3.973191536888312e-31,2.3785945244638074e-34,4.393825982544953e-48,3.0138784246484706e-67,8.581042775098241e-66,6.609924438345908e-82,4.543647361550595e-11,4.546423757768175e-15,8.311392814528609e-68,2.013642734788801e-31,1.7201669843097887e-103,1.7577556363646446e-49,2.5147907025467596e-81
