Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(49),H2X(48),COX(58),CHOX2(59),SX(51),CH3OX(44),CH2OX2(50),CH3X(53),CH4(39),H(23),CH4X(405),CH2OX(174),CHOX(173),HCO(31)
0.0,0.0005344628783687447,0.0915567593028733,0.0,0.0015729242510392155,0.4515426283560999,0.0,0.4569006123410269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5597710778898911e-24,0.0005344628783687447,0.0915567593028733,0.0,0.0015729242510392097,0.4515426283560999,1.3710500244822904e-86,0.4569006123410269,5.30140097552248e-84,2.3050620513850258e-94,4.8316368493800695e-48,2.7467379083288573e-129,3.2582076947493703e-174,2.5526007647889493e-18,4.245854552158872e-45,1.2826015590887819e-59,2.3393173169965275e-70,4.245854552158885e-45,8.996380135213828e-26,9.471188971603102e-62,1.667035959996959e-45,7.455631939767205e-44,2.8052157797495586e-78,-1.2924977630056512e-105,1.1186801234441564e-88,-1.1071737605393528e-117,1.7274879931663152e-18,3.988438694982748e-29,5.375391655431005e-63,2.7453731807543234e-79,8.931658543425026e-66,-7.04324196503678e-110,8.93643197680911e-104,-7.343267139925536e-122,2.6153220009790065e-147,5.368898317024508e-52,1.3489220188538345e-130,8.900407761808647e-97,5.826826755980167e-94,1.1098546138854811e-92
4.367359018091695e-24,0.0005344628783687447,0.0915567593028733,0.0,0.0015729242510391986,0.4515426283560999,8.281142147873035e-86,0.4569006123410269,3.14720322919464e-82,1.4022817675452828e-92,1.3528583178264193e-47,4.33186366033139e-127,2.2060999361951357e-171,7.147282141408992e-18,2.56449614950394e-44,1.5227045708674757e-58,7.355187350033791e-69,2.5644961495039546e-44,2.5189864378598602e-25,1.1244195467037198e-60,1.006889719629599e-44,4.5032016916038925e-43,8.820047519679296e-77,6.697967568966128e-104,1.690549387562082e-87,1.0939585414122546e-116,4.836966380865638e-18,1.1167628345951644e-28,6.381664971752215e-62,6.141289949077443e-78,5.3947217602286505e-65,3.6499410395228256e-108,1.0164546786244849e-101,6.776322880237083e-120,7.360971433061634e-145,3.242813223827722e-51,2.1273767170801797e-128,5.369709247083111e-95,1.8320476156874478e-92,2.482700360192483e-91
9.982534898495303e-24,0.0005344628783687447,0.0915567593028733,0.0,0.001572924251039177,0.4515426283560999,3.9870134711945006e-85,0.4569006123410269,1.4167031798449759e-80,6.33057018076742e-91,3.0922475836032443e-47,2.0695382614220752e-124,7.081986006465407e-168,1.633664489464883e-17,1.2346945037677713e-43,1.4950003771421034e-57,1.6409018328543416e-67,1.2346945037677862e-43,5.75768328653677e-25,1.1039617741812813e-59,4.847740568542695e-44,2.1680977680610573e-42,1.9677040837185864e-75,7.029789429315412e-102,1.818615885921505e-86,6.033671871418967e-115,1.1055923156264116e-17,2.5526007647889234e-28,6.265556508686423e-61,1.213415399400128e-76,2.5973263044279052e-64,3.8307615972385444e-106,9.20192554045511e-100,1.4445957412181984e-117,7.114372743158232e-142,1.5612746788321516e-50,1.016349510901e-125,2.4203023061754077e-93,4.087197453607756e-91,4.90539752052691e-90
2.1212886659302518e-23,0.0005344628783687447,0.0915567593028733,0.0,0.0015729242510391338,0.4515426283560999,1.7412335310925088e-84,0.4569006123410269,5.341460401069129e-79,2.3903028403880717e-89,6.571026115156894e-47,7.028300217712121e-122,1.103093521820224e-164,3.471537040112748e-17,5.3922352812414735e-43,1.3223109032060993e-56,3.073227530427531e-66,5.392235281241604e-43,1.2235076983890405e-24,9.764416847506885e-59,2.117135665963393e-43,9.46865256326414e-42,3.685291975790313e-74,5.612541020025521e-100,1.6716213189991388e-85,2.3746446059858053e-113,2.3493836707060385e-17,5.4242766251763635e-28,5.541813770826849e-60,2.1592078652688253e-75,1.1343206350148846e-63,3.058456705114645e-104,6.97424065719381e-98,2.3103384719612816e-115,4.836755862493031e-139,6.818496103828055e-50,3.4515957602378936e-123,9.135514395436187e-92,7.654868492026545e-90,8.728892770106858e-89
4.367359018091695e-23,0.0005344628783687447,0.0915567593028733,0.0,0.0015729242510390473,0.4515426283560999,7.269307229805103e-84,0.4569006123410269,1.851763801488337e-77,8.293070939907402e-88,1.3528583178264193e-46,2.0623962529257402e-119,1.3821005934674376e-161,7.147282141408078e-17,2.2511520835543703e-42,1.1114819893159132e-55,5.308236300919706e-65,2.2511520835544805e-42,2.5189864378596947e-24,8.207580689880907e-58,8.838624630809178e-43,3.9529760542483865e-41,6.365425409930606e-73,3.9978858212666744e-98,1.4301072320690954e-84,8.39015496987252e-112,4.836966380865019e-17,1.1167628345950926e-27,4.658228383722173e-59,3.64181965315964e-74,4.735565359723111e-63,2.178578413624734e-102,4.849454527801098e-96,3.293891463886613e-113,2.8398800197315597e-136,2.8465877802207197e-49,1.01284207306114e-120,3.16928609693364e-90,1.3221881688711157e-88,1.4722553461445388e-87
8.859499722414582e-23,0.0005344628783687447,0.0915567593028733,0.0,0.0015729242510388742,0.4515426283560998,2.9697491950296196e-83,0.45690061234102686,6.16469250375884e-76,2.7619388624787946e-86,2.744369730447879e-46,5.646367284227985e-117,1.5625446547747379e-158,1.4498772343997114e-16,9.196690794155973e-42,9.112600877015924e-55,8.819714004863053e-64,9.196690794156878e-42,5.1099439168007096e-24,6.72907050561639e-57,3.6108665461583e-42,1.614919700498299e-40,1.057624948545722e-71,2.6971209295701388e-96,1.182440315031281e-83,2.818741305264772e-110,9.812131801181885e-17,2.265433178749879e-27,3.819097050902637e-58,5.981699697825539e-73,1.9346329671393265e-62,1.4697491908761656e-100,3.233632234317888e-94,4.446126973978597e-111,1.5553465134487884e-133,1.162923965925049e-48,2.772928983666002e-118,1.0554846635240293e-88,2.196835417615347e-87,2.4181838181211e-86
1.7843781131060356e-22,0.0005344628783687447,0.0915567593028733,0.0,0.0015729242510385281,0.45154262835609976,1.2004201068354201e-82,0.45690061234102675,2.0118542192890773e-74,9.015428396592394e-85,5.527392555690797e-46,1.4944107983545618e-114,1.6804513710793735e-155,2.9201752749168714e-16,3.7174494614317613e-41,7.379620449518586e-54,1.437835980717064e-62,3.717449461432494e-41,1.0291858874681568e-23,5.449375721295338e-56,1.4595699804403662e-41,6.527763632093675e-40,1.7241955851021254e-70,1.771898358071927e-94,9.615408267035178e-83,9.24022549124779e-109,1.9762462641811235e-16,4.562773867058945e-27,3.09280378207209e-57,9.696592926857994e-72,7.820095774372883e-62,9.65565230232899e-99,2.1121788444600352e-92,5.843030099541033e-109,8.23396374661753e-131,4.7007245574717845e-48,7.339046165150618e-116,3.4452617406324658e-87,3.581396183599801e-86,3.9199801498859145e-85
3.5812343948351904e-22,0.0005344628783687447,0.0915567593028733,0.0,0.001572924251037836,0.4515426283560996,4.8268364531908846e-82,0.4569006123410265,6.501310045092041e-73,2.913630635328949e-83,1.1093438206176645e-45,3.8896579325274323e-112,1.7632841276968105e-152,5.860771355948604e-16,1.4947700785042519e-40,5.939760548934025e-53,2.3221089489851112e-61,1.4947700785048412e-40,2.0655688790438602e-23,4.38613160718786e-55,5.868866614251836e-41,2.6247850457015757e-39,2.784580437444975e-69,1.148885104481331e-92,7.755175109320196e-82,2.9926026646304005e-107,3.966312432305241e-16,9.157455243675055e-27,2.4893575089577034e-56,1.561606381647826e-70,3.1444261168422485e-61,6.260649865396312e-97,1.365615325996255e-90,7.577924097597299e-107,4.286531599767182e-128,1.890140660352202e-47,1.910209640300233e-113,1.113447766559587e-85,5.783964404568146e-85,6.3130071038842295e-84
7.1749469582935e-22,0.0005344628783687447,0.0915567593028733,0.0,0.001572924251036452,0.4515426283560993,1.935777303266416e-81,0.45690061234102614,2.0906183911516282e-71,9.369799231329513e-82,2.2225529507148574e-45,1.0040258274166121e-109,1.8277125073498321e-149,1.1741963518001714e-15,5.994696567053817e-40,4.766283765373142e-52,3.7327223139990554e-60,5.994696567058545e-40,4.138334862193392e-23,3.519594292877242e-54,2.3536779373133654e-40,1.0526561992128542e-38,4.476131604051102e-68,7.40082536665115e-91,6.229378392111912e-81,9.63392068227499e-106,7.946444768546468e-16,1.834681799689918e-26,1.9975525581474608e-55,2.5067240343165296e-69,1.2610555107472742e-60,4.032951345333718e-95,8.784440690038636e-89,9.763512194802e-105,2.2130049608685565e-125,7.580309414739867e-47,4.9307673019900104e-111,3.5806800264298465e-84,9.297553863861852e-84,1.0133774262800776e-82
