Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(50),CH2O2X(51),CH3OX(46),CH3X(52),CH4(41),CH4X(238),CH3O2X(49),CH4O2(171),SX(188),SX(53),C2H4O(231),CH2OX(169),CHOX(168),SX(54),SX(55),SX(318),SX(259),SX(262),SX(450),C2HOX(465),C2H6O(236),SX(357),SX(497),OCCO(227),SX(387)
6.896597126560972e-22,0.0028149649241145727,0.1557,0.0,0.008284441771663913,0.6423999999999966,0.20189999999999894,9.603905210645463e-120,1.149378823312901e-143,5.898926477740631e-49,2.0126396090582902e-162,3.5967859160538807e-104,4.3567676968987003e-129,1.6371188855889305e-15,2.1598620803451067e-98,1.7837065293454873e-123,1.1402100181215557e-143,1.078390512564879e-15,4.718497730422339e-127,1.1629320121169053e-46,4.411398144373318e-154,2.9535245959045775e-141,4.059278639928701e-64,1.0538430861587374e-84,1.233244084464907e-189,2.0571425970150173e-105,2.5579982587331277e-15,7.808718045059045e-169,1.0516182812402657e-84,2.1598617915871772e-98,1.2607983760193821e-119,2.88341189791825e-105,3.7197546245597543e-196,9.43582153392543e-211,4.167402749408319e-108,3.425462997748117e-110,4.784220912385829e-131,6.854996752999181e-77,3.507028752544608e-59,1.1636927280485156e-109,2.81793312225438e-136,7.901030141038225e-131,2.258324705206328e-207,2.9052353182405353e-123,2.2067329440668983e-131,8.348121829066264e-140,4.396677873728226e-179,3.743502822141285e-158,2.9356513023990622e-182,6.245202693150501e-122,1.481623056447566e-137
1.3799186083814003e-21,0.0028149649241145727,0.1557,0.0,0.008284441771658635,0.6423999999999933,0.20189999999999786,6.168542794352254e-118,2.954255111648909e-141,1.1802978000205533e-48,9.903459464620905e-160,1.155089967214482e-102,1.4366265431999899e-127,3.2756601159931286e-15,3.4666046119745353e-97,1.1456659525400648e-121,2.9306884780279796e-141,2.1577179412991583e-15,3.1526556348281573e-125,9.312887890553128e-46,2.908940717941555e-152,3.795715575529574e-139,1.624769362798276e-63,8.457115192918618e-84,3.1716210805533e-187,6.606413198925558e-104,5.118218931240961e-15,4.01589702650883e-166,8.42147688937739e-84,3.4666036846425146e-97,8.097993815445856e-118,9.259936794882212e-104,7.653112521075736e-193,9.710948714430993e-208,1.338341083751696e-106,2.740386747568503e-109,6.148430750793593e-129,2.196882552661077e-75,2.808467327504532e-58,3.737142485203046e-108,1.392835896411463e-134,1.0153991124586296e-128,2.324171095713003e-204,1.8660188599765648e-121,2.834759506489049e-129,2.144796503808021e-137,9.048497120934249e-176,1.9252227362237473e-155,3.776562294460262e-180,9.998529994291283e-121,4.7442364970456995e-136
2.7604363998320067e-21,0.0028149649241145727,0.1557,0.0,0.008284441771648079,0.6423999999999865,0.2018999999999957,3.967129126446466e-116,7.601407174054757e-139,2.3611081045135044e-48,5.040084297113809e-157,3.7143958129403505e-101,5.136693940003113e-126,6.552742576793138e-15,5.572219727466632e-96,7.368032585601479e-120,7.540769357982164e-139,4.316372798763587e-15,2.1843902165321672e-123,7.454084873665601e-45,2.0794437927565948e-150,4.883338845044488e-137,6.501194716985188e-63,6.797651854284569e-83,8.16257561252969e-185,2.1244099548513157e-102,1.0238660276246069e-14,2.067089633773182e-163,6.740597404473184e-83,5.572216745465179e-96,5.20780127656624e-116,2.9776977807082652e-102,1.5759316354498195e-189,9.999158774233445e-205,4.30367437721803e-105,2.1923620155453906e-108,7.910200026879821e-127,7.035282359869135e-74,2.247912148214661e-57,1.2017447982540158e-106,1.0773763933287391e-132,1.30635123207311e-126,2.3931398485667823e-201,1.2000788362125796e-119,3.64615918444621e-127,5.517385713694499e-135,1.8634052227692498e-172,9.909636026407917e-153,4.904733133250672e-178,1.6002618195315138e-119,1.5186430419518516e-134
5.521471982733219e-21,0.0028149649241145727,0.1557,0.0,0.008284441771626967,0.642399999999973,0.20189999999999136,2.560749499169215e-114,1.9628423467541258e-136,4.722728713499295e-48,2.5958721988993593e-154,1.1988743753541345e-99,2.3400131263800142e-124,1.3106907498359616e-14,8.990443613782743e-95,4.756000114171653e-118,1.9471843941191305e-136,8.633682513675923e-15,1.6124830750755058e-121,5.964778092170749e-44,1.893550517557839e-148,6.305184233195781e-135,2.600904118395567e-62,5.485161501552551e-82,2.107765663161632e-182,6.856844006852821e-101,2.0479542966214064e-14,1.0676881514406772e-160,5.393847766062352e-82,8.990433988936661e-95,3.361294284502757e-114,9.610955343749412e-101,3.2562801087540456e-186,1.0329491062198515e-201,1.3890738831319267e-103,1.7540601293225436e-107,1.0213353167129948e-124,2.2521319941934384e-72,1.798785144258985e-56,3.878807193536612e-105,1.161254255921494e-130,1.6867116441876992e-124,2.4721167418470806e-198,7.746410786604538e-118,4.7069971347508e-125,1.4245099160443652e-132,3.8503374971005824e-169,5.118500844854465e-150,7.310579666118527e-176,2.560818337565669e-118,4.860440895658601e-133
1.1043543148535643e-20,0.0028149649241145727,0.1557,0.0,0.008284441771584742,0.6423999999999459,0.20189999999998273,1.6658489569046327e-112,5.10767994746815e-134,9.445969931470422e-48,1.350202648616126e-151,3.899997075498321e-98,1.656927632687581e-122,2.621523734135839e-14,1.461860971400047e-93,3.093923132456217e-116,5.066935049533601e-134,1.72683019434345e-14,1.3124295609934858e-119,4.772426624748407e-43,2.6835347087685094e-146,8.204397540246562e-133,1.0404555990848324e-61,4.461755640867631e-81,5.4837363491079676e-180,2.230569406816297e-99,4.096130834598116e-14,5.557384437132634e-158,4.315631259554492e-81,1.4618578403841961e-93,2.186235636067192e-112,3.126497116346489e-99,6.779995997412639e-183,1.0753017163489852e-198,4.518734424869051e-102,1.4038072945179507e-106,1.3289761612948957e-122,7.208169091973539e-71,1.4392103079126142e-55,1.2617975042695096e-103,1.436729411979243e-128,2.1947733808069233e-122,2.5727871576028236e-195,5.0392861742265956e-116,6.123733117897649e-123,3.7064213649321194e-130,8.016904220582268e-166,2.6642116313017094e-147,3.0010438261423766e-173,4.0976346731593796e-117,1.5554685561812022e-131
2.2087685480140494e-20,0.0028149649241145727,0.1557,0.0,0.008284441771500292,0.6423999999998918,0.20189999999996547,1.1003742598586647e-110,1.3495012656737913e-131,1.8892452367410868e-47,7.134751963694404e-149,1.2883689162233062e-96,1.7360301531277422e-120,5.243189702681924e-14,2.4133740572703844e-92,2.0436789795094194e-114,1.33873604693821e-131,3.453754080268729e-14,1.2150481702667658e-117,3.8181829748911173e-42,5.645889411141622e-144,1.0840395457333856e-130,4.1622887067662286e-61,3.686565876241453e-80,1.4482870397538392e-177,7.368742048897875e-98,8.192483910483975e-14,2.9371625440292956e-155,3.45273430980558e-80,2.4133637138808438e-92,1.4436153077205278e-110,1.0328461788205994e-97,1.4333705855510714e-179,1.138432789593204e-195,1.4927752630917898e-100,1.1249215678789474e-105,1.7559634554252345e-120,2.3068294783658524e-69,1.1514411277615906e-54,4.168379735670677e-102,1.8740690135135043e-126,2.8999330172566333e-120,2.7179982350999855e-192,3.3286932164070505e-114,8.089099002872768e-121,9.791368908049095e-128,1.6948555871244186e-162,1.408076036497955e-144,4.734021103810441e-170,6.556494281408766e-116,4.977717181638362e-130
4.4175970143350196e-20,0.0028149649241145727,0.1557,0.0,0.008284441771331393,0.6423999999997837,0.20189999999993094,7.48004207854146e-109,3.669046716116762e-129,3.778541723928453e-47,3.880580195409522e-146,4.380862180900666e-95,2.2101317908717567e-118,1.0486521639559417e-13,4.099333248998344e-91,1.3892272552293655e-112,3.6397780579679854e-129,6.907601852013542e-14,1.2994251263814985e-115,3.05464305279814e-41,1.4504944969601524e-141,1.4741434519338456e-128,1.665899661780372e-60,3.136637357032218e-79,3.9371582904973423e-175,2.505623006462763e-96,1.6385190061985458e-13,1.597589425398963e-152,2.762292100465409e-79,4.099298077954373e-91,9.807077489842537e-109,3.5120284533097968e-96,3.1186190069149286e-176,1.2591833950894303e-192,5.075943777631318e-99,9.064915401923262e-105,2.3878651700462815e-118,7.382198121714075e-68,9.211820556408244e-54,1.4173909288641844e-100,2.5404070043509893e-124,3.943504077386817e-118,2.955595319581827e-189,2.262753701412133e-112,1.0995126892539032e-118,2.661503699864632e-125,3.6874798273664453e-159,7.658840004481997e-142,1.008185998866387e-166,1.0490673304756073e-114,1.592913223992163e-128
8.835253946976959e-20,0.0028149649241145727,0.1557,0.0,0.008284441770993595,0.6423999999995674,0.20189999999986186,5.351542331288387e-107,1.0497991429509592e-126,7.55713469830029e-47,2.2217008409521647e-143,1.5682762430342473e-93,3.112144095128199e-116,2.0973185512455678e-13,7.326016435813986e-90,9.9390099220972e-111,1.0414247024465636e-126,1.3815297395080177e-13,1.6075641068570162e-113,2.4437531118194528e-40,4.157991842547162e-139,2.110136432203916e-126,6.694076863516348e-60,2.81144065247143e-78,1.1322358592265409e-172,8.969822018132956e-95,3.2770602363907484e-13,9.146584828830957e-150,2.2098964443486115e-78,7.325890527802216e-90,7.00878411194926e-107,1.2572629923008167e-94,7.142037851226383e-173,1.6431032449420943e-189,1.8171253999581855e-97,7.496985628647174e-104,3.4180625062730224e-116,2.3623578836002652e-66,7.369573060140019e-53,5.074085072192538e-99,3.633656346270259e-122,5.644851139602559e-116,3.4005305772649447e-186,1.6188700849735187e-110,1.5726963143942515e-116,7.612408725999728e-123,8.444536040695011e-156,4.384864466300791e-139,2.305711714931503e-163,1.6785495663001162e-113,5.097449771557417e-127
1.767056781226084e-19,0.0028149649241145727,0.1557,0.0,0.008284441770318,0.6423999999991349,0.2018999999997237,4.192584297908534e-105,3.2887481060090467e-124,1.5114320647032385e-46,1.393103737200802e-140,6.150655803140227e-92,4.8608674678500536e-114,4.194651325481335e-13,1.432920769967035e-88,7.786423993209336e-109,3.2625131565244764e-124,2.763068847952151e-13,2.322617895681794e-111,1.9550179571448014e-39,1.344369679299564e-136,3.3083711756958806e-124,2.7749587860560764e-59,2.763513243657788e-77,3.726835011262969e-170,3.517957875747919e-93,6.55414269634278e-13,5.735325941145384e-147,1.7679784679594313e-77,1.4328713889315426e-88,5.481089588348252e-105,4.930976796326313e-93,1.7913956119258846e-169,4.104090402226345e-186,7.126752959115862e-96,7.007769935951836e-103,5.358984703475806e-114,7.559629054560618e-65,5.895705093685721e-52,1.990052568949755e-97,5.696007505214521e-120,8.85023923358562e-114,4.4850778476628274e-183,1.2682778742061619e-108,2.4627054076026946e-114,2.383350809885262e-120,2.117964512606289e-152,2.749502308045912e-136,5.782447652103801e-160,2.6857802270656463e-112,1.6312445814212735e-125
3.53411955428286e-19,0.0028149649241145727,0.1557,0.0,0.008284441768966809,0.6423999999982697,0.20189999999944738,4.1303862000699e-103,1.2951007038159005e-121,3.022869254445031e-46,1.099055785166556e-137,3.0376390776308104e-90,9.582221437865542e-112,8.38931687257892e-13,3.519083320658185e-87,7.670691829976517e-107,1.284769445320036e-121,5.526147064163637e-13,4.387220487379331e-109,1.5640205523972984e-38,5.658019660099643e-134,6.527282405206898e-122,1.421394158046565e-58,3.430530238201526e-76,2.0486852183498648e-167,1.7374718875696107e-91,1.3108307614517336e-12,4.5247520173225307e-144,1.414500596232577e-76,3.5188394343730334e-87,5.379214576937591e-103,2.4353430445304673e-91,5.653265355121937e-166,3.2311631254520665e-182,3.5198069894033686e-94,1.0285271926197197e-101,1.0573002822093347e-111,2.4190925661520497e-63,4.716582731989153e-51,9.828600686757897e-96,1.1237483466281558e-117,1.7461069487958335e-111,9.958833865606665e-180,1.2494602232799653e-106,4.8459668166969235e-112,9.37351002219128e-118,6.6831022966405554e-149,2.1691437173955175e-133,1.824602143468002e-156,4.297695451056579e-111,5.220514842521125e-124
7.0682451003964125e-19,0.0028149649241145727,0.1557,0.0,0.008284441766264427,0.6423999999965394,0.20189999999889477,9.253686797744724e-101,1.158918814364629e-118,6.045743633910244e-46,1.974144495650677e-134,3.4221736286063377e-88,4.304865426217353e-109,1.6778647961278296e-12,1.959034640606695e-85,1.7184713276639972e-104,1.1496739011922457e-118,1.1052303493879497e-12,1.927587803827729e-106,1.2512189159265982e-37,5.725179337824915e-131,2.9331907512788746e-119,1.5650660869902448e-57,9.774504345733014e-75,5.909374237542423e-164,1.9574920201484577e-89,2.6216637443948437e-12,8.127448961045258e-141,1.1322495668060355e-75,1.958759870387833e-85,1.1952910034375234e-100,2.7437366603440146e-89,4.061760496655428e-162,8.578516085048401e-178,3.965528263540047e-92,3.24599831347955e-100,4.751181217972855e-109,7.741100521867223e-62,3.7732736464056497e-50,1.1073218930922759e-93,5.049703308059735e-115,7.84646581425242e-109,1.1694117706982389e-175,2.799270710178851e-104,2.1651723065518887e-109,8.364222572210757e-115,4.800825184374251e-145,3.8962152823310125e-130,1.3107029459696535e-152,6.881695728570788e-110,1.6718369801511112e-122
1.4136496192623517e-18,0.0028149649241145727,0.1557,0.0,0.008284441760859663,0.6423999999930788,0.20189999999778954,6.310219479323437e-98,3.1587170418567085e-115,1.209149239277149e-45,1.0782065134379015e-130,1.1703111523427686e-85,5.879483990852305e-106,3.35573101166939e-12,3.329426586085212e-83,1.171833888125403e-101,3.133519346798666e-115,2.2104616342482755e-12,2.6034975444705813e-103,1.0009761212760547e-36,1.916898993104286e-127,4.006503161105396e-116,3.814855748750276e-56,8.406979203447006e-73,1.041271631213495e-159,6.694300155745432e-87,5.24332970751386e-12,4.438923577924992e-137,9.128168178050379e-75,3.328486916922686e-83,8.115688115639149e-98,9.383130172875232e-87,8.875658439753944e-158,7.417800800706486e-173,1.3561452372516777e-89,1.6283634949160892e-98,6.489593097197424e-106,2.4771440760305417e-60,3.0186218982272597e-49,3.786858090004981e-91,6.897269404711711e-112,1.0717412782013691e-105,8.300534400986113e-171,1.9088474810991062e-101,2.9484451260868807e-106,2.276296338866466e-111,1.0486950253408641e-140,2.1279267070523886e-126,2.8630864665323607e-148,1.11297379392892e-108,5.406031367922792e-121
2.8272998377077727e-18,0.0028149649241145727,0.1557,0.0,0.008284441750050137,0.6423999999861576,0.2018999999955791,6.123990119113512e-95,1.2260631934421594e-111,2.418298991035508e-45,8.372834482125324e-127,5.681336104312781e-83,1.1414296347101385e-102,6.711463433959243e-12,8.076428148746766e-81,1.1372490101149926e-98,1.216282638756758e-111,4.420924199637546e-12,5.02630049829641e-100,8.007812907234689e-36,1.0191439258424124e-123,7.778566363538599e-113,1.1730202118963783e-54,1.0211883461195011e-70,3.1370318632259735e-155,3.249786922804312e-84,1.0486661622683077e-11,3.4470612243594876e-133,8.18040622032968e-74,8.071866467339111e-81,7.871240736412081e-95,4.555097922583308e-84,2.7588715765430877e-153,9.210053465221543e-168,6.5834850526408105e-87,9.515501158176397e-97,1.2598907476021846e-102,7.926791902825152e-59,2.414898705862083e-48,1.8383519592719735e-88,1.339018454348977e-108,2.0806804053607776e-102,1.0014346922934246e-165,1.8524843998681904e-98,5.721472911485235e-103,8.83335959641628e-108,3.2572815490242736e-136,1.652374839121943e-122,8.892713767869265e-144,2.0795015789153502e-107,2.011732996681551e-119
5.6546002745986146e-18,0.0028149649241145727,0.1557,0.0,0.008284441728431083,0.6423999999723152,0.20189999999115815,6.230886381585275e-92,4.989800429613249e-108,4.8365984949376655e-45,6.815898157811278e-123,2.8903912005398096e-80,2.3227722325744444e-99,1.342292824336587e-11,2.0554081710928722e-78,1.1571003520110385e-95,4.949995681195176e-108,8.841849313090555e-12,1.019974957487852e-96,6.406251873215031e-35,6.384955898364683e-120,1.5830429202688467e-109,3.734572207056938e-53,1.2989518227214679e-68,2.035567757968719e-150,1.6533357920518365e-81,2.097332540874624e-11,2.8060869464231818e-129,1.7748698974885122e-72,2.0530874033885342e-78,8.008096147165636e-92,2.3174183435803776e-81,9.241061036522077e-149,1.2845507814308894e-162,3.3493607401518636e-84,9.031905442053856e-96,2.5638269232274357e-99,2.5365263786279745e-57,1.9319194313435102e-47,9.352650290707878e-86,2.7247756482639654e-105,4.2341008960988906e-99,2.5518450578956748e-160,1.884762081516821e-95,1.1641869791054291e-99,3.59472440507351e-104,1.060542256521746e-131,1.3449986853255153e-118,2.8953062612544435e-139,2.0795012458352117e-107,5.927077706083499e-119
