Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(50),CH2O2X(51),CH3OX(46),CH3X(52),CH4(41),CH4X(238),CH3O2X(49),CH4O2(171),SX(188),SX(53),C2H4O(231),CH2OX(169),CHOX(168),SX(54),SX(55),SX(318),SX(259),SX(262),SX(450),C2HOX(465),C2H6O(236),SX(357),SX(497),OCCO(227),SX(387)
0.0,0.0028149649241145727,0.1557,0.0,0.008284441771669187,0.6424,0.2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.489788365074903e-25,0.0028149649241145727,0.1557,0.0,0.00828444177166918,0.6424,0.2019,-7.33138026666019e-136,3.8254037359422974e-165,6.4063059054525175e-52,-1.9054059313284376e-182,-1.285216989657264e-117,1.761442490927658e-142,1.7779310225785444e-18,9.825426781104914e-110,-1.3616371571246044e-139,3.7948877903719923e-165,1.171145213472594e-18,-3.354278158152769e-143,2.605223337028881e-55,3.8102634001892856e-170,4.583321934010857e-160,7.178287201481363e-70,2.3558642748863175e-93,1.0982280398260356e-211,-7.350656907257375e-119,2.7780172227789753e-18,-4.165890317363865e-193,2.3558555808217016e-93,9.825426791422913e-110,-9.409706589652225e-136,-1.030311248628251e-118,1.057144425759699e-223,-1.98154790734759e-238,-1.4891115463818877e-121,-2.4173505638444967e-129,7.424222957126138e-150,-2.454549049222385e-90,7.856515303231352e-68,-4.15814928869373e-123,9.430946151020286e-150,1.2260932455183863e-149,-4.741785146749591e-235,-2.2177837635800297e-139,-3.6272953011491765e-150,-2.9663106516316825e-161,8.914370193415563e-209,-1.997129580933006e-182,5.0127026236927946e-201,1.733586291601977e-132,8.646769358485996e-151
2.097140742220973e-24,0.0028149649241145727,0.1557,0.0,0.008284441771669171,0.6424,0.2019,1.2305920594301762e-134,1.7808268605744332e-163,1.7937656535267052e-51,5.567020201980989e-181,1.2698851545257196e-116,2.7648729404386093e-141,4.978206863219917e-18,2.770938194355761e-108,2.2855449046402082e-138,1.766620878853632e-163,3.2792065977232606e-18,6.408635177548504e-142,3.9370133526139577e-54,1.1146526552455828e-168,1.2748382075184761e-158,4.3356854696947403e-69,3.560196253855956e-92,8.675501397410616e-210,7.262968172465716e-118,7.778448223781123e-18,3.9541328402771884e-191,3.560168918241614e-92,2.7709381933362698e-108,1.7423388445725688e-134,1.0180202804749721e-117,8.661654945975423e-222,7.856926674448974e-236,1.4713473710273468e-120,1.786514654427632e-117,2.0650268994305705e-148,2.42525155259336e-89,1.1872765460846698e-66,4.108545151720658e-122,1.4803426182774905e-148,3.410344124168767e-148,1.8804838364029617e-232,3.7226101902978743e-138,1.0596594823904878e-148,1.5301499519073628e-159,2.6895196654453085e-206,1.8956129877536616e-180,8.19953411118599e-200,1.1338347710175942e-131,1.1044276327933106e-149
4.793464553647938e-24,0.0028149649241145727,0.1557,0.0,0.00828444177166915,0.6424,0.2019,1.4506417931226956e-132,9.408313326590037e-161,4.1000357794896115e-51,1.3638422470192172e-178,7.004038490604237e-115,1.0927260573222849e-139,1.137875854450263e-17,6.027444048180605e-107,2.694237238420931e-136,9.33326148965946e-161,7.495329366224577e-18,6.823927651284681e-140,4.235259297878653e-53,8.620892556808439e-167,3.111520661446488e-156,2.0874459181907763e-68,3.8299282470988525e-91,8.473505679650225e-207,4.0058826187936685e-116,1.777931022578538e-17,4.462286030131064e-188,3.829867262806132e-91,6.027444042557609e-107,1.9005129174058412e-132,5.61488037716796e-116,1.0487850484819743e-218,3.517811041662547e-232,8.115201281847185e-119,1.6078631890949189e-116,5.040148489577112e-146,1.3376349742205315e-87,1.2772179265325552e-65,2.2660638499314545e-120,5.850615322098029e-147,8.323688584320812e-146,8.419393810058403e-229,4.3882730105425774e-136,2.594402301966264e-146,7.653193967167794e-157,1.3662967257365093e-202,2.1392218789123165e-177,2.4568491232266473e-197,1.9736741145202396e-130,3.6543827322946705e-148
1.0186112176501869e-23,0.0028149649241145727,0.1557,0.0,0.008284441771669109,0.6424,0.2019,1.1466833262517763e-130,3.1641310241709104e-158,8.712576031415424e-51,2.1669806091555608e-176,2.7565921073165376e-113,3.780836879014348e-138,2.4179861907067926e-17,1.1174044199441695e-105,2.129703505444099e-134,3.138890172021245e-158,1.5927574903227148e-17,5.395621883140368e-138,3.892932964776535e-52,5.974740026025295e-165,5.2143702332200583e-154,9.11642474588134e-68,3.520422064542987e-90,3.1304732135355225e-204,1.5766024768719543e-114,3.778103422979374e-17,3.1798042177286534e-185,3.5203078476816235e-90,1.1174044177311168e-105,1.502242476931164e-130,2.2098586385141837e-114,9.783193873250568e-216,5.525718758607009e-229,3.1939144650308e-117,1.3041556982326773e-115,8.446416755835905e-144,5.264468706554267e-86,1.1739833194846853e-64,8.918588532323869e-119,2.024383414348656e-145,1.3949061818414398e-143,1.3225015239867205e-225,3.4687815529565903e-134,4.110766253341669e-144,2.4280635196030102e-154,4.132087127369757e-199,1.5243995468159788e-174,4.6681238178357804e-195,3.4326554826726764e-129,1.2692827962747973e-146
2.097140742220973e-23,0.0028149649241145727,0.1557,0.0,0.008284441771669026,0.6424,0.20189999999999997,8.115401377656187e-129,9.225055271298998e-156,1.7937656535267045e-50,3.104962571289239e-174,9.739978492833301e-112,1.249344380887228e-136,4.9782068632198004e-17,1.9205941556205534e-104,1.5072512433207037e-132,9.151465317406813e-156,3.2792065977232036e-17,3.826402933898244e-136,3.330486111606388e-51,3.951374476857251e-163,7.593286900434153e-152,3.8059278742256304e-67,3.011894769298924e-89,9.522538906338902e-202,5.570673382796062e-113,7.778448223780979e-17,1.907182511192179e-182,3.011697488049642e-89,1.920594147801085e-104,1.0642822187849825e-128,7.808183025187521e-113,1.229838603391282e-212,6.922313637639237e-226,1.128518733052459e-115,1.0451110746568655e-114,1.2299868022006045e-141,1.8600555271373177e-84,1.0043674463903173e-63,3.1512410057649583e-117,6.690361917004567e-144,2.031294743157011e-141,1.6567550586518225e-222,2.4549545585822596e-132,5.8229955108383246e-142,6.881415092358102e-152,1.0203693706999838e-195,9.143041410892396e-172,7.186474703322096e-193,5.726784919248171e-128,4.240146732454079e-145
4.2541997913625456e-23,0.0028149649241145727,0.1557,0.0,0.00828444177166886,0.6423999999999999,0.20189999999999994,5.457327486420815e-127,2.5174537043557675e-153,3.638781754297029e-50,4.371553617720934e-172,3.2724384923960773e-110,4.0581893640918756e-135,1.009864820824561e-16,3.1834476986476314e-103,1.013574460391852e-130,2.4973715155141317e-153,6.652104812524081e-17,2.5783685219787594e-134,2.75371032235464e-50,2.567713804724177e-161,1.03554090862249e-149,1.554845720990536e-66,2.4904575245554614e-88,2.6518313861457563e-199,1.871635154982823e-111,1.5779137825383935e-16,1.0553847977136825e-179,2.4901297387889417e-88,3.183447672375777e-103,7.160853532951988e-127,2.6233937699098758e-111,2.1377218592339668e-209,7.8217262271383e-223,3.791597871016916e-114,8.362675158783036e-114,1.6774048796016843e-139,6.2490089030859675e-83,8.304304272351381e-63,1.0587541295121854e-115,2.1744964602534326e-142,2.770195346344943e-139,1.8720156220609848e-219,1.6508722568153743e-130,7.834470216894569e-140,1.8520490982164156e-149,2.290884073096949e-192,5.0595194016167285e-169,1.0058504787120972e-190,9.351956302146943e-127,1.3857953532282193e-143
8.56831788964569e-23,0.0028149649241145727,0.1557,0.0,0.008284441771668531,0.6423999999999996,0.20189999999999989,3.5798005427425165e-125,6.652733726247515e-151,7.328813955837673e-50,6.764034945063824e-170,1.0728903443479056e-108,1.308271631918062e-133,2.0339530898296413e-16,5.184082802594267e-102,6.648665218322021e-129,6.599663651998473e-151,1.3397901242125434e-16,1.6963484360742154e-132,2.2392715016741275e-49,1.6557514228063878e-159,1.367926316547712e-147,6.28493500271231e-66,2.0254665467425803e-87,7.0776088038444e-197,6.136278263221625e-110,3.178051702858881e-16,5.61623563202676e-177,2.024932173199098e-87,5.1840827164602774e-102,4.698529513766351e-125,8.600968048518647e-110,4.2589786401677534e-206,8.409508817976957e-220,1.243100159599406e-112,6.690318930997341e-113,2.2158142243968583e-137,2.0485118052866465e-81,6.752922319878022e-62,3.471194657618976e-114,7.027092273599068e-141,3.6593659221523317e-137,2.0126923822375043e-216,1.0829097965723286e-128,1.0280184030711189e-137,4.8608806825189835e-147,4.910809657089848e-189,2.6924258514385086e-166,1.3454689665309576e-188,1.511455774318947e-125,4.4809446628577855e-142
1.719655408621198e-22,0.0028149649241145727,0.1557,0.0,0.008284441771667872,0.6423999999999992,0.20189999999999975,2.3197998661503867e-123,1.7305887591934796e-148,1.4708878358918948e-49,1.4120616417182356e-167,3.475638981967194e-107,4.203583094860693e-132,4.082129627839475e-16,8.369272281609518e-101,4.308500431164376e-127,1.716783535997853e-148,2.688949410132652e-16,1.1052056101611931e-130,1.8060535892809452e-48,1.0640731532282436e-157,1.7789759885345095e-145,2.5271447225275737e-65,1.634044210352314e-86,1.8501464205097902e-194,1.987853534857931e-108,6.378327543499445e-16,2.9318679229527965e-174,1.6331811956441425e-86,8.36927200257759e-101,3.045170874076219e-123,2.786292277781065e-108,8.757733911804812e-203,8.824213902954124e-217,4.0270355098362075e-111,5.352273502125785e-112,2.881646651663668e-135,6.634447803413429e-80,5.4464764923918403e-61,1.1244970117494037e-112,2.279869584599096e-139,4.7589727702625846e-135,2.1119457453865373e-213,7.017525051377223e-127,1.3324893514199453e-135,1.2601678618972837e-144,1.029040641702252e-185,1.4055387784658237e-163,1.7605288158813047e-186,2.4304449770925253e-124,1.4413279147488302e-140
3.4453026479344556e-22,0.0028149649241145727,0.1557,0.0,0.008284441771666552,0.6423999999999983,0.20189999999999947,1.4945107372366056e-121,4.467567900732663e-146,2.946900716508146e-49,4.584967694674219e-165,1.1194718493362191e-105,1.3501023202760307e-130,8.178482703857832e-16,1.3456079322204164e-99,2.7757134704467186e-125,4.431929294106488e-146,5.387267981972224e-16,7.194674045333156e-129,1.4507204603174936e-47,6.835295165588435e-156,2.296096566112735e-143,1.0134980633187638e-64,1.313247287340368e-85,4.787815892445447e-192,6.402696684743001e-107,1.2778879224778923e-15,1.5163107991447383e-171,1.3118600164091375e-85,1.3456078423467516e-99,1.9619466751827892e-121,8.974395758172019e-107,1.806332315186113e-199,9.1501514424648e-214,1.2970717638717268e-109,4.2818221707993596e-111,3.719296375660781e-133,2.1357841667435964e-78,4.374906110785391e-60,3.621903305614721e-111,7.605840495405077e-138,6.142331908380069e-133,2.1899539767879572e-210,4.5209790168901686e-125,1.716968229951374e-133,3.2476327177560442e-142,2.1325272361247456e-182,7.269200636021627e-161,2.2790526464106232e-184,3.898404873650371e-123,4.624130860613111e-139
