Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(49),H2X(48),COX(58),CHOX2(59),SX(51),CH3OX(44),CH2OX2(50),CHO3X(91),H(23),HCO(31),CH3X(53)
4.6725348566334094e-21,0.002719578564615631,0.1557,0.0,0.0080037197156529,0.6423999999999945,0.2019,1.2370438539914808e-171,1.3121043785628227e-138,2.2914055302104398e-49,8.920573812915671e-178,1.6841013841182476e-101,5.80421782695675e-141,1.0902151739200155e-14,9.728354836787014e-97,4.287551413270794e-120,2.6239896525265452e-138,1.420183438891338e-80,6.550435668307828e-170,2.645049794135714e-63,2.069018549434567e-163,1.946003976166426e-178,1.049707511309627e-74,1.0215759179093313e-83,3.529437325812848e-189,1.2772634723240897e-102,1.009367797053622e-184,1.7034612092574918e-25,7.239263690045103e-80,2.660091933911083e-72,2.4829641817195316e-192,1.0215762125922288e-83,1.0497074995778768e-63,3.502787968356102e-281,5.821807649760828e-45,2.914882643919918e-50,9.728354836787014e-97
9.346083938327951e-21,0.002719578564615631,0.1557,0.0,0.008003719715641995,0.6423999999999891,0.2019,3.168047743652627e-169,3.3606334767025367e-136,4.5833084351831895e-49,4.5695766725158175e-175,5.391137708465828e-100,3.716109558879435e-139,2.1806669910255344e-14,1.5569586856879884e-95,2.7450745761127544e-118,6.720705770439261e-136,1.1363700507167662e-79,1.6775551547157437e-167,1.0581921535883662e-62,2.6493562220693893e-161,4.9836822300510504e-176,4.199513573717249e-74,8.174674692000273e-83,9.039787855096811e-187,4.088770031338521e-101,2.765740135603951e-182,3.4072921735312254e-25,1.1585165868456793e-78,2.128476203996625e-71,2.541508638460246e-189,8.174679408204652e-83,4.1995134798442054e-63,2.872087317888599e-277,2.3290963221066927e-44,5.830398000185199e-50,1.5569586856879884e-95
1.8693182101717032e-20,0.002719578564615631,0.1557,0.0,0.008003719715620186,0.6423999999999782,0.2019,8.111751061908648e-167,8.605325928146274e-134,9.16711424512853e-49,2.3401966212493148e-172,1.7254855254232016e-98,2.3787604601731324e-137,4.3615706252246496e-14,2.491470431228136e-94,1.757180394815173e-116,1.7209214875053333e-133,9.092064400369255e-79,4.2953613419125625e-165,4.233113119657645e-62,3.3918210272495246e-159,1.2760662862903243e-173,1.6799421449179294e-73,6.540563963669748e-82,2.3147517063912957e-184,1.3086502120736883e-99,8.005200692005691e-180,6.814954102320497e-25,1.853810973788195e-77,1.7029402379541465e-70,2.6019667391237137e-186,6.540571510616157e-82,1.6799420698104172e-62,2.3538782830437593e-273,9.317131864905077e-44,1.1661428747867622e-49,2.491470431228136e-94
3.7387378428495194e-20,0.002719578564615631,0.1557,0.0,0.008003719715576568,0.6423999999999565,0.2019,2.076802795127919e-164,2.203230961420182e-131,1.8334725865018568e-48,1.1983264641608893e-169,5.522063367356906e-97,1.522549533540662e-135,8.723377893575192e-14,3.986618597500812e-93,1.1247009672629999e-114,4.406094010218556e-131,7.27476740602813e-78,1.0997155081004873e-162,1.6933141656303042e-61,4.341935945093744e-157,3.267035629344256e-171,6.720042020285303e-73,5.232776346384065e-81,5.9264839720616596e-182,4.188067236480119e-98,2.5221923253986365e-177,1.3630277961872491e-24,2.966235176770944e-76,1.362413015315345e-69,2.6641359029120085e-183,5.232788422303785e-81,6.720041419365535e-62,1.9287288752070767e-269,3.727002066447972e-43,2.3323490524460827e-49,3.986618597500812e-93
7.477577108205152e-20,0.002719578564615631,0.1557,0.0,0.008003719715489332,0.6423999999999128,0.2019,5.31684495701674e-162,5.6406042051373615e-129,3.666994910479606e-48,6.135794420087737e-167,1.7671388217830792e-95,9.744757657669005e-134,1.7446992430085517e-13,6.378791804911931e-92,7.198411691473622e-113,1.1280266494517646e-128,5.8224179537789376e-77,2.815393385771815e-160,6.7733947286192e-61,5.5579171309293165e-155,8.363972356643688e-169,2.6880714972556706e-72,4.186343905284232e-80,1.5172694504068275e-179,1.340241085257264e-96,8.877372839863322e-175,2.726092569692027e-24,4.746054578543505e-75,1.0899501215196605e-68,2.727928142378174e-180,4.186363227367814e-80,2.6880710164586164e-61,1.5801845356105365e-265,1.4908306911817424e-42,4.664761632752794e-49,6.378791804911931e-92
1.4955255638916416e-19,0.002719578564615631,0.1557,0.0,0.00800371971531486,0.6423999999998256,0.2019,1.3611318928296453e-159,1.444032424604641e-126,7.334039558434075e-48,3.141609069448897e-164,5.654950640528825e-94,6.236764832626301e-132,3.4894221502343143e-13,1.0206194338909768e-90,4.607072075402017e-111,2.887823710501913e-126,4.665880422688324e-76,7.207510767451406e-158,2.709385869936676e-60,7.114235481200411e-153,2.1412075479525304e-166,1.0752395369164945e-71,3.3491126627243706e-79,3.8843113051347754e-177,4.2888521756469955e-95,3.5122784942716e-172,5.452222129519068e-24,7.593648196457083e-74,8.719605869538061e-68,2.793313715347432e-177,3.349143578444167e-79,1.0752391521945592e-60,1.2945452025029203e-261,5.963382494328146e-42,9.329588593292288e-49,1.0206194338909765e-90
2.991061270033895e-19,0.002719578564615631,0.1557,0.0,0.008003719714965916,0.642399999999651,0.2019,3.484472376601554e-157,3.6967463895813306e-124,1.4668128854338887e-47,1.608514079970779e-161,1.8095889025531484e-92,3.9915408920953584e-130,6.978867964380627e-13,1.632990349430502e-89,2.948534548554271e-109,7.392875450080347e-124,3.7579761056292117e-75,1.8451093753629729e-155,1.0837605277736668e-59,9.10615460393393e-151,5.481450635706235e-164,4.30098002533807e-71,2.679286596298036e-78,9.943899701338274e-175,1.3724362578593198e-93,1.5343151390673593e-169,1.090448135196288e-23,1.2149480171442485e-72,6.975568353619865e-67,2.860290603888502e-174,2.6793360614271606e-78,4.300976946268684e-60,1.0604962917609093e-257,2.3853649436036613e-41,1.865925691386595e-48,1.6329903494305022e-89
5.982132682318402e-19,0.002719578564615631,0.1557,0.0,0.008003719714268026,0.6423999999993021,0.2019,8.919959227946082e-155,9.4635730192206e-122,2.933630744613204e-47,8.235507301163819e-159,5.790613105025902e-91,2.5545552859875127e-128,1.3957759591452404e-12,2.6127489531718163e-88,1.8870392961623537e-107,1.8925565640668147e-121,3.0871822084756467e-74,4.723326406578136e-153,4.335063816248984e-59,1.1655497722776479e-148,1.4032052545046227e-161,1.720396388256927e-70,2.1433981853389193e-77,2.545611962880154e-172,4.391741879334391e-92,7.184777318373253e-167,2.18090006201677e-23,1.943784076906188e-71,5.580218878478236e-66,2.928866045095281e-171,2.1434773284670044e-77,1.720393922953068e-59,8.687295756086096e-254,9.541483665412106e-41,3.731870875131506e-48,2.612748953171817e-88
1.1964275506887414e-18,0.002719578564615631,0.1557,0.0,0.008003719712872248,0.6423999999986042,0.2019,2.283340499852371e-152,2.4225968202451537e-119,5.867266462965241e-47,4.216444381525407e-156,1.85293427977309e-89,1.6348613006023093e-126,2.7915542840712566e-12,4.1802578148382145e-87,1.2076651986615487e-105,4.8447890452241823e-119,2.7282431131584803e-73,1.2090820360859667e-150,1.734044820627893e-58,1.4917930091079072e-146,3.591937044371537e-159,6.88159435134996e-70,1.7146586294800835e-76,6.516556796263562e-170,1.405310439882819e-90,3.511834976196978e-164,4.3618045747112314e-23,3.1096149604668076e-70,4.463777998554449e-65,2.9990413955969434e-168,1.7147852542289014e-76,6.881574596232605e-59,7.116006464308434e-250,3.816598243729989e-40,7.463853399800475e-48,4.1802578148382145e-87
2.392856115602544e-18,0.002719578564615631,0.1557,0.0,0.008003719710080692,0.6423999999972084,0.2019,5.844459906731881e-150,6.201413569470408e-117,1.173453789964294e-46,2.158668507835448e-153,5.928967520921537e-88,1.0462373579474403e-124,5.583110931969929e-12,6.687941658001858e-86,7.728511558702892e-104,1.2401791312222437e-116,3.009505142393823e-72,3.094777790361137e-148,6.936457122242967e-58,1.9092031451823116e-144,9.193943419079508e-157,2.7526395681818357e-69,1.3716269741805153e-75,1.6681215362709238e-167,4.4966731912383244e-89,1.7604688898976964e-161,8.723618874127093e-23,4.973965925688841e-69,3.570379251705366e-64,3.0707927856332957e-165,1.3718295595164816e-75,2.7526237118212143e-58,5.828344711375664e-246,1.526640252493902e-39,1.4928555707122183e-47,6.687941658001858e-86
4.7857132454301495e-18,0.002719578564615631,0.1557,0.0,0.008003719704497578,0.6423999999944169,0.2019,1.4957219375082416e-147,1.5873350048742347e-114,2.3469080772892845e-46,1.105080488497358e-150,1.896995318274847e-86,6.694958800386441e-123,1.1166224219953832e-11,1.0699183258293194e-84,4.945538028166307e-102,3.1744048067044014e-114,5.051979123011485e-71,7.920196364165649e-146,2.7750212207605955e-57,2.443027523109193e-142,2.3529197749630877e-154,1.101056302116062e-68,1.0971400989535204e-74,4.269779937244314e-165,1.438727375573726e-87,8.969569814668309e-159,1.7447289671570114e-22,7.95380126218674e-68,2.855271722312622e-63,3.1440374904837423e-162,1.0974641893467047e-74,1.1010435333928919e-57,4.772773067565642e-242,6.106562915886785e-39,2.98638583878333e-47,1.0699183258293194e-84
