Time (s),Volume (m^3),Ne,N2,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(41),COX(42),CHOX(51),CH2O2X(43),CH3OX(38),CH3X(25),CH4(24),CH4X(158),SX(46),CH3O2X(40),SX(93)
0.0,0.00299236199292705,0.0,0.0,0.008139224620761576,0.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.4465739476088715e-25,0.00299236199292705,0.0,0.0,0.008139224620761573,0.8,0.1,0.1,-2.4750837715420065e-77,8.134727422554572e-50,3.743748909111652e-46,-6.409946671604477e-118,-8.531606272560355e-159,1.9610653498882028e-18,2.312029558986233e-51,1.3104567712990306e-51,3.1166083015524577e-81,6.004385407004152e-19,2.8513031476438437e-21,1.2226458324029407e-59,4.719019283413773e-46,2.8250224003218737e-49,5.616179929557032e-68,1.8789273264300234e-90,2.006722509399306e-88,-5.717092432343227e-121,2.1315927716176114e-18,2.132907773045569e-22,2.391433104142632e-46,2.0876352792672773e-64,1.8789273264253825e-90,2.729623782579965e-111,-1.5349941823186716e-140,-3.411484453589748e-140,-2.6088110028704083e-148,1.782271306070108e-89,-1.2601606871539404e-165
1.2450407053304839e-24,0.00299236199292705,0.0,0.0,0.008139224620761562,0.8,0.1,0.1,2.4455902675961145e-76,2.27772367831528e-49,1.0482496945512625e-45,6.333437487700733e-117,2.7123132264321143e-157,5.49098297968696e-18,1.3964658536916566e-50,1.9803622409813223e-50,2.042638955319572e-80,1.6812279139605673e-18,7.983648813341687e-21,1.847662367334116e-58,2.850287647171533e-45,1.70631352979278e-48,3.392172677452444e-67,2.8394349301931048e-89,3.0325590075708414e-87,5.648853163171371e-120,5.968459760529307e-18,5.972141764524173e-22,1.444425594909307e-45,1.2609317086770746e-63,2.8394349301776465e-89,7.69797568767914e-110,2.9633295756426303e-139,6.5859225361342755e-139,7.782437890993118e-147,2.693368354554637e-88,1.2451194023625542e-164
2.8458073264696776e-24,0.00299236199292705,0.0,0.0,0.008139224620761545,0.8,0.1,0.1,1.3488433080005165e-74,5.206225550434926e-49,2.3959993018314572e-45,3.4931747602363635e-115,5.324585184764968e-155,1.2550818239284445e-17,6.723381959320162e-50,2.130383327421548e-49,3.565294517072996e-79,3.8428066604784924e-18,1.824834014449308e-20,1.9876308540000595e-57,1.3722908076011456e-44,8.215165140111533e-48,1.6331851235151804e-66,3.05453452394682e-88,3.2622885933516005e-86,3.1155958090991074e-118,1.3642193738352678e-17,1.3650609747467693e-21,6.95428746695209e-45,6.070843392103862e-63,3.05453452391191e-88,1.6744778543485333e-108,3.1289630566663727e-137,6.954038618928092e-137,1.0040030400403779e-144,2.8974027674091593e-87,6.867391802128225e-163
6.047340568748065e-24,0.00299236199292705,0.0,0.0,0.008139224620761512,0.8,0.1,0.1,5.308577692975358e-73,1.1063229294674216e-48,5.091498516391846e-45,1.3747927925259262e-113,7.84888857335566e-153,2.66704887584793e-17,2.9362775434727882e-49,1.958189310195779e-48,6.23183257395347e-78,8.165964153504824e-18,3.8777722805818695e-20,1.8269751907365555e-56,5.993154489774499e-44,3.587778448383489e-47,7.132548510537387e-66,2.807643477233741e-87,2.9986052597465834e-85,1.2261907739433008e-116,2.8989661693999326e-17,2.90075457133e-21,3.037120042369016e-44,2.651296804663942e-62,2.8076434771680456e-87,3.104199737718839e-107,2.4731845218742344e-135,5.4965879639282815e-135,8.617177628001894e-143,2.663212321522222e-86,2.7027679406492696e-161
1.245040705330484e-23,0.00299236199292705,0.0,0.0,0.008139224620761444,0.8,0.09999999999999999,0.1,1.8756401044502444e-71,2.27772367831528e-48,1.0482496945512624e-44,4.857453002838068e-112,1.0708051531616439e-150,5.4909829796868546e-17,1.2258380784611868e-48,1.6752721814027045e-47,1.050030312506735e-76,1.6812279139519416e-17,7.983648812456122e-20,1.5630157390546835e-55,2.5020240239210876e-43,1.4978268766278956e-46,2.9776985986510987e-65,2.4019981058603412e-86,2.565369931018405e-84,4.332408555910359e-115,5.968459760529224e-17,5.972141764474563e-21,1.2679378319131e-43,1.1068642250626679e-61,2.4019981057466083e-86,5.335326222707615e-106,1.752905602829281e-133,3.895786890624824e-133,6.333905831301145e-141,2.2784342112676894e-85,9.549488709075837e-160
2.525654002241839e-23,0.00299236199292705,0.0,0.0,0.00813922462076131,0.7999999999999999,0.09999999999999998,0.1,6.301366516634017e-70,4.6205251760109956e-48,2.126449380375418e-44,1.6319011246762975e-110,1.4127422486993319e-148,1.1138851187364515e-16,5.0079486113698114e-48,1.3851474354715957e-46,1.748603592275452e-75,3.4104909111396304e-17,1.6195401874641147e-19,1.2923316383909865e-54,1.0221584527418785e-42,6.119111519800474e-46,1.2164870374617376e-64,1.986018484108848e-85,2.1210974680928244e-83,1.4555081419864464e-113,1.210744694278765e-16,1.2114916150676104e-20,5.179939761713944e-43,4.521901520264928e-61,1.9860184839196635e-85,8.842911940224719e-105,1.1796251121553356e-131,2.621685982616008e-131,4.336186402788946e-139,1.8838534664288246e-84,3.2082289537226466e-158
5.086880596064549e-23,0.00299236199292705,0.0,0.0,0.008139224620761039,0.7999999999999997,0.09999999999999995,0.1,2.065675353943768e-68,9.306128171402424e-48,4.282848752023728e-44,5.349598267647075e-109,1.8351255078643642e-146,2.2434587602719076e-16,2.0242930289012508e-47,1.1263788894435426e-45,2.9356510298954217e-74,6.869016905454089e-17,3.2618907992757274e-19,1.0509026256637577e-53,4.131727894545228e-42,2.4734427123984893e-45,4.917235104963522e-64,1.6149972484743365e-84,1.7248412343330294e-82,4.771357600762356e-112,2.438542130730389e-16,2.4400464922728847e-20,2.0938144721371e-42,1.8278248934627047e-60,1.6149972481657434e-84,1.4398389720699892e-103,7.739951831188148e-130,1.7201840663491203e-129,2.868952927267915e-137,1.531918352583735e-83,1.0517019563813695e-156
1.0209333783709969e-22,0.00299236199292705,0.0,0.0,0.008139224620760497,0.7999999999999994,0.09999999999999988,0.1,6.690034813720201e-67,1.8677334162185268e-47,8.595647495320347e-44,1.7325567961888643e-107,2.3660676469234475e-144,4.502606043342518e-16,8.1395953365055e-47,9.084653783823433e-45,5.073001242162948e-73,1.3786068893839328e-16,6.546592020397384e-19,8.475910390762269e-53,1.6613496139844315e-41,9.945604359943339e-45,1.9771986089200451e-63,1.302553788441881e-83,1.3911469414696584e-81,1.5452838932303827e-110,4.894137003633394e-16,4.897156246543295e-20,8.419135905899925e-42,7.349603505883687e-60,1.302553787943361e-83,2.3239059063532662e-102,5.01537360064103e-128,1.114653675213674e-127,1.8666978999780257e-135,1.2355476488004205e-82,3.4061125363495464e-155
2.045424015900081e-22,0.00299236199292705,0.0,0.0,0.008139224620759415,0.7999999999999987,0.09999999999999974,0.1,2.153678921453372e-65,3.7419746143750917e-47,1.7221244981913574e-43,5.577506204918176e-106,3.039495637892574e-142,9.020900609482536e-16,3.264345156060119e-46,7.297287934411697e-44,9.267646442753041e-72,2.762017286963512e-16,1.3115994452634421e-18,6.808312165081711e-52,6.662755005542917e-41,3.9886321758442997e-44,7.929450745460175e-63,1.0462820391985414e-82,1.1174448761044047e-80,4.974630858746732e-109,9.805326749438427e-16,9.811375754523566e-20,3.3764500555225367e-41,2.947519724913222e-59,1.046282038397071e-82,3.734454405982793e-101,3.229760202305787e-126,7.178057640808323e-126,1.204557913524399e-133,9.924590633003446e-82,1.0965074192106288e-153
