Time (s),Volume (m^3),Ne,N2,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(52),COX(53),CHOX(64),CH2O2X(54),CH3OX(48),SX(57),OCO(174),SX(231),CH3X(25),CH4(24),CH4X(249),CH3O2X(51),C2HO2X(68),SX(130),SX(55)
0.0,0.00264225016925734,0.0,0.0,0.0071869204603799645,0.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.995096661751379e-25,0.00264225016925734,0.0,0.0,0.00718692046037996,0.8,0.1,0.1,-3.964340554263752e-77,4.034754086083372e-54,5.001482259253245e-50,-3.9553404789523636e-123,4.0483816740417625e-151,2.0700953322152995e-18,2.329411667416377e-53,1.4544280357863588e-51,1.993051974038868e-80,6.338213157747187e-19,3.0098279677097846e-21,9.694582959822462e-48,2.4453274976866484e-47,5.476026461057662e-51,2.940447013616447e-72,1.5909720133965904e-95,2.8594535645189625e-93,-2.7904220627182383e-141,2.2501036219731515e-18,1.041995894097931e-22,4.082598967855168e-47,2.9440482733585653e-68,1.5909720133965904e-95,4.644265354197174e-171,-8.240387877497898e-120,-4.7477226957620785e-138,1.832772219400993e-129,-9.992895075263097e-159,-9.963242933701252e-177,1.8426317876439584e-94,1.9119454920562573e-76,-8.559191605987001e-176,-5.215540583889879e-124
1.398627065290386e-24,0.00264225016925734,0.0,0.0,0.007186920460379951,0.8,0.1,0.1,3.917022095187909e-76,1.129731144103344e-53,1.4004150325909087e-49,3.908129460455943e-122,1.1135635104210504e-149,5.7962669302028286e-18,1.4069646648978404e-52,2.197931575317029e-50,1.3036277502664707e-79,1.7746996841690036e-18,8.427518309410206e-21,1.4650452963040948e-46,1.4769778085963396e-46,3.3075199824751087e-50,1.7760299962243317e-71,2.4042768271707994e-94,4.321206083825645e-92,4.683765752032399e-140,6.3002901415248186e-18,2.91758850347208e-22,2.465889776584518e-46,1.7782051571082673e-67,2.4042768271707994e-94,2.3458878949998153e-169,8.142030489979541e-119,7.969124588041145e-137,5.168710737470799e-128,1.9291435507147144e-157,3.3625220583248794e-175,2.7845850654377714e-93,5.391991912809443e-75,8.457029004184574e-175,5.153287852431358e-123
3.1968618635208824e-24,0.00264225016925734,0.0,0.0,0.007186920460379932,0.8,0.1,0.1,2.1604133213366744e-74,2.582242615093358e-53,3.2009486459220774e-49,2.1555086340560293e-120,2.727769485726267e-147,1.324861012617785e-17,6.773929597914455e-52,2.364434486033732e-49,2.2694430417542685e-78,4.05645642095674e-18,1.9262898992102288e-20,1.5760288703365846e-45,7.111012363176833e-46,1.5924284948699893e-49,8.5508199155966e-71,2.5864112917487944e-93,4.648556307105265e-91,5.521259890216109e-138,1.4400663180628124e-17,6.668773722211877e-22,1.187219779852278e-45,8.561292378922118e-67,2.5864112917487944e-93,1.1288836210246281e-166,4.4906948937764246e-117,9.394066707565088e-135,1.1243074806288767e-126,2.0369718385631146e-155,7.344964171496887e-173,2.995529539139199e-92,1.1728760107230491e-73,4.6644306968070314e-173,2.842269311974679e-121
6.793331459981875e-24,0.00264225016925734,0.0,0.0,0.007186920460379897,0.8,0.1,0.1,8.502639763948689e-73,5.487265557073386e-53,6.802015872584414e-49,8.483336613228878e-119,4.583161617821069e-145,2.815329651812775e-17,2.9583537205996305e-51,2.1733226477983346e-48,3.947734075771198e-77,8.619969894528877e-18,4.0933660354651396e-20,1.4486420572065397e-44,3.105565921962903e-45,6.954553605485579e-49,3.73436770729286e-70,2.377357576081633e-92,4.2728241209664504e-90,4.36429917170917e-136,3.060140925883462e-17,1.4171144159657453e-21,5.184900689176012e-45,3.738941307160635e-66,2.377357576081633e-92,3.7968759441560914e-164,1.7673822228138423e-115,7.425572851844816e-133,2.084276586155497e-125,1.6100564725241605e-153,1.1631457835917805e-170,2.7534077302080644e-91,2.174314455035611e-72,1.8357586270404217e-171,1.1186189158988621e-119
1.398627065290386e-23,0.00264225016925734,0.0,0.0,0.007186920460379826,0.8,0.09999999999999999,0.1,3.0041743928688316e-71,1.1297311441033439e-52,1.4004150325909087e-48,2.997354156096296e-117,6.682332461969453e-143,5.796266930202695e-17,1.235055631646618e-50,1.8593232803659074e-47,6.588345826018656e-76,1.7746996841659814e-17,8.427518306840944e-20,1.239343779004137e-43,1.2965126391842342e-44,2.9033892296008864e-48,1.559025006619415e-69,2.033879458273034e-91,3.655490993541834e-89,3.0886379357679406e-134,6.300290141524716e-17,2.9175885034412554e-21,2.1645939727567642e-44,1.5609343945304426e-65,2.033879458273034e-91,1.1076877585486742e-161,6.244560002851515e-114,5.25511774078168e-131,3.5823389164986015e-124,1.1411510085363608e-151,1.6500128354540908e-168,2.3555982823043546e-90,3.737091008087141e-71,6.486149259783611e-170,3.952332919618665e-118
2.837214903874783e-23,0.00264225016925734,0.0,0.0,0.007186920460379683,0.7999999999999999,0.09999999999999998,0.1,1.0092769938638307e-69,2.2917403208953545e-52,2.840841923255843e-48,1.0069856806203075e-115,9.118100220356896e-141,1.1758141486982298e-16,5.045624852457016e-50,1.5373244421848568e-46,1.0766238036593557e-74,3.6001050735868325e-17,1.709582284505648e-19,1.024713402954042e-42,5.296677172333733e-44,1.1861292355270037e-47,6.369125849373556e-69,1.6816508674683435e-90,3.022430643263883e-88,2.076868366493843e-132,1.2780588572807042e-16,5.918536678337854e-21,8.84307266833262e-44,6.3769263219894485e-65,1.6816508674683435e-90,3.0236141183317693e-159,2.097911082988721e-112,3.533657237722346e-129,5.93746403776452e-123,7.679423148580466e-150,2.2216112457028646e-166,1.947654212553726e-89,6.193954280096798e-70,2.1790749723478678e-168,1.327818618526255e-116
5.714390581043577e-23,0.00264225016925734,0.0,0.0,0.007186920460379397,0.7999999999999997,0.09999999999999994,0.1,3.3085499870743335e-68,4.615758674479374e-52,5.721695704585712e-48,3.301038752051762e-114,1.2046891546835453e-138,2.368189060054055e-16,2.039554091600063e-49,1.2501267022108303e-45,1.7424029781591408e-73,7.250915852407187e-17,3.4432431903343234e-19,8.332799211401906e-42,2.1410015993231275e-43,4.794524015564755e-47,2.574502501877679e-68,1.3674905572739528e-89,2.457790403105443e-87,1.3621712389377456e-130,2.574118543537095e-16,1.1920433027913363e-20,3.5745113611073356e-43,2.5776555776128195e-64,1.3674905572739528e-89,7.99060256220458e-157,6.877243554240332e-111,2.317646285982259e-127,9.667620998395057e-122,5.038750416828005e-148,2.9159242326416393e-164,1.5838000597359193e-88,1.0085248865726941e-68,7.14331004010028e-167,4.352773628386024e-115
1.1468741935381166e-22,0.00264225016925734,0.0,0.0,0.0071869204603788265,0.7999999999999994,0.09999999999999987,0.1,1.0715291973812036e-66,9.26379538164741e-52,1.1483403267245448e-47,1.0690965633512333e-112,1.5665167460706623e-136,4.752938882765328e-16,8.20147082918099e-49,1.0082724695480402e-44,2.8094414375839774e-72,1.4552537409962514e-16,6.910564994733955e-19,6.720704438246594e-41,8.60887326366533e-43,1.927857019428091e-46,1.0351961329315836e-67,1.1029306751888622e-88,1.9822969984857216e-86,8.824929796662203e-129,5.166237916049584e-16,2.392422572619363e-20,1.4372952970290225e-42,1.0364639708048657e-63,1.1029306751888622e-88,2.0782420441349682e-154,2.227310249009577e-109,1.5015047426229842e-125,1.5603579268319693e-120,3.265035282804968e-146,3.7793188370494954e-162,1.2773921251297019e-87,1.6277632324949333e-67,2.3134803250239567e-165,1.4097184781031587e-113
2.2977444644056343e-22,0.00264225016925734,0.0,0.0,0.007186920460377684,0.7999999999999986,0.09999999999999971,0.1,3.449503475300437e-65,1.8559868795983454e-51,2.3006818392564906e-47,3.441672288362325e-111,2.0209823393399287e-134,9.522438528186347e-16,3.289981379345245e-48,8.098992721434309e-44,4.530787236185055e-71,2.9155780524731623e-16,1.3845208574502329e-18,5.398435288962393e-40,3.4525432179586696e-42,7.731568901847562e-46,4.151599495841843e-67,8.859338982546703e-88,1.592288749206076e-85,5.68244960736933e-127,1.0350476661073378e-15,4.7931811119271156e-20,5.7641969871188e-42,4.1566840926711025e-63,8.859338982546703e-88,5.362495628060496e-152,7.170233461898076e-108,9.66832056658765e-124,2.5074532994798075e-119,2.102591322454319e-144,4.867788786401698e-160,1.0260708222354932e-86,2.615771814531516e-66,7.447635116273714e-164,4.538214024601407e-112
