Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(49),H2X(48),COX(58),CHOX2(59),SX(51),CH3OX(44)
1.3015419662449372e-18,0.000539690409995138,0.0915567593028733,0.0,0.0015883088715782472,0.45154262835502973,2.4942965437767273e-74,0.4569006123395784,5.262924735870624e-55,3.1271632313871493e-65,8.446954839718545e-42,1.9233058302830895e-83,1.549527904352942e-116,2.1403942874940098e-12,2.7904328388134625e-33,3.612021196141019e-42,5.117320104409916e-47,2.7904328423930986e-33,8.034623018064083e-20,3.04715711767614e-44,1.0095060032395373e-33,4.352158068647294e-32,7.663034331253711e-55,4.3770499673642785e-71,9.262525840120953e-71,7.789080692467791e-85,1.4485247686548596e-12,3.34436608128067e-23,1.9647662518290348e-45,4.5488504286074225e-56,8.728769389967766e-54,2.725925973225342e-75
2.6030850358216052e-18,0.000539690409995138,0.0915567593028733,0.0,0.001588308866540799,0.45154262835395953,9.979834668451542e-74,0.4569006123381299,1.684135258019404e-53,1.0005994778166738e-63,1.689969547142754e-41,4.92280288066422e-81,1.5863638649931617e-113,4.280790371315016e-12,1.1161738411329124e-32,2.889614527102033e-41,8.187708039004702e-46,1.1161738439966622e-32,1.606925281226988e-19,2.437494924559282e-43,4.037613817144585e-33,1.7408613878671032e-31,1.2259655979788e-53,2.8008204854592995e-69,7.412280084378744e-70,1.993540387653557e-82,2.897050752982098e-12,6.688734983464859e-23,1.5716176947624058e-44,7.277624574034062e-55,3.492434574973923e-53,1.7444241856347934e-73
5.206171174974941e-18,0.000539690409995138,0.0915567593028733,0.0,0.001588308856465903,0.45154262835181913,4.0003899319706245e-73,0.4569006123352328,5.3892189665054425e-52,3.201319055539021e-62,3.3891855266096794e-41,1.259793539312354e-78,4.335776603572736e-110,8.561582484629205e-12,4.464696751526567e-32,2.311685161973375e-40,1.3100297313819115e-44,4.464696774437195e-32,3.213851229598628e-19,1.9496246413553964e-42,1.614715924161537e-32,6.963424193963349e-31,1.9611580564771342e-52,1.7918919726036264e-67,5.944244666411107e-69,5.101628274225938e-80,5.794102684861593e-12,1.33774727453738e-22,1.2569803798958477e-43,1.1642469656573915e-53,1.3999330073001175e-52,1.1162132787361309e-71
1.0412343453281613e-17,0.000539690409995138,0.0915567593028733,0.0,0.001588308836316111,0.45154262834753833,1.627211009948061e-72,0.45690061232943874,1.7245396634717012e-50,1.0240378523637274e-60,6.926300096511228e-41,3.222795133426115e-76,4.4377166508224965e-107,1.712316649394614e-11,1.785878958633185e-31,1.8493367653272808e-39,2.0960344143887233e-43,1.7858789769626874e-31,6.427703084463832e-19,1.5591050973810088e-41,6.456225304964046e-32,2.785351263582172e-30,3.136612842192942e-51,1.1459997253952055e-65,4.847675163338555e-68,1.3050938356879165e-77,1.1588206401520654e-11,2.675494809935395e-22,1.0050820674055621e-42,1.862240401895627e-52,5.694410773956464e-52,7.140965154186892e-70
2.0824688009894956e-17,0.000539690409995138,0.0915567593028733,0.0,0.0015883087960165295,0.45154262833897674,7.374561240168577e-72,0.4569006123178505,5.518457861696702e-49,3.2744631781460545e-59,1.6219353078003519e-40,8.238712712839111e-74,4.5343452957509315e-104,3.424633364333303e-11,7.143516195565566e-31,1.479450818249551e-38,3.353611537816012e-42,7.143516342217524e-31,1.2855406626681941e-18,1.2463333988655093e-40,2.5803812068600056e-31,1.11412550887914e-29,5.014614724279575e-50,7.324027562006917e-64,4.4687073126053295e-67,3.336324993521679e-75,2.3176413246439107e-11,5.350989812796333e-22,8.032630165593526e-42,2.9778076872695463e-51,2.5807211743530036e-51,4.566635220932926e-68
3.1237032566508303e-17,0.000539690409995138,0.0915567593028733,0.0,0.0015883087557169503,0.45154262833041514,1.8211996780621573e-71,0.4569006123062623,2.5850405629465585e-48,1.5314253829502987e-58,3.0583866729828086e-40,6.319003241601109e-73,2.739077774416234e-103,5.136949992347132e-11,1.5179971966808787e-30,4.2302740078803043e-38,1.2785568278886874e-41,1.5179972386172314e-30,1.928311000138777e-18,3.5621742229036564e-40,5.480215359546581e-31,2.3674946058083657e-29,1.9111357086963656e-49,4.177558286851076e-63,1.5114269672941264e-66,2.5589250474987185e-74,3.4764619502957945e-11,8.026484747722185e-22,2.295513191943719e-41,1.0958265815544022e-50,6.37327193404945e-51,2.6053171710410987e-67
5.206172167973499e-17,0.000539690409995138,0.0915567593028733,0.0,0.0015883086751177996,0.45154262831329195,1.0225016813769068e-70,0.45690061228308587,3.7056962037063514e-47,2.2336199814699306e-57,1.1858027775155858e-39,6.6086013952077345e-71,1.8984881821875955e-100,8.561582900674398e-11,4.196815656143791e-30,1.944034058138574e-37,1.0513771627854949e-40,4.1968158489121434e-30,3.213851608075036e-18,1.634880282085817e-39,1.5129166387964758e-30,6.545268466865518e-29,1.5692337307794606e-48,1.1683145092072736e-61,1.6074761246692464e-65,2.676199844462199e-72,5.7941029662397454e-11,1.3377474345833566e-21,1.0531083074072402e-40,8.430537925143827e-50,3.578235071515007e-50,7.294033969526162e-66
7.080394188163901e-17,0.000539690409995138,0.0915567593028733,0.0,0.0015883086025785705,0.4515426282978811,2.8870068285282396e-70,0.4569006122622271,1.304365690774931e-46,7.992178705584956e-57,2.9324506197945572e-39,4.2172027723329214e-70,1.928157701709678e-99,1.1643752237310787e-10,7.473285051012505e-30,4.3759477541772284e-37,3.0663471781279718e-40,7.47328548499969e-30,4.370838101094043e-18,3.677401045611095e-39,2.6914612485839286e-30,1.1654997560160229e-28,4.5731554120033955e-48,5.2003917693662116e-61,6.028559353169289e-65,1.7077860686994021e-71,7.879979690475969e-11,1.8193364764633888e-21,2.3682612296156545e-40,2.3232184352398318e-49,1.0103052633678274e-49,3.247598599265524e-65
8.954616208354303e-17,0.000539690409995138,0.0915567593028733,0.0,0.0015883085300393486,0.45154262828247027,7.036328996460478e-70,0.45690061224136835,3.4762763352547754e-46,2.1109125682819427e-56,6.239548167981451e-39,1.6199009612738897e-69,7.358605698482579e-99,1.472592127666359e-10,1.1665903084978736e-29,8.270720139945734e-37,7.016325761471945e-40,1.1665903905360035e-29,5.5278245368243086e-18,6.945184327413013e-39,4.197328566833977e-30,1.8193322138965574e-28,1.0457433335839707e-47,1.590926866971967e-60,1.7076232292544587e-64,6.559903431234852e-71,9.965856213481155e-11,2.3009254951098062e-21,4.471664640938495e-40,5.231624493971974e-49,2.462356443750042e-49,9.939996800832109e-65
1.0828838228544705e-16,0.000539690409995138,0.0915567593028733,0.0,0.0015883084575001331,0.45154262826705943,1.4889957695119593e-69,0.4569006122205096,7.833811255531367e-46,4.779431325268521e-56,1.1892299148769322e-38,5.331108233939375e-69,3.3862470350134923e-98,1.780809003519954e-10,1.6723920533917037e-29,1.3824029752216675e-36,1.387512923608042e-39,1.672392190536051e-29,6.68481091843929e-18,1.1600299142743159e-38,6.011608054132301e-30,2.6081050140473086e-28,2.0665665605491733e-47,4.1534715580030476e-60,4.247921482378031e-64,2.1588699572400204e-70,1.2051732546402319e-10,2.782514491809614e-21,7.467213923208563e-40,1.005862380584159e-48,5.2107257931310926e-49,2.5959055544961344e-64
1.4577282268925509e-16,0.000539690409995138,0.0915567593028733,0.0,0.0015883083124217175,0.45154262823623775,4.6266058719775287e-69,0.4569006121787921,2.6671261118314268e-45,1.6685893277620328e-55,3.2242953064035693e-38,4.117698307682251e-68,5.698360592293296e-97,2.397242691187016e-10,2.8813482690900795e-29,2.9512154192457152e-36,3.8810288759118994e-39,2.8813485619668917e-29,8.998783558260354e-18,2.473658646740053e-38,1.0341252197676761e-29,4.493363289152091e-28,5.772509668946088e-47,1.9182312470461754e-59,1.8688051578713734e-63,1.667491031401309e-69,1.6223484778761608e-10,3.745692435160394e-21,1.5917455894654602e-39,2.6066324321658265e-48,1.6190758132252435e-48,1.1993072561552271e-63
1.8325726309306313e-16,0.000539690409995138,0.0915567593028733,0.0,0.0015883081673433266,0.4515426282054161,1.1519628565735496e-68,0.45690061213707456,6.888842780759117e-45,4.3421566749075754e-55,7.126429886552295e-38,1.674358628169296e-67,3.055513151161393e-96,3.013676275051795e-10,4.4101912710265623e-29,5.366366528354044e-36,8.690103275690769e-39,4.410191803750042e-29,1.1312755998049352e-17,4.4931570244313015e-38,1.580437442574636e-29,6.877368426876865e-28,1.2910916785323765e-46,5.93474233890529e-59,5.681397519293204e-63,6.780433599128172e-69,2.039523630849322e-10,4.708870297387587e-21,2.8902729622540626e-39,5.530036022984976e-48,4.031281260278934e-48,3.7122576138554554e-63
2.2074170349687118e-16,0.000539690409995138,0.0915567593028733,0.0,0.0015883080222649612,0.4515426281745944,2.5320611648592453e-68,0.45690061209535704,1.5482040652108122e-44,9.805308574942807e-55,1.3987972695402845e-37,5.663335805316073e-67,1.3980283407794887e-95,3.63010974807297e-10,6.280618198448698e-29,8.876852405047122e-36,1.7169707940780869e-38,6.280619079949203e-29,1.3626728224238592e-17,7.424295496729309e-38,2.2472508052455828e-29,9.793910220514076e-28,2.5479865597318286e-46,1.5664798413780812e-58,1.4858415024277336e-62,2.2934078595855603e-68,2.456698708793968e-10,5.6720480729887775e-21,4.7741237763402714e-39,1.0482188052173832e-47,8.860918792975517e-48,9.80299883383771e-63
2.9571058430448724e-16,0.000539690409995138,0.0915567593028733,0.0,0.0015883077321083106,0.45154262811295104,1.0767736844234953e-67,0.456900612011922,6.672453023072092e-44,4.214369816751365e-54,4.436436426530416e-37,8.315235035059171e-66,4.2187778586252825e-94,4.862976355334459e-10,1.1065471452133283e-28,2.0475131791080892e-35,5.47870233405025e-38,1.1065473486949846e-28,1.8254672023781898e-17,1.7078071447981981e-37,3.9457663856844055e-29,1.7254361015662854e-27,8.104524580701202e-46,9.916996219746549e-58,9.346264307810917e-62,3.367313194629632e-67,3.2910486353700385e-10,7.598403359431939e-21,1.0972544451840058e-38,3.1901535547576275e-47,3.768155517127941e-47,6.218982514607515e-62
3.7067946511210334e-16,0.000539690409995138,0.0915567593028733,0.0,0.0015883074419517657,0.4515426280513077,3.167238336488847e-67,0.45690061192848713,1.9654528596741856e-43,1.236675231345132e-53,1.0676444138917226e-36,4.359631094583565e-65,2.950768344239629e-93,6.095842512292391e-10,1.7237984139510804e-28,3.9331359778632265e-35,1.3213351326866543e-37,1.7237988051037402e-28,2.2882614955592073e-17,3.2722057671426496e-37,6.12606389245376e-29,2.6877631124242396e-27,1.949372257146636e-45,3.601793400931497e-57,3.3955502552678615e-61,1.7654634230496426e-66,4.1253982571484054e-10,9.52475829396338e-21,2.1006940169269144e-38,7.5269534878317235e-47,1.1083706091494184e-46,2.2620512994619454e-61
5.206172267273355e-16,0.000539690409995138,0.0915567593028733,0.0,0.0015883068616389946,0.4515426279280212,1.8594067063419675e-66,0.4569006117616173,1.1413778232900261e-42,7.08075914326245e-53,4.249396825614547e-36,8.929345991717933e-64,1.3626579774997302e-91,8.561573474368091e-10,3.374875393561758e-28,1.0817153510900492e-34,5.267995977213912e-37,3.3748764710256994e-28,3.213849821428356e-17,8.946147382430587e-37,1.1907668478935742e-28,5.2615040044240335e-27,7.720658391064288e-45,3.105030855852914e-56,2.9527955308967746e-60,3.616001766760012e-65,5.794096585704744e-10,1.3377467106589597e-20,5.732694457458978e-38,2.971367586170858e-46,6.506962747679783e-46,1.959378651800217e-60
8.204927499577998e-16,0.000539690409995138,0.0915567593028733,0.0,0.0015883057010147251,0.45154262768144837,2.1352362943881914e-65,0.4569006114278779,1.275229889869244e-41,7.673108719113594e-52,2.7874166031077233e-35,4.942857484985523e-62,1.749405962805815e-89,1.3493029990759977e-09,8.343386970038326e-28,4.303372341465947e-34,3.459325638779349e-36,8.343391270637296e-28,5.065025431157829e-17,3.512499956697732e-36,2.899762703929236e-28,1.3004206147520337e-26,4.997887494278028e-44,5.700106716917806e-55,5.554421771064939e-59,2.0016450719089444e-63,9.131489582686246e-10,2.108288050594363e-20,2.24175800306105e-37,1.984656170218768e-45,7.472212702770319e-45,3.6382447249611873e-59
1.4202437964187286e-15,0.000539690409995138,0.0915567593028733,0.0,0.0015883033797712777,0.4515426271883038,3.904570330741805e-64,0.4569006107604007,2.277486576570846e-40,1.31330596299925e-50,2.6706778831810234e-34,5.175713338512139e-60,6.080684981997153e-87,2.3355921390052423e-09,2.494608680166264e-27,2.2969949309042298e-33,3.3181423181732643e-35,2.4946109909458597e-27,8.76737248242862e-17,1.824221002244096e-35,8.40791636152666e-28,3.886101868122495e-26,4.656485394259622e-43,1.7430207880206635e-53,1.7873993960527292e-57,2.095941695779376e-61,1.5806260935598765e-09,3.649369040043377e-20,1.154775654528515e-36,1.9623525464394042e-44,1.3663918913088835e-43,1.138747946701637e-57
2.6197458893405856e-15,0.000539690409995138,0.0915567593028733,0.0,0.0015882987373047502,0.45154262620201896,9.284181788467649e-63,0.4569006094254522,5.349072267132073e-39,2.899561533734392e-49,3.231540454414636e-33,7.603157208228716e-58,2.959388663849798e-84,4.308161764146509e-09,8.481419732446711e-27,1.4775485163710136e-32,4.02228545581367e-34,8.481434792023371e-27,1.6172049912222836e-16,1.1120934884122925e-34,2.6920131275433363e-27,1.3198181529767173e-25,5.333858362227417e-42,6.964671537598427e-52,7.889618027569741e-56,3.0789522476744425e-59,2.915574507733247e-09,6.731524257253267e-20,6.933044562491198e-36,2.414671819153555e-43,3.248951051763351e-42,4.760998583974421e-56
