Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(49),H2X(48),COX(58),CHOX2(59),SX(51),CH3OX(44),CH2OX2(50),CHO3X(91),H(23),HCO(31),CH3X(53),CH4(39),OCHCO(417),CH4X(436)
0.0,0.0027792097116130575,0.0915567593028733,0.0,0.008179214181277228,0.4515426283560999,0.0,0.4569006123410269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5396445330266343e-24,0.0027792097116130575,0.0915567593028733,0.0,0.008179214181277221,0.4515426283560999,9.809328250713818e-86,0.4569006123410269,4.7543175013834183e-85,3.455932365412773e-95,6.668451869163048e-48,1.3975135554535083e-131,8.261790412098224e-177,2.552602649644131e-18,1.0387791244530277e-44,4.6081055989232245e-60,1.625642008010221e-71,1.0387791244530282e-44,1.0630866551655868e-25,4.840173994799103e-62,6.482092683574898e-46,2.629853857154834e-44,3.509782922784906e-79,-3.5529233878977474e-107,4.709070265329892e-89,-1.1539888432590023e-118,1.7274892687534485e-18,3.9884416400689566e-29,1.9518740628320085e-62,2.0385280190857962e-79,1.2327163846340584e-65,-2.7564679598913317e-111,1.2436494267241844e-104,4.564310062206909e-83,2.232659916450717e-51,2.1425992843064705e-92,-2.652965244966091e-123,1.8038383254392039e-149,1.1933676359047395e-195,9.54589002057042e-133
4.3110046924745755e-24,0.0027792097116130575,0.0915567593028733,0.0,0.008179214181277213,0.4515426283560999,5.924834263431145e-85,0.4569006123410269,2.300502860899084e-83,2.10241222015763e-93,1.8671665233656534e-47,2.2040100681293338e-129,5.588808291214885e-174,7.147287419003558e-18,6.274225911696281e-44,5.4707429657388505e-59,5.111278875149676e-70,6.274225911696286e-44,2.97664263446364e-25,5.746254436951533e-61,3.915183980079788e-45,1.588431729716193e-43,1.1035318862764863e-77,1.8411919547640047e-105,7.116347021094942e-88,1.1402148343956283e-117,4.836969952509651e-18,1.1167636592193072e-28,2.3172648868200638e-61,4.56010553958723e-78,7.445606963189701e-65,1.428453740428487e-109,1.4145614246942182e-102,1.3270160849511313e-81,1.3485261975051898e-50,4.7929087916972363e-91,2.4481403355070756e-121,5.078295768988234e-147,1.5522416876998034e-193,1.505476468012427e-130
9.853725011370459e-24,0.0027792097116130575,0.0915567593028733,0.0,0.008179214181277192,0.4515426283560999,2.8525526553075775e-84,0.4569006123410269,1.0117616967240072e-81,9.491293616016197e-92,4.26780919626435e-47,1.0529609232554939e-126,1.7947729687771046e-170,1.6336656957722363e-17,3.020769693909394e-43,5.371207884123813e-58,1.1402982020271228e-68,3.0207696939093993e-43,6.803754593059736e-25,5.641706612107665e-60,1.8849925511844033e-44,7.647615016526348e-43,2.4619189305806177e-76,1.9324058522109643e-103,7.6554413903007365e-87,6.288796075950352e-116,1.1055931320022026e-17,2.552602649644126e-28,2.275104405857288e-60,9.009999990361777e-77,3.58473924651582e-64,1.4992203017047704e-107,1.2805970655259394e-100,2.8925140866951786e-80,6.492572292821365e-50,9.469979979290484e-90,5.219015036467066e-119,4.9067325804302833e-144,3.438938928467405e-191,7.19238044611724e-128
2.0939165649162225e-23,0.0027792097116130575,0.0915567593028733,0.0,0.008179214181277148,0.4515426283560999,1.2457846878406544e-83,0.4569006123410269,3.804827483786216e-80,3.5837318518707774e-90,9.069094542061744e-47,3.5759307391091504e-124,2.795716892334452e-167,3.4715396035159775e-17,1.3192494880553325e-42,4.750772546163169e-57,2.135652333294742e-67,1.3192494880553375e-42,1.4457978510251883e-24,4.990025575353838e-59,8.232257695748618e-44,3.339914398504063e-42,4.610901687129973e-75,1.5428210503212425e-101,7.036669554295328e-86,2.475052670821863e-114,2.3493854055046636e-17,5.424280630493749e-28,2.012304080079913e-59,1.6032813473449286e-75,1.5655498084852308e-63,1.1969683479417075e-105,9.705786080387018e-99,5.3681570380260613e-79,2.8354767217837346e-49,1.685132327899753e-88,8.346758112469869e-117,3.335839919411251e-141,5.684169751932122e-189,2.44258393230578e-125
4.311004692474576e-23,0.0027792097116130575,0.0915567593028733,0.0,0.008179214181277062,0.4515426283560999,5.200905838528465e-83,0.4569006123410269,1.3185871412284548e-78,1.2433630549320882e-88,1.8671665233656533e-46,1.0493271384274905e-121,3.5029505513251894e-164,7.147287419003383e-17,5.507606917849834e-42,3.993310580344788e-56,3.6888083064541854e-66,5.507606917849874e-42,2.9766426344635996e-24,4.194417149021637e-58,3.4368055296790547e-43,1.3943485149891743e-41,7.964186000828707e-74,1.0989714602502537e-99,6.020018951056966e-85,8.744919303151607e-113,4.836969952509534e-17,1.1167636592192933e-27,1.6914628260845455e-58,2.704168321318649e-74,6.535862271329562e-63,8.52616092244587e-104,6.748801836563727e-97,9.234111034377753e-78,1.1837556800540274e-48,2.842221962140594e-87,1.1900124430033543e-114,1.9586150278274962e-138,8.225488324026516e-187,7.167559427466814e-123
8.745180947591283e-23,0.0027792097116130575,0.0915567593028733,0.0,0.008179214181276888,0.4515426283560998,2.124739736417615e-82,0.45690061234102686,4.389402823922487e-77,4.1409180787387e-87,3.7876806616846105e-46,2.872816712089286e-119,3.960349316752372e-161,1.4498783049977877e-16,2.2500371347301324e-41,3.2739572792069274e-55,6.129010171632233e-65,2.2500371347301653e-41,6.038332201340346e-24,3.438836578799241e-57,1.4040471941907266e-42,5.696368648122418e-41,1.32326141102891e-72,7.414065978106624e-98,4.97746808446573e-84,2.9379272736140997e-111,9.812139046519061e-17,2.265434851559107e-27,1.386763412735698e-57,4.4416045700609626e-73,2.6701129977725693e-62,5.7520620046330064e-102,4.500123264348297e-95,1.5312568717924555e-76,4.836028133306587e-48,4.668358085840765e-86,1.6062904555220479e-112,1.072692570327778e-135,1.1180892472330919e-184,1.9623131581069014e-120
1.7613533457824697e-22,0.0027792097116130575,0.0915567593028733,0.0,0.008179214181276543,0.45154262835609976,8.588537731255976e-82,0.45690061234102675,1.432456550416699e-75,1.3516646196317175e-85,7.628708938322521e-46,7.603416668608719e-117,4.259222569999305e-158,2.920177431192563e-16,9.095009848565139e-41,2.651335487473969e-54,9.991833460954923e-64,9.0950098485654e-41,1.2161711335093549e-23,2.7848589993415556e-56,5.675383207247846e-42,2.3025632844066004e-40,2.1572500593824382e-71,4.870738711805701e-96,4.047594382553725e-83,9.63093322322848e-110,1.9762477234537276e-16,4.562777236238649e-27,1.1230369562366159e-56,7.200032368157242e-72,1.0793023651334266e-61,3.7788699655537706e-100,2.9394391395111253e-93,2.4939447394402303e-75,1.954799878981605e-47,7.567609577151102e-85,2.1109616363200732e-110,5.678799976598042e-133,1.474373517853539e-182,5.193608249978256e-118
3.5350238478291524e-22,0.0027792097116130575,0.0915567593028733,0.0,0.00817921418127585,0.4515426283560996,3.453413247976798e-81,0.4569006123410265,4.628944401800519e-74,4.368346428986946e-84,1.5310765491598337e-45,1.9790200888379927e-114,4.469185095004381e-155,5.860775683581613e-16,3.657063458801165e-40,2.1340254608300175e-53,1.6136837725427439e-62,3.6570634588013753e-40,2.440846960259877e-23,2.241496770025787e-55,2.282046594623636e-41,9.258505694069559e-40,3.483964561276609e-70,3.158149065836519e-94,3.2645315036479066e-82,3.119138836757854e-108,3.9663153610570326e-16,9.157462005597448e-27,9.039178288258062e-56,1.1595430043081196e-70,4.339827340758338e-61,2.4501898996524496e-98,1.9004750232068036e-91,4.0258198562317735e-74,7.860164310284695e-47,1.2187401769828044e-83,2.7377416774133434e-108,2.956333361365721e-130,1.9153387506012153e-180,1.3517942669579647e-115
7.082364851922517e-22,0.0027792097116130575,0.0915567593028733,0.0,0.008179214181274467,0.4515426283560993,1.3849731701213307e-80,0.45690061234102614,1.488517701514535e-72,1.4047947096071821e-82,3.067487859814996e-45,5.10838564700714e-112,4.6324928043283665e-152,1.1741972188357722e-15,1.4666460131399195e-39,1.712421035352646e-52,2.5939495337735897e-61,1.4666460131400884e-39,4.8901986137604504e-23,1.798659946357907e-54,9.152027259913753e-41,3.7130748784119684e-39,5.600371128269072e-69,2.0343992229928857e-92,2.6222492364757533e-81,1.0041243014687052e-106,7.946450636262289e-16,1.83468315443144e-26,7.253371059036012e-55,1.8613232840773296e-69,1.7404648671655113e-60,1.5783499905608213e-96,1.2224972736039915e-89,6.469863611266899e-73,3.1522774372891353e-46,1.9563478447308235e-82,3.527347835487185e-106,1.5262639189410746e-127,2.4697986640153706e-178,3.4893463043696005e-113
