Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(48)
0.0,0.0006811613451670383,0.1557,0.0,0.0020046578388265932,0.6424,0.2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.7704286234248325e-25,0.0006811613451670383,0.1557,0.0,0.0020046578388265898,0.6424,0.2019,0.0,0.0,1.3241994098802711e-52,0.0,-8.860232349031302e-118,-3.303850575421056e-160,1.3476339214466576e-18,0.0,0.0,0.0,4.329060477769475e-92,0.0,3.598931264930912e-71,0.0,0.0,1.1246660202909121e-70,6.515301293226819e-94,0.0,-3.436481883064572e-119,2.1056780022604076e-18
1.6157200145589532e-24,0.0006811613451670383,0.1557,0.0,0.0020046578388265837,0.6424,0.2019,0.0,0.0,3.707758347664759e-52,0.0,8.754543967438866e-117,5.545608615438688e-159,3.773374980050629e-18,0.0,0.0,0.0,5.139460599207884e-91,0.0,2.1737544840182596e-70,0.0,0.0,6.792982762557093e-70,9.845968796615501e-93,0.0,3.3954901580598537e-118,5.895898406329127e-18
3.693074318991893e-24,0.0006811613451670383,0.1557,0.0,0.002004657838826571,0.6424,0.2019,0.0,0.0,8.474876223233736e-52,0.0,4.828564779816653e-115,6.537259410539118e-157,8.62485709725851e-18,0.0,0.0,0.0,5.045952892887983e-90,0.0,1.0465692118418927e-69,0.0,0.0,3.270528787005947e-69,1.0591943546737103e-91,0.0,1.8727810664157043e-116,1.3476339214466513e-17
7.847782927857772e-24,0.0006811613451670383,0.1557,0.0,0.0020046578388265464,0.6424,0.2019,0.0,0.0,1.8009111974371687e-51,0.0,1.9003913046495003e-113,5.167494337447246e-155,1.832782133167403e-17,0.0,0.0,0.0,4.4630881901609755e-89,0.0,4.5706427064620887e-69,0.0,0.0,1.428325845769432e-68,9.736004334794454e-91,0.0,7.37075511340298e-115,2.863722083074106e-17
1.615720014558953e-23,0.0006811613451670383,0.1557,0.0,0.0020046578388264965,0.6424,0.2019,0.0,0.0,3.707758347664759e-51,0.0,6.714760138334737e-112,3.6571980395196e-153,3.773374980050412e-17,0.0,0.0,0.0,3.7514945450669456e-88,0.0,1.9081533566662183e-68,0.0,0.0,5.962979239582177e-68,8.329670612443825e-90,0.0,2.604350614727814e-113,5.895898406328927e-17
3.2776034581053045e-23,0.0006811613451670383,0.1557,0.0,0.002004657838826397,0.6423999999999999,0.2019,0.0,0.0,7.521452648119939e-51,0.0,2.2560460343550558e-110,2.459361749577496e-151,7.654560673816042e-17,0.0,0.0,0.0,3.0757018837991215e-87,0.0,7.795429077089674e-68,0.0,0.0,2.4360715865907258e-67,6.887651934660536e-89,0.0,8.75017834647807e-112,1.1960251052838212e-16
6.601370345198008e-23,0.0006811613451670383,0.1557,0.0,0.002004657838826198,0.6423999999999997,0.2019,0.0,0.0,1.5148841249030297e-50,0.0,7.396729180465764e-109,1.6132774928200926e-149,1.5416932061345763e-16,0.0,0.0,0.0,2.4907831284562674e-86,0.0,3.151037071146679e-67,0.0,0.0,9.846990847335018e-67,5.60176859481957e-88,0.0,2.8688554455036567e-110,2.408895634585535e-16
1.3248904119383414e-22,0.0006811613451670383,0.1557,0.0,0.0020046578388258005,0.6423999999999994,0.2019,0.0,0.0,3.0403618450851006e-50,0.0,2.3962651255919167e-107,1.0454817407072434e-147,3.0941674836399034e-16,0.0,0.0,0.0,2.0047989550154018e-85,0.0,1.2670181475431357e-66,0.0,0.0,3.9594317110736253e-66,4.519391447812133e-87,0.0,9.294024543415037e-109,4.834636693188391e-16
2.654397166775423e-22,0.0006811613451670383,0.1557,0.0,0.0020046578388250046,0.6423999999999987,0.2019,0.0,0.0,6.091317285449238e-50,0.0,7.71871510372361e-106,6.7359107259907985e-146,6.19911603864809e-16,0.0,0.0,0.0,1.608724903570192e-84,0.0,5.081309459361507e-66,0.0,0.0,1.5879092060515358e-65,3.632409278114369e-86,0.0,2.9937391673181685e-107,9.68611881039182e-16
5.313410676449586e-22,0.0006811613451670383,0.1557,0.0,0.0020046578388234135,0.6423999999999974,0.2019,0.0,0.0,1.2193228166177497e-49,0.0,2.480330600325479e-104,4.329200939314383e-144,1.240901314865459e-15,0.0,0.0,0.0,1.2889375702013612e-83,0.0,2.035174180682586e-65,0.0,0.0,6.359919314641617e-65,2.9153340146805176e-85,0.0,9.620076355078185e-106,1.938908304478953e-15
1.0631437695797912e-21,0.0006811613451670383,0.1557,0.0,0.0020046578388202307,0.6423999999999949,0.2019,0.0,0.0,2.4397049927633952e-49,0.0,7.96776780614741e-103,2.781424268042861e-142,2.48288073686281e-15,0.0,0.0,0.0,1.0319337853801023e-82,0.0,8.146000539691999e-65,0.0,0.0,2.5456251686605842e-64,2.3402507450249754e-84,0.0,3.0903354038612566e-104,3.879501151354839e-15
2.126749173449456e-21,0.0006811613451670383,0.1557,0.0,0.0020046578388138656,0.6423999999999898,0.2019,0.0,0.0,4.8804693450546625e-49,0.0,2.5636522920782163e-101,1.7898181593821096e-140,4.9668395808417195e-15,0.0,0.0,0.0,8.25860654041473e-82,0.0,3.2594612815660984e-64,0.0,0.0,1.018581650494876e-63,1.882144215403933e-83,0.0,9.943243370226058e-103,7.760686845091986e-15
4.2539599811887864e-21,0.0006811613451670383,0.1557,0.0,0.0020046578388011353,0.6423999999999795,0.2019,0.0,0.0,9.761998049637098e-49,0.0,8.283964069694032e-100,1.156615563956489e-138,9.934757268736363e-15,0.0,0.0,0.0,6.608140003309675e-81,0.0,1.3039967559847146e-63,0.0,0.0,4.0749898624960054e-63,1.520492501815981e-82,0.0,3.212973579516388e-101,1.5523058232507776e-14
8.508381596667446e-21,0.0006811613451670383,0.1557,0.0,0.0020046578387756748,0.642399999999959,0.2019,0.0,0.0,1.952505545880158e-48,0.0,2.700787354472433e-98,7.540690155575942e-137,1.987059264427295e-14,0.0,0.0,0.0,5.287013964533695e-80,0.0,5.21641154080158e-63,0.0,0.0,1.6301286065355145e-62,1.2395842071305318e-81,0.0,1.0475128019386383e-99,3.104780100710535e-14
1.7017224827624767e-20,0.0006811613451670383,0.1557,0.0,0.0020046578387247537,0.642399999999918,0.2019,0.0,0.0,3.905117027712897e-48,0.0,8.959666181120681e-97,5.0018056810644824e-135,3.974226339433532e-14,0.0,0.0,0.0,4.2298119669032157e-79,0.0,2.086649522648394e-62,0.0,0.0,6.520779758556415e-62,1.0285903634395749e-80,0.0,3.475047752375638e-98,6.209728655536443e-14
3.4034911289539407e-20,0.0006811613451670383,0.1557,0.0,0.0020046578386229115,0.6423999999998361,0.2019,0.0,0.0,7.810339991377747e-48,0.0,3.0696932726156365e-95,3.4257092680623595e-133,7.948560489041683e-14,0.0,0.0,0.0,3.383929893454155e-78,0.0,8.346767905729131e-62,0.0,0.0,2.6083649707645077e-61,8.818764696748064e-80,0.0,1.1905946596454092e-96,1.2419625764813845e-13
6.807028421336869e-20,0.0006811613451670383,0.1557,0.0,0.002004657838419227,0.6423999999996721,0.2019,0.0,0.0,1.5620785918704942e-47,0.0,1.1119057549210357e-93,2.479746039808306e-131,1.5897228786640697e-13,0.0,0.0,0.0,2.707176042646901e-77,0.0,3.3387411251866184e-61,0.0,0.0,1.0433566018001441e-60,7.998785588079813e-79,0.0,4.3125776299487314e-95,2.483941998187097e-13
1.3614103006102726e-19,0.0006811613451670383,0.1557,0.0,0.0020046578380118574,0.6423999999993443,0.2019,0.0,0.0,3.1241677773349287e-47,0.0,4.3874627269759906e-92,1.954725704274349e-129,3.179456537536958e-13,0.0,0.0,0.0,2.165753684527905e-76,0.0,1.3355032423363068e-60,0.0,0.0,4.173447633735575e-60,7.908941218483977e-78,0.0,1.7016976056273136e-93,4.967900840999451e-13
2.722825217563444e-19,0.0006811613451670383,0.1557,0.0,0.002004657837197119,0.6423999999986885,0.2019,0.0,0.0,6.248346148259782e-47,0.0,1.9347594235645195e-90,1.7216457540554112e-127,6.358923852695071e-13,0.0,0.0,0.0,1.7326080864774915e-75,0.0,5.342026551118257e-60,0.0,0.0,1.6693832983721524e-59,8.742937087436181e-77,0.0,7.504053443483282e-92,9.935818524227875e-13
5.445655051469787e-19,0.0006811613451670383,0.1557,0.0,0.002004657835567642,0.642399999997377,0.2019,0.0,0.0,1.2496702890093425e-46,0.0,9.588058996980804e-89,1.7042293863067464e-125,1.2717858472660653e-12,0.0,0.0,0.0,1.3860885226056618e-74,0.0,2.136813334580518e-59,0.0,0.0,6.677541679745707e-59,1.085949011867996e-75,0.0,3.718772796878759e-90,1.9871653881099593e-12
1.0891314719282473e-18,0.0006811613451670383,0.1557,0.0,0.002004657832308688,0.642399999994754,0.2019,0.0,0.0,2.499341637369647e-46,0.0,5.242038768504268e-87,1.8617091192015713e-123,2.5435727671189234e-12,0.0,0.0,0.0,1.1088716360597536e-73,0.0,8.547258748796207e-59,0.0,0.0,2.6710183663440917e-58,1.4871503599763095e-74,0.0,2.0331488548874494e-88,3.974332455650252e-12
2.1782634054907845e-18,0.0006811613451670383,0.1557,0.0,0.00200465782579078,0.6423999999895078,0.2019,0.0,0.0,4.9986843340645555e-46,0.0,3.0685856084543064e-85,2.178279895151591e-121,5.087146590263604e-12,0.0,0.0,0.0,8.870976306061419e-73,0.0,3.418904567377355e-58,0.0,0.0,1.068407683181648e-57,2.1790479912696746e-73,0.0,1.1901650464767604e-86,7.94866657539463e-12
4.356527272615859e-18,0.0006811613451670383,0.1557,0.0,0.0020046578127549644,0.6423999999790155,0.2019,0.0,0.0,9.997369727351575e-46,0.0,1.8720978496849715e-83,2.656938279193219e-119,1.0174294170308804e-11,0.0,0.0,0.0,7.096782244972574e-72,0.0,1.3675620291337435e-57,0.0,0.0,4.273631388052753e-57,3.3258495740107265e-72,0.0,7.261017639979027e-85,1.5897334753538565e-11
8.713055006866007e-18,0.0006811613451670383,0.1557,0.0,0.0020046577866833335,0.6423999999580311,0.2019,0.0,0.0,1.9994740513514426e-45,0.0,1.1685440924788684e-81,3.3162429110400494e-117,2.0348589065422434e-11,0.0,0.0,0.0,5.6774261369711835e-71,0.0,5.470248429788579e-57,0.0,0.0,1.7094526719167755e-56,5.19185629122119e-71,0.0,4.532252020041633e-83,3.179467086444713e-11
1.7426110475366304e-17,0.0006811613451670383,0.1557,0.0,0.0020046577345400737,0.6423999999160621,0.2019,0.0,0.0,3.9989482084195365e-45,0.0,7.381108694928198e-80,4.189006960627066e-115,4.069717779574149e-11,0.0,0.0,0.0,4.541940823484138e-70,0.0,2.188099361676539e-56,0.0,0.0,6.837810806101904e-56,8.20016665248676e-70,0.0,2.8627969580154134e-81,6.358934210474715e-11
2.61391659438666e-17,0.0006811613451670383,0.1557,0.0,0.002004657682396816,0.6423999998740931,0.2019,0.0,0.0,5.998422365323156e-45,0.0,4.202707310589694e-79,2.785184531746138e-114,6.10457654661509e-11,0.0,0.0,0.0,1.2987111642165379e-69,0.0,4.649711033819485e-56,0.0,0.0,1.4530347874313637e-55,3.116910882053979e-69,0.0,1.6300393605085163e-80,9.538401236353005e-11
3.48522214123669e-17,0.0006811613451670383,0.1557,0.0,0.00200465763025356,0.6423999998321241,0.2019,0.0,0.0,7.997896522062298e-45,0.0,1.6412434754454694e-78,1.2026008646706157e-113,8.139435207664914e-11,0.0,0.0,0.0,2.7393578744345433e-69,0.0,7.931859774286255e-56,0.0,0.0,2.4787063742616403e-55,8.369000089490121e-69,0.0,6.365638304683055e-80,1.2717868164079586e-10
5.227833234936749e-17,0.0006811613451670383,0.1557,0.0,0.002004657525967053,0.6423999997481862,0.2019,0.0,0.0,1.199684483515457e-44,0.0,1.3703145470929208e-77,1.1342013673669305e-112,1.220915228100932e-10,0.0,0.0,0.0,7.482035351376467e-69,0.0,1.6421907183870773e-55,0.0,0.0,5.131846560812986e-55,3.376314081687636e-68,0.0,5.3148279921233915e-79,1.9076801789176715e-10
