Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(49),H2X(48),COX(58),CHOX2(59),SX(51),CH3OX(44),CH2OX2(50),CHO3X(91)
1.12500942132463e-21,0.0026772599839999995,0.1557,0.0,0.007879176132909392,0.6423999999999987,0.2019,0.0,0.0,1.4540005958938967e-50,0.0,2.769960911060665e-105,9.281794144779855e-146,2.604415675493866e-15,0.0,0.0,0.0,4.846914879071777e-84,0.0,5.09354941796885e-66,0.0,0.0,1.5917341931156937e-76,2.8325920197739064e-86,0.0,1.7367864355420107e-106,0.0,4.069399492960675e-26,6.062252783233295e-83,9.246661803359237e-75,0.0,2.832592195616414e-86,1.5917341891893872e-65,0.0
2.2509962617816015e-21,0.0026772599839999995,0.1557,0.0,0.007879176132906784,0.6423999999999974,0.2019,0.0,0.0,2.9092644416538963e-50,0.0,8.877142721750571e-104,5.949383350984164e-144,5.211094092667003e-15,0.0,0.0,0.0,3.88049407183303e-83,0.0,2.0387471844741453e-65,0.0,0.0,6.371084951485137e-76,2.2683708081952382e-85,0.0,5.56603560861511e-105,0.0,8.1423345198008e-26,9.707500405729619e-82,7.40295056292488e-74,0.0,2.2683710898488293e-85,6.3710849200508e-65,0.0
4.5029699426955444e-21,0.0026772599839999995,0.1557,0.0,0.007879176132901572,0.6423999999999949,0.2019,0.0,0.0,5.819792133173872e-50,0.0,2.842810074926709e-102,3.810498784664681e-142,1.0424450927006356e-14,0.0,0.0,0.0,3.10562275624778e-82,0.0,8.157644329072312e-65,0.0,0.0,2.549263852837857e-75,1.8156158034283372e-84,0.0,1.7824634120904643e-103,0.0,1.628820457350245e-25,1.553831435832108e-80,5.924608363794937e-73,0.0,1.8156162543186456e-84,2.549263827680817e-64,0.0
9.00691730452343e-21,0.0026772599839999995,0.1557,0.0,0.007879176132891144,0.6423999999999896,0.2019,0.0,0.0,1.1640847516213726e-49,0.0,9.10039107057087e-101,2.4396450882022223e-140,2.0851164595657383e-14,0.0,0.0,0.0,2.485124128567458e-81,0.0,3.263588925519472e-64,0.0,0.0,1.0198715392270633e-74,1.4528601246323644e-83,0.0,5.70601401119827e-102,0.0,3.257994468109942e-25,2.486633534338048e-79,4.740583654628627e-72,0.0,1.4528608462524335e-83,1.019871519097579e-63,0.0
1.80148120281792e-20,0.0026772599839999995,0.1557,0.0,0.007879176132870291,0.6423999999999792,0.2019,0.0,0.0,2.328295828229304e-49,0.0,2.912668003838979e-99,1.5616686309451908e-138,4.1704591932848716e-14,0.0,0.0,0.0,1.9887811516040814e-80,0.0,1.3055418165475868e-63,0.0,0.0,4.079818176729361e-74,1.162434677334961e-82,0.0,1.8262648616282971e-100,0.0,6.516342489793259e-25,3.97900994032517e-78,3.792821917014269e-71,0.0,1.162435832083138e-82,4.079818015677724e-63,0.0
3.6030601475490736e-20,0.0026772599839999995,0.1557,0.0,0.007879176132828585,0.6423999999999583,0.2019,0.0,0.0,4.6567179814450115e-49,0.0,9.321399448480178e-98,9.99561854967055e-137,8.341144660678849e-14,0.0,0.0,0.0,1.5926783683754413e-79,0.0,5.222379766401298e-63,0.0,0.0,1.6319936770154486e-73,9.300056835667958e-82,0.0,5.844587934589321e-99,0.0,1.3033038534507228e-24,6.366712618187542e-77,3.034393409708361e-70,0.0,9.300075312874092e-82,1.6319935481672651e-62,0.0
7.206218037011382e-20,0.0026772599839999995,0.1557,0.0,0.00787917613274517,0.6423999999999166,0.2019,0.0,0.0,9.313562287875797e-49,0.0,2.9829813504628394e-96,6.397487160767154e-135,1.668251559528965e-13,0.0,0.0,0.0,1.2792223458183425e-78,0.0,2.088994407332339e-62,0.0,0.0,6.528107523042235e-73,7.440266155419447e-81,0.0,1.8703518611986658e-97,0.0,2.6066430634857685e-24,1.0186912497410178e-75,2.427559273558754e-69,0.0,7.440295719894909e-81,6.528106492220174e-62,0.0
1.4412533815935997e-19,0.0026772599839999995,0.1557,0.0,0.007879176132578344,0.6423999999998332,0.2019,0.0,0.0,1.8627250900734865e-48,0.0,9.545725975318807e-95,4.094473084523849e-133,3.336525746380263e-13,0.0,0.0,0.0,1.0395480159282823e-77,0.0,8.356062631426772e-62,0.0,0.0,2.6112695724371365e-72,5.952283461292e-80,0.0,5.985242360424995e-96,0.0,5.213321492351405e-24,1.6298989624136236e-74,1.9420495478572894e-68,0.0,5.9523307650728396e-80,2.6112687477502996e-61,0.0
2.882516537378523e-19,0.0026772599839999995,0.1557,0.0,0.007879176132244689,0.6423999999996663,0.2019,0.0,0.0,3.7254628126443e-48,0.0,3.0546441004810982e-93,2.620473541941826e-131,6.673074119799411e-13,0.0,0.0,0.0,8.833472341885545e-77,0.0,3.342442052924397e-61,0.0,0.0,1.044513141653217e-71,4.761826601709895e-79,0.0,1.915284945605544e-94,0.0,1.0426678420677156e-23,2.6077660823035394e-73,1.553615387472161e-67,0.0,4.761902287818766e-79,1.044512481868792e-60,0.0
5.765042848948369e-19,0.0026772599839999995,0.1557,0.0,0.007879176131577379,0.6423999999993327,0.2019,0.0,0.0,7.450938257781925e-48,0.0,9.77476531943692e-92,1.677086994287082e-129,1.3346170865503914e-12,0.0,0.0,0.0,8.72119905032946e-76,0.0,1.3369802211681877e-60,0.0,0.0,4.1780631924065706e-71,3.8094158038882826e-78,0.0,6.128851750042256e-93,0.0,2.085339284300497e-23,4.172154735200888e-72,1.242842448588644e-66,0.0,3.8095369003131525e-78,4.1780579136188516e-60,0.0
1.1530095472088061e-18,0.0026772599839999995,0.1557,0.0,0.00787917613024276,0.6423999999986654,0.2019,0.0,0.0,1.490188914804116e-47,0.0,3.1278361929434566e-90,1.073305550996863e-127,2.6692364352377737e-12,0.0,0.0,0.0,1.2270230528186368e-74,0.0,5.347927684570743e-60,0.0,0.0,1.6712274029791555e-70,3.0474417990692653e-77,0.0,1.961176933984931e-91,0.0,4.170682621675299e-23,6.674548690843122e-71,9.94189765846079e-66,0.0,3.0476355477996004e-77,1.6712231791480657e-59,0.0
2.306020071836745e-18,0.0026772599839999995,0.1557,0.0,0.007879176127573521,0.6423999999973308,0.2019,0.0,0.0,2.9803790928495585e-47,0.0,1.0008464294551884e-88,6.868739387915439e-126,5.33847513079847e-12,0.0,0.0,0.0,2.674934171847605e-73,0.0,2.139172434575349e-59,0.0,0.0,6.684913879191523e-70,2.4378008692580435e-76,0.0,6.275382729586905e-90,0.0,8.341372921171583e-23,1.0676376890155045e-69,7.952153675031922e-65,0.0,2.4381108484845303e-76,6.68488007580334e-59,0.0
4.612041121092622e-18,0.0026772599839999995,0.1557,0.0,0.007879176122235043,0.6423999999946616,0.2019,0.0,0.0,5.960759448914822e-47,0.0,3.20231025844019e-87,4.39545086719626e-124,1.0676952514663578e-11,0.0,0.0,0.0,7.555169475375726e-72,0.0,8.556692479550754e-59,0.0,0.0,2.673966430757131e-69,1.9499937356322013e-75,0.0,2.007872707432537e-88,0.0,1.6682782524028595e-22,1.7072905071861548e-68,6.359533818223511e-64,0.0,1.9504896416426925e-75,2.67393936769355e-58,0.0
9.224083219604375e-18,0.0026772599839999995,0.1557,0.0,0.007879176111558089,0.6423999999893231,0.2019,0.0,0.0,1.1921520160942872e-46,0.0,1.0244833321168494e-85,2.81239148241104e-122,2.135390725336862e-11,0.0,0.0,0.0,2.335118809749053e-70,0.0,3.4226775776401205e-58,0.0,0.0,1.0695867901130585e-68,1.5595988418160302e-74,0.0,6.4235877126714965e-87,0.0,3.3365833784221473e-22,2.728691461529136e-67,5.084125084634515e-63,0.0,1.5603920964669385e-74,1.0695651071095077e-57,0.0
1.8448167416627885e-17,0.0026772599839999995,0.1557,0.0,0.007879176090204179,0.6423999999786462,0.2019,0.0,0.0,2.3843041584589063e-46,0.0,3.276707978131614e-84,1.799037942303575e-120,4.270781661467767e-11,0.0,0.0,0.0,7.392525424499697e-69,0.0,1.3690712130150315e-57,0.0,0.0,4.278348275922839e-68,1.2470452437523135e-73,0.0,2.0545205226280004e-85,0.0,6.673379283467927e-22,4.356413454265919e-66,4.061706820886746e-62,0.0,1.248313827251735e-73,4.2781742911041095e-57,0.0
3.6896335810674906e-17,0.0026772599839999995,0.1557,0.0,0.007879176047496361,0.6423999999572922,0.2019,0.0,0.0,4.7686084430241834e-46,0.0,1.0474990433029447e-82,1.1502430927779839e-118,8.541563487288888e-11,0.0,0.0,0.0,2.350416290940169e-67,0.0,5.476286287396798e-57,0.0,0.0,1.7113406275674783e-67,9.96623377262343e-73,0.0,6.5678972104185575e-84,0.0,1.334845635529462e-21,6.940030599247765e-65,3.240450970899761e-61,0.0,9.986511167399055e-73,1.711200606481582e-56,0.0
7.379267259876893e-17,0.0026772599839999995,0.1557,0.0,0.007879175962080726,0.6423999999145844,0.2019,0.0,0.0,9.537217011498924e-46,0.0,3.3453119865085326e-81,7.346990005010161e-117,1.7083126953166266e-10,0.0,0.0,0.0,7.45341415020941e-66,0.0,2.190516535287543e-56,0.0,0.0,6.845382700712787e-67,7.956828870899847e-72,0.0,2.0975352747111904e-82,0.0,2.6710492743235426e-21,1.1008242673424389e-63,2.57820892758717e-60,0.0,7.989209072187824e-72,6.844249200855941e-56,0.0
1.1068900938686298e-16,0.0026772599839999995,0.1557,0.0,0.007879175876665093,0.6423999998718766,0.2019,0.0,0.0,1.430582557931788e-45,0.0,1.5992652271544683e-80,4.1920241491819926e-116,2.5624690233275925e-10,0.0,0.0,0.0,3.390957002786191e-65,0.0,4.654851763137434e-56,0.0,0.0,1.454648347538105e-66,2.359557555732749e-71,0.0,1.0027510292474219e-81,0.0,4.009233297169485e-21,4.034926932994486e-63,7.348960489907568e-60,0.0,2.3717964458040104e-71,1.4543216935745353e-55,0.0
1.4758534617495702e-16,0.0026772599839999995,0.1557,0.0,0.007879175791249462,0.6423999998291687,0.2019,0.0,0.0,1.9074434146481074e-45,0.0,5.288959443706346e-80,1.5625807729687034e-115,3.416625332761501e-10,0.0,0.0,0.0,1.0075413733360095e-64,0.0,7.940637546015848e-56,0.0,0.0,2.4814689948691455e-66,5.136187992565379e-71,0.0,3.3162161763600307e-81,0.0,5.350189863621212e-21,1.0195032126697317e-62,1.5457087123375902e-59,0.0,5.1680196064405915e-71,2.4807740763395153e-55,0.0
