Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(48),CH2O2X(49),CH3OX(44),CH3X(50),CH4(39),CH4X(236),CH3O2X(47),CH4O2(169),H(23),HCO(31)
6.206575588419337e-22,0.0005360053254522017,0.1557,0.0,0.0015774636728021212,0.6423999999999971,0.2019,5.61102602344528e-175,7.236283823402455e-143,1.36965165717927e-49,3.056127043980997e-182,7.891477347264445e-104,1.689461293187255e-143,1.4471269637365224e-15,6.654272448122882e-99,2.639814780564755e-123,7.238294610574324e-143,1.4482076580305108e-82,3.1539592756901566e-176,2.0857822217796618e-64,7.175940186808951e-169,8.785673725102412e-185,8.331293293163496e-65,5.341028191412743e-85,7.039399992517811e-190,2.9422178439699905e-105,2.261135880841348e-15,4.0649697733945124e-197,5.32541394276558e-85,6.654268426509778e-99,1.6118350464444644e-119,4.02161310500816e-105,1.720335972919968e-205,2.3069750186425732e-210,9.494465091145096e-47,1.7294583055898112e-50
1.2418543510104023e-21,0.0005360053254522017,0.1557,0.0,0.0015774636727984097,0.6423999999999941,0.2019,7.220921759582636e-173,1.8614161270875897e-140,2.7404932810459136e-49,1.5722794709427593e-179,2.5363313390995585e-102,1.0859919197519731e-141,2.8955112054515603e-15,1.0688574638029394e-97,1.6968826293221887e-121,1.8619333693227782e-140,1.159446698686064e-81,8.109517392646941e-174,8.348564592537393e-64,9.225449382949188e-167,2.2589883905299678e-182,3.334688514951905e-64,4.289662834968147e-84,1.811776852849142e-187,9.45632974554004e-104,4.524236258530197e-15,2.6719728114047187e-194,4.264650964160184e-84,1.0688561712508012e-97,1.0360768971363977e-117,1.2925521378100567e-103,8.855504947651352e-203,2.3760810581013226e-207,3.799914166910902e-46,3.46041918143929e-50
2.48424793534734e-21,0.0005360053254522017,0.1557,0.0,0.0015774636727909869,0.6423999999999881,0.2019,9.321236360781674e-171,4.797009841791644e-138,5.482176528779168e-49,8.103736769771148e-177,8.168948273359933e-101,6.995239327646306e-140,5.792279688854347e-15,1.720761265950178e-96,1.093019191674449e-119,4.7983428140323086e-138,9.279097384995595e-81,2.0893948298491775e-171,3.3405132880447145e-63,1.1884652803741706e-164,5.820221395848061e-180,1.3343097692692716e-63,3.453492656238419e-83,4.67002814641144e-185,3.045670958274011e-102,9.050437013883468e-15,1.9753134946151008e-191,3.413450391529084e-83,1.72075710293068e-96,6.673334681436925e-116,4.163019497477874e-102,4.5651690616968015e-200,2.4503593561936062e-204,1.5203913887784307e-45,6.922340933523477e-50
4.9690351040212146e-21,0.0005360053254522017,0.1557,0.0,0.0015774636727761409,0.6423999999999761,0.2019,1.211936129384782e-168,1.2425234234692068e-135,1.096554302424555e-48,4.198025018893121e-174,2.644886950020593e-99,4.5293721410359934e-138,1.1585816655550763e-14,2.784888829415739e-95,7.077228446965284e-118,1.2428686904578012e-135,7.424687728382345e-80,5.411150206046912e-169,1.3364228366051045e-62,1.5389846784470493e-162,1.507330819217929e-177,5.338107927376932e-63,2.7955399329106586e-82,1.209575146651852e-182,9.861077566078456e-101,1.8102838524492295e-14,1.6428863970133944e-188,2.7314536932076664e-82,2.7848753506589113e-95,4.320395057778385e-114,1.3478756827310396e-100,2.3648094613503322e-197,2.5389156497273662e-201,6.082417095021977e-45,1.3846184440774548e-49
9.938609441368965e-21,0.0005360053254522017,0.1557,0.0,0.001577463672746449,0.6423999999999522,0.2019,1.599007173383663e-166,3.2527569917991918e-133,2.1932276015177797e-48,2.197926608002649e-171,8.656271375739438e-98,2.9642802977276138e-136,2.317289058850696e-14,4.555396685866227e-94,4.6317432513437927e-116,3.2536608536247025e-133,5.94031417428906e-79,1.4163711112152193e-166,5.346126423427026e-62,2.014232402032814e-160,3.9454455080737304e-175,2.1354169533603174e-62,2.287995377474118e-81,3.1655240163668635e-180,3.227371401459402e-99,3.6207641545319115e-14,1.5089172439456188e-185,2.1854425211854074e-81,4.5553525720722484e-94,2.8268049139990496e-112,4.4113793978030304e-99,1.237742373730599e-194,2.657910052826462e-198,2.433137155543746e-44,2.769387147994169e-49
1.9877758116064464e-20,0.0005360053254522017,0.1557,0.0,0.0015774636726870652,0.6423999999999044,0.2019,2.1705068416698007e-164,8.692243091123369e-131,4.386574199704023e-48,1.174644695128339e-168,2.8925498035836474e-96,1.9804397873813862e-134,4.634703845267285e-14,7.605859288797133e-93,3.094474104300759e-114,8.694658452931635e-131,4.752476958540504e-78,3.784227565044342e-164,2.13853759312818e-61,2.6909993842375434e-158,1.0541350024707255e-172,8.54201539042829e-62,1.912565736605078e-80,8.453349214665479e-178,1.0784511256897748e-97,7.241724758540939e-14,1.4998333037581655e-182,1.7484693397116037e-80,7.605711879140535e-93,1.8876991096722922e-110,1.4740965659696205e-97,6.610386418423846e-192,2.839140923751356e-195,9.732889266520547e-44,5.538924575560967e-49
3.975605546545546e-20,0.0005360053254522017,0.1557,0.0,0.0015774636725682978,0.6423999999998088,0.2019,3.1057454849089394e-162,2.411813968337991e-128,8.77326739607569e-48,6.518061246860046e-166,1.0039245401013478e-94,1.3739404358925264e-132,9.269533417401861e-14,1.3183386902080385e-91,2.1468075556610863e-112,2.412484152175244e-128,3.8020718506430214e-77,1.0496925649044671e-161,8.554324507719876e-61,3.7327467132407996e-156,2.9240251953893722e-170,3.4168756726401914e-61,1.661390650549027e-79,2.3425782732174507e-175,3.743030899759155e-96,1.4483645965933646e-13,1.6017688725497193e-179,1.3988271852023447e-79,1.318287528046708e-91,1.308503950360953e-108,5.116216133023273e-96,3.663469259178682e-189,3.147047696217777e-192,3.8932238361827786e-43,1.1077999588566975e-48
7.951265016423745e-20,0.0005360053254522017,0.1557,0.0,0.0015774636723307628,0.6423999999996176,0.2019,4.869735509715045e-160,7.129151356699734e-126,1.7546653788815736e-47,3.8529592537049375e-163,3.7135418118221094e-93,1.0155359727677536e-130,1.8539192558876593e-13,2.433752990163655e-90,1.5867938971547963e-110,7.13113237096722e-126,3.041693703170291e-76,3.101409146239592e-159,3.4217647661656725e-60,5.5155848852234244e-154,8.639290006040732e-168,1.3667641723407443e-60,1.5391995546119207e-78,6.910409891216541e-173,1.3845702577561484e-94,2.896748837821768e-13,1.856534989713294e-176,1.1190913665680605e-78,2.4335637381640468e-90,9.658729606866037e-107,1.892519996084355e-94,2.161149019652823e-186,3.713232728418085e-189,1.5573031602808723e-42,2.2156150877580156e-48
1.5902583956180146e-19,0.0005360053254522017,0.1557,0.0,0.0015774636718556927,0.6423999999992352,0.2019,8.810554206666085e-158,2.313910624196151e-123,3.509342657428267e-47,2.5007339188437313e-160,1.5089300329210192e-91,8.242789137621429e-129,3.7078510830648407e-13,4.932162964560092e-89,1.2879511747485761e-108,2.3145536014323147e-123,2.4333698003772697e-75,1.0060049299318304e-156,1.3687131165758127e-59,8.948166604142948e-152,2.802328854049275e-165,5.467084494993159e-60,1.5674752778881415e-77,2.23664636273844e-170,5.626025466775193e-93,5.793517319278022e-13,2.3857400299971468e-173,8.952992330913758e-78,4.931393963056936e-89,7.825321689310624e-105,7.690015031553876e-93,1.3987591514696008e-183,4.807003845197684e-186,6.229239891210297e-42,4.431246355970329e-48
3.180522183569295e-19,0.0005360053254522017,0.1557,0.0,0.0015774636709055526,0.6423999999984705,0.2019,1.934887942332524e-155,8.426398857053992e-121,7.018697214516397e-47,1.8210424393176414e-157,6.88031731774441e-90,7.506799154977729e-127,7.415714732948138e-13,1.1214246965485458e-87,1.1729513660030865e-106,8.428740332070925e-121,1.946702892846289e-74,3.660978335292537e-154,5.474870368366973e-59,1.6287222258970265e-149,1.0198026792318686e-162,2.1868393582853506e-59,1.791749150288161e-76,8.119670410733961e-168,2.5653557138811214e-91,1.1587054278188316e-12,3.456854267783602e-170,7.162727102913605e-77,1.1210740471319538e-87,7.112104952003168e-103,3.5064941659131403e-91,1.015409446224491e-180,6.979749128382088e-183,2.4917014052113557e-41,8.86251697570733e-48
6.361049759471854e-19,0.0005360053254522017,0.1557,0.0,0.0015774636690052725,0.6423999999969411,0.2019,5.297346527310744e-153,3.43853962548191e-118,1.403740632867161e-46,1.4859966245535505e-154,3.514771373885919e-88,7.660464531063562e-125,1.4831442014830473e-12,2.8580388587423407e-86,1.1969618646856909e-104,3.439495098763558e-118,1.5573687135114683e-73,1.4930026433205217e-151,2.1899573005887688e-58,3.3220736314843587e-147,4.158910430933738e-160,8.747368546927343e-59,2.2938019279059764e-75,3.304214469285213e-165,1.310514861031841e-89,2.3174128180000066e-12,5.627050133887879e-167,5.730680863589108e-76,2.8562475619740675e-86,7.244646750820451e-101,1.7912967682659782e-89,8.262976977931563e-178,1.1360505309223957e-179,9.96681650791175e-41,1.7725122881820098e-47
1.2722104911276975e-18,0.0005360053254522017,0.1557,0.0,0.0015774636652047121,0.6423999999938821,0.2019,1.786366350335104e-150,1.536295637073658e-115,2.807482455689788e-46,1.3277074276612392e-151,1.9650432371112882e-86,8.558312605900341e-123,2.9662896507058085e-12,7.979911530075426e-85,1.3372522938544622e-102,1.5367225244443325e-115,1.2459089848945036e-72,6.667385124181228e-149,8.759936689454307e-58,7.419367301997228e-145,1.857267825615124e-157,3.49894963608728e-58,3.2116066728763545e-74,1.4733096779893714e-162,7.326914086804084e-88,4.634827591958814e-12,1.0042096879377428e-163,4.585329780922804e-75,7.969896625381929e-85,8.083289336505634e-99,1.0014904693418107e-87,7.367944331176497e-175,2.026097187064608e-176,3.986728772260734e-40,3.545085202771363e-47
2.5444215214887217e-18,0.0005360053254522017,0.1557,0.0,0.001577463657603592,0.6423999999877641,0.2019,7.100633213843017e-148,7.291411896652434e-113,5.614966101301376e-46,1.2602034714760436e-148,1.1665559150922326e-84,1.0155984025789213e-120,5.932580520536508e-12,2.368975919160818e-83,1.5868914153838855e-100,7.293437890551217e-113,9.96769454175656e-72,3.163281132367987e-146,3.504138874495231e-57,1.760258171954932e-142,8.811641017684835e-155,1.3995802935446362e-57,4.7715404538306574e-73,6.983461478839095e-160,4.349677818754035e-86,9.269657114262277e-12,1.9050423174989057e-160,3.669514528836963e-74,2.363030491903375e-83,9.584611076450712e-97,5.945427257346394e-86,6.984363149019371e-172,3.8413385217080306e-173,1.5946919360690433e-39,7.090644899105577e-47
5.088843582210769e-18,0.0005360053254522017,0.1557,0.0,0.0015774636424013514,0.6423999999755281,0.2019,3.152832840470128e-145,3.585767461756817e-110,1.1229933392389891e-45,1.239438986174676e-145,7.173757273474397e-83,1.2487183327114786e-118,1.1865162145738575e-11,7.297747508447679e-82,1.951145609599003e-98,3.5867637490802864e-110,7.97549794364324e-71,1.5551221436313745e-143,1.4019167214571343e-56,4.327181763522348e-140,4.331951190325443e-152,5.598322017568776e-57,7.34004515451385e-72,5.3297999351939095e-157,2.674851233484654e-84,1.853931605641257e-11,3.746446185571036e-157,2.93761057364168e-73,7.26118582958523e-82,1.1779372666698662e-94,3.6561678861269363e-84,1.065685426101633e-168,1.1724899164805836e-169,6.378768545369323e-39,1.4185075229870198e-46
