Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(48)
0.0,0.002724645380668153,0.1557,0.0,0.008018631355306373,0.6424,0.2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.770429906363046e-25,0.002724645380668153,0.1557,0.0,0.00801863135530637,0.6424,0.2019,0.0,0.0,3.3104992607231367e-53,0.0,-1.3844129565250824e-119,-1.2905684579616696e-162,1.3476342210658353e-18,0.0,0.0,0.0,1.0822658413018798e-92,0.0,8.997332163075999e-72,0.0,0.0,2.8116663009612515e-71,4.072066587995106e-95,0.0,-5.3695093496035096e-121,2.1056784704153683e-18
1.6157203737816529e-24,0.002724645380668153,0.1557,0.0,0.008018631355306362,0.6424,0.2019,0.0,0.0,9.269397930024783e-53,0.0,1.3678990180354456e-118,2.166256248804471e-161,3.773375818984336e-18,0.0,0.0,0.0,1.2848660067935893e-91,0.0,5.434388626497897e-71,0.0,0.0,1.6982464457805952e-70,6.153734658740625e-94,0.0,5.305459279471633e-120,5.895899717163028e-18
3.69307514007235e-24,0.002724645380668153,0.1557,0.0,0.00801863135530635,0.6424,0.2019,0.0,0.0,2.1187195268628072e-52,0.0,7.544640862038202e-117,2.553620365862068e-159,8.624859014821323e-18,0.0,0.0,0.0,1.2614890646214642e-90,0.0,2.6164241930224908e-70,0.0,0.0,8.176325603195305e-70,6.619969137821667e-93,0.0,2.9262236717610976e-118,1.3476342210658326e-17
7.847784672653743e-24,0.002724645380668153,0.1557,0.0,0.008018631355306326,0.6424,0.2019,0.0,0.0,4.502278994583466e-52,0.0,2.9693647147617637e-115,2.018555168534658e-157,1.8327825406495236e-17,0.0,0.0,0.0,1.1157727917485712e-89,0.0,1.1426611847106416e-69,0.0,0.0,3.570816202220773e-69,6.085006768493532e-92,0.0,1.1516817668730231e-116,2.863722719764884e-17
1.6157203737816527e-23,0.002724645380668153,0.1557,0.0,0.008018631355306276,0.6424,0.2019,0.0,0.0,9.269397930024781e-52,0.0,1.0491824379682332e-113,1.4285948899461868e-155,3.7733758189842813e-17,0.0,0.0,0.0,9.37874261818721e-89,0.0,4.770385512862801e-69,0.0,0.0,1.4907454727696406e-68,5.206047605297378e-91,0.0,4.0693023592676535e-115,5.895899717162954e-17
3.27760418681421e-23,0.002724645380668153,0.1557,0.0,0.008018631355306177,0.6423999999999999,0.2019,0.0,0.0,1.8803635800907412e-51,0.0,3.525075847446418e-112,9.606894650003496e-154,7.654562375653702e-17,0.0,0.0,0.0,7.689259838151638e-88,0.0,1.9488581358508353e-68,0.0,0.0,6.090181674533982e-68,4.304785330557321e-90,0.0,1.3672168865488714e-113,1.1960253711958962e-16
6.601371812879325e-23,0.002724645380668153,0.1557,0.0,0.008018631355305977,0.6423999999999997,0.2019,0.0,0.0,3.787211154267267e-51,0.0,1.1557402193010532e-110,6.301873613302753e-152,1.5416935488992155e-16,0.0,0.0,0.0,6.226961974458681e-87,0.0,7.877596180716218e-68,0.0,0.0,2.461748806473917e-67,3.5011077071982e-89,0.0,4.482591616962017e-112,2.4088961701550463e-16
1.3248907065009555e-22,0.002724645380668153,0.1557,0.0,0.00801863135530558,0.6423999999999994,0.2019,0.0,0.0,7.600906302620317e-51,0.0,3.744168421431474e-109,4.0839184980307e-150,3.094168171566752e-16,0.0,0.0,0.0,5.012000730492049e-86,0.0,3.167546777339033e-67,0.0,0.0,9.898583679185274e-67,2.824621539253535e-88,0.0,1.4521929494286605e-110,4.834637768073135e-16
2.654397756927001e-22,0.002724645380668153,0.1557,0.0,0.008018631355304784,0.6423999999999987,0.2019,0.0,0.0,1.5228296599326406e-50,0.0,1.2060505759801895e-107,2.631218638018571e-148,6.199117416901204e-16,0.0,0.0,0.0,4.0218149414381796e-85,0.0,1.270327929704979e-66,0.0,0.0,3.969774780328699e-66,2.270257313667814e-87,0.0,4.677722650155503e-109,9.68612096390847e-16
