Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(50),CH2O2X(51),CH3OX(46),CH3X(52),CH4(41),CH4X(238),CH3O2X(49),CH4O2(171),SX(188),SX(53),C2H4O(231),CH2OX(169),CHOX(168),SX(54),SX(55),SX(262),SX(259),SX(436),C2HOX(464),C2H6O(236),SX(357),OCCO(227),SX(387),SX(190),SX(495),SX(318),SX(533),SX(213),S(309),C2H4O3(79),SX(386),SX(390),SX(718),SX(572),S(233),SX(1093),SX(1139)
0.0,0.0027932438568483804,0.0915567593028733,0.0,0.008220516670704782,0.4515426283560999,0.0,0.4569006123410269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.348612044184602e-24,0.0027932438568483804,0.0915567593028733,0.0,0.008220516670704777,0.4515426283560999,1.516421331646028e-62,0.4569006123410269,3.107386863345076e-83,3.9800554471940125e-96,1.4782872944146016e-47,5.231210090493268e-130,-2.195208990777665e-149,3.9036224049187295e-18,1.6056163259608327e-47,2.9040481170156435e-58,5.962179674617853e-73,1.6056163259898715e-47,1.6783974860114748e-25,2.1697292622777876e-63,1.803563484519572e-47,1.6769107080391403e-41,2.3981042420245196e-78,-5.794047425817507e-106,2.4079014661423982e-88,-1.3783349309418987e-115,1.0831381108185684e-19,7.421259608646847e-67,-4.808841023372988e-110,-6.970350369506013e-122,1.1011274128685096e-147,3.829594092129939e-131,2.6527209651173924e-88,-2.7017588558940125e-113,7.290229024697633e-164,5.3979552277254055e-126,4.500705816630716e-190,1.7204396437751275e-98,5.0016518589143085e-96,2.816983982794355e-144,-1.0400075350862241e-156,3.0455596263319744e-181,-5.02530817259617e-110,1.5619695300215092e-191,4.0054195486505293e-202,2.2245801808337292e-195,-7.994409244958173e-185,-3.2998271742885044e-149,-5.1411381620466696e-167,-2.7267187354254344e-145,-1.0625451580741948e-169,4.233624685396769e-172,-1.5060973216473007e-166,1.6654350330606028e-179,6.763860580039124e-227,1.363324332376896e-161,-7.594246805786623e-148,1.845472510671075e-230,4.378918657018498e-245,-3.7945266285132637e-163,1.0434882588433703e-167,1.1132384497514724e-149,-7.441137043561155e-182
6.5761137237168864e-24,0.0027932438568483804,0.0915567593028733,0.0,0.008220516670704772,0.4515426283560999,1.8002954049589535e-61,0.4569006123410269,1.8653912933667581e-81,2.418872321607067e-94,4.1392044243608853e-47,8.305406878466983e-128,1.4593562731303347e-147,1.0930142733772435e-17,9.697922608803424e-47,3.4476859244759247e-57,1.8746047479794735e-71,9.697922609148171e-47,4.699512960832126e-25,2.575898077773648e-62,1.0893523442962144e-46,1.0128540676556314e-40,7.540023600077138e-77,3.0025848108819e-104,3.638820708957796e-87,1.3618831396924212e-114,3.03278671029199e-19,4.4824424180267213e-66,2.492032265354259e-108,6.432197480916126e-120,3.10012764650324e-145,6.039629532943517e-129,4.0087919380488524e-87,2.6695106928465404e-112,5.3623874054128466e-161,1.4454342472915275e-124,1.172666606306433e-186,1.0466214918115289e-96,1.572599374047895e-94,5.409248385966021e-142,6.9138816705206485e-155,4.0353808559315886e-178,4.96532614710425e-109,3.726872546892322e-188,1.7206542448553704e-198,-1.010815440395546e-192,-1.9582796730885688e-182,-2.4662760150782854e-147,-6.967845826581286e-165,8.134172897049489e-144,-1.4400801168693098e-167,5.7038594713405e-169,-1.1258764698310618e-164,1.24084983789535e-177,-1.891599737348563e-223,1.0028043955335454e-158,2.4448824282809544e-145,1.5795637520242386e-227,-2.2004995891300285e-241,2.0341877898399094e-161,1.3826272056879154e-164,8.1885163275092e-147,2.757843994369398e-178
1.5031117082781454e-23,0.0027932438568483804,0.0915567593028733,0.0,0.008220516670704758,0.4515426283560999,1.7675407042558543e-60,0.4569006123410269,8.41015845047245e-80,1.0918661293130768e-92,9.461038684253453e-47,3.9659755144075854e-125,2.8550158773263883e-145,2.4983183391479794e-17,4.6691322758940855e-46,3.3849584851259514e-56,4.182140075733511e-70,4.6691322762325615e-46,1.0741743910473416e-24,2.5290296874419763e-61,5.2447626076788045e-46,4.876456338977677e-40,1.6821377876272858e-75,3.151334898600938e-102,3.91447726905303e-86,7.511396164279931e-113,6.932083909238826e-19,2.158106567423178e-65,2.6154892295611313e-106,1.3712341112050384e-117,2.9952226076456848e-142,2.885419619462044e-126,4.3124754365650654e-86,1.472354844175801e-110,7.06911331947762e-158,6.062947996919755e-123,6.074333694408624e-183,4.724941754459397e-95,3.5083826952795016e-93,2.5606257274225342e-139,1.3525992457567474e-152,1.0635507727611625e-174,2.7386000082296324e-107,1.964032170508823e-184,1.8132920857218317e-194,1.7392828744095038e-189,1.4638330195320948e-179,4.680864916797048e-145,2.618439460152988e-162,1.0493799577781712e-141,5.411661936329646e-165,1.4670605988734023e-165,2.1377931057485862e-162,8.287465512173965e-175,7.943638117507596e-220,1.3219742176209371e-155,1.2767578651998649e-142,5.366150288115747e-224,1.8495190173451326e-237,6.15786871291964e-159,3.644002012899608e-161,1.079473478157759e-143,1.6627141479227156e-174
3.194112380091059e-23,0.0027932438568483804,0.0915567593028733,0.0,0.008220516670704728,0.4515426283560999,1.5633697362612012e-59,0.4569006123410269,3.1750702702445503e-78,4.122419077980005e-91,2.0104707204038587e-46,1.3467103185932877e-122,4.4424542891127595e-143,5.308926470689432e-17,2.0391327339702404e-45,2.9939574466489022e-55,7.832685517397085e-69,2.0391327342696185e-45,2.2826205809755946e-24,2.2368971418134127e-60,2.2905256198589385e-45,2.1296765992095594e-39,3.1504579063152666e-74,2.516006566842614e-100,3.5980790121876535e-85,2.9562257857609223e-111,1.4730678307132473e-18,9.425082390122037e-65,2.0881906537236533e-104,2.193011392376791e-115,2.036296380554537e-139,9.799091757129938e-124,3.963907900715824e-85,5.794679526734657e-109,5.278807945593484e-155,2.216842778304187e-121,1.8207277014094084e-179,1.7840470132732397e-93,6.570812508539363e-92,8.654638424807222e-137,2.1046679174243776e-150,1.588858354612575e-171,1.0778182622974303e-105,5.869059153909489e-181,1.0837998983999122e-190,2.384220565076541e-186,9.457859401481473e-177,7.495656011350827e-143,8.434523624683658e-160,9.006639551970136e-140,1.7432058730167088e-162,2.1917725744558433e-162,3.426401868368885e-160,3.2565340178571886e-172,2.4182635911303748e-216,9.871744436694952e-153,4.50448326226448e-140,1.7287444794839104e-220,1.12642770037455e-233,2.218776294030344e-156,5.443842030493937e-158,8.0608881422436e-141,5.2776701020678825e-171
6.576113723716886e-23,0.0027932438568483804,0.0915567593028733,0.0,0.008220516670704671,0.4515426283560998,1.3141064636031607e-58,0.4569006123410269,1.1015610912039666e-76,1.4302098792459444e-89,4.139204424360885e-46,3.951699067167578e-120,6.245421879886086e-141,1.0930142733772256e-16,8.512977760244179e-45,2.51660163337363e-54,1.3529016385506311e-67,8.512977762760629e-45,4.699512960832077e-24,1.8802464670005866e-59,9.562493545594493e-45,8.890980574022178e-39,5.441632555053642e-73,1.792184132473665e-98,3.078232342037862e-84,1.0445012421457059e-109,3.032786710291965e-18,3.9348957231611935e-64,1.4874453083852133e-102,3.1266161120154975e-113,1.1955960975070594e-136,2.875461982906694e-121,3.391206664240364e-84,2.047390965587493e-107,3.2345866416483114e-152,7.563528079218678e-120,4.47021750919621e-176,6.189686374930691e-92,1.1349444564643854e-90,2.5340598762038446e-134,2.9588462155969012e-148,1.9474300654165118e-168,3.8081750020526743e-104,1.4388217745495327e-177,5.314146598456597e-187,2.7881166440407176e-183,5.372496618151339e-174,1.063796755802892e-140,2.3950872678557625e-157,6.620173003242375e-138,4.950048606770404e-160,2.6863588113057944e-159,4.871476903098394e-158,1.0195553291734749e-169,5.90167849942343e-213,6.048905942878579e-150,1.3439913470916461e-137,4.394112693011121e-217,5.498300173385632e-230,1.7398742312516584e-153,6.672400490460928e-155,4.939304739106942e-138,1.3317097450719136e-167
1.334011641096854e-22,0.0027932438568483804,0.0915567593028733,0.0,0.008220516670704555,0.45154262835609976,1.0773838741295325e-57,0.4569006123410269,3.668650217545634e-75,4.763112653096003e-88,8.396671832274942e-46,1.0818771996111607e-117,8.369873717389312e-139,2.217257525993759e-16,3.4778291866840676e-44,2.0632620657050525e-53,2.247866308632908e-66,3.477829188747207e-44,9.533297720544955e-24,1.5415395695237235e-58,3.906590608244161e-44,3.632255670039961e-38,9.041353828314479e-72,1.2090733776326971e-96,2.5451420185174767e-83,3.5090874677807206e-108,6.152224469449353e-18,1.6077139950292202e-63,1.0034853556554622e-100,4.2203370475144874e-111,6.548027371475483e-134,7.872354489417684e-119,2.803915250440826e-83,6.878377636080984e-106,1.8080796039594207e-149,2.4975185362524175e-118,1.0003855817975194e-172,2.0614238491634585e-90,1.885727189604793e-89,6.930373276755391e-132,3.965331670099778e-146,2.177333508528869e-165,1.2793875809281821e-102,3.2174895822777316e-174,2.3767429103053245e-183,3.0471845103432757e-180,2.8946045947989134e-171,1.4324747803430675e-138,6.451531793372539e-155,4.5321646456574446e-136,1.3333708710292543e-157,3.0035161597515777e-156,6.583115415640284e-156,2.8778210520910183e-167,1.316531124318439e-209,3.381236838721688e-147,3.708241720631943e-135,9.996410709266696e-214,2.45315590894298e-226,1.8141457767547659e-150,7.4601059740748016e-152,2.760988387205042e-135,3.0202855000305985e-164
2.686812178547185e-22,0.0027932438568483804,0.0915567593028733,0.0,0.008220516670704324,0.45154262835609965,8.724933948180599e-57,0.4569006123410269,1.1975080732440474e-73,1.5547456873226096e-86,1.691160664810315e-45,2.863374314037471e-115,1.0959740540187721e-136,4.465744031226698e-16,1.4057941629622435e-43,1.6708831144896938e-52,3.6645894211855144e-65,1.4057941646330273e-43,1.9200867239970357e-23,1.2483787799982707e-57,1.5791063673893793e-43,1.4682158166013162e-37,1.473968850219877e-70,7.943118498593967e-95,2.0696672060791143e-82,1.1503275427448376e-106,1.2391099987763945e-17,6.501574803805592e-63,6.592489186276116e-99,5.546300485703774e-109,3.466503843700571e-131,2.0835575988365808e-116,2.2800973169412106e-82,2.254827595215938e-104,9.668122122197882e-147,8.117190948552699e-117,2.140644730463988e-169,6.728831104986235e-89,3.0742112545521146e-88,1.8333000956113802e-129,5.192313256629876e-144,2.328614406831101e-162,4.194009940013741e-101,6.882220728304372e-171,1.0167825047851765e-179,3.2226736384915687e-177,1.5199765174714706e-168,1.8802323671892222e-136,1.693789536713931e-152,2.9986180813641234e-134,3.5006409365115315e-155,3.212222937939337e-153,8.702112101543762e-154,7.73038044802778e-165,2.812596287685175e-206,1.80800728600798e-144,9.851436010323072e-133,2.156183057561487e-210,1.0481829387009982e-222,1.923032189628988e-147,7.97842619016738e-149,1.4763494283065284e-132,6.5056449282437095e-161
5.392413253447847e-22,0.0027932438568483804,0.0915567593028733,0.0,0.008220516670703863,0.45154262835609943,7.022585901397123e-56,0.4569006123410269,3.870138764519496e-72,5.0246481306556876e-85,3.3941476279761e-45,7.45279806793128e-113,1.4187985045076718e-134,8.962717041692072e-16,5.652636500197243e-43,1.344872094088236e-51,5.918321723052534e-64,5.652636513645163e-43,3.8536006278819754e-23,1.0048040426154473e-56,6.34951711113523e-43,5.903631224072512e-37,2.3804635792945843e-69,5.15025612690203e-93,1.669261556785169e-81,3.72552792907699e-105,2.4868851024392383e-17,2.618992676129536e-62,4.2745186888489313e-97,7.193090347515039e-107,1.8046312098779288e-128,5.4230913066505065e-114,1.8389810907843896e-81,7.302635892137322e-103,5.058107700043593e-144,2.617652295248454e-115,4.480716584357562e-166,2.174642344845325e-87,4.964859398351051e-87,4.770502693212858e-127,6.721734201738174e-142,2.436594588510881e-159,1.3583001859530512e-99,1.4402861213109658e-167,4.255792875429577e-176,3.3534665772233917e-174,7.880840568530869e-166,2.43699951682206e-134,4.390909936762378e-150,1.9510651280303616e-132,9.074916770939163e-153,3.3611880562098286e-150,1.1437777207228436e-151,2.026813479415386e-162,5.882441264305476e-203,9.459019678261041e-142,2.56887261952521e-130,4.53101066889499e-207,4.384500734771365e-219,2.0099810561705176e-144,8.348378845912615e-146,7.723872652624742e-130,1.3662093343917297e-157
1.080361540324917e-21,0.0027932438568483804,0.0915567593028733,0.0,0.008220516670702938,0.45154262835609893,5.635182931381903e-55,0.4569006123410269,1.2445785761861685e-70,1.6158486268878657e-83,6.800121554309995e-45,1.9237683296893497e-110,1.8263317163164047e-132,1.795666306262078e-15,2.2669600569254132e-42,1.0791751584221028e-50,9.513529380379632e-63,2.266960067716521e-42,7.720628435651288e-23,8.062923080019204e-56,2.5464402379521428e-42,2.3676201672100895e-36,3.8265255157042066e-68,3.317663774777459e-91,1.3408416225754046e-80,1.1993346912996517e-103,4.982435309764629e-17,1.0579442645633366e-61,2.7535361348138575e-95,9.267686255875057e-105,9.316754680441314e-126,1.3998463751717647e-111,1.4771696242217946e-80,2.3508895179338325e-101,2.6177809904735587e-141,8.408833179786668e-114,9.276866934081958e-163,6.993326785748046e-86,7.980866528428282e-86,1.2312393248729538e-124,8.652473428187359e-140,2.52211328213282e-156,4.372686377095373e-98,2.9816890226059732e-164,1.7620782095817825e-172,3.4615854105682393e-171,4.0604072558157504e-163,3.138893481554245e-132,1.131139785712811e-147,1.258999051343989e-130,2.3377840947500194e-150,3.4791550946276974e-147,1.5141185099058422e-149,5.25075215187336e-160,1.2174035658027663e-199,4.8954360537310525e-139,6.637027340873506e-128,9.39930962286545e-204,1.8147990886997605e-215,2.0802333992646072e-141,8.641356190331108e-143,3.9974251586562794e-127,2.8332237211242997e-154
