Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(48),CH2O2X(49),CH3OX(44),CH3X(50),CH4(39),CH4X(236),CH3O2X(47),CH4O2(169),H(23),HCO(31),OCHCO(260),SX(257),CH2OX(167),CHOX(166),SX(186)
0.0,0.0005485282325552088,0.0915567593028733,0.0,0.0016143185884099792,0.4515426283560999,0.0,0.4569006123410269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0152463248469096e-24,0.0005485282325552088,0.0915567593028733,0.0,0.0016143185884099748,0.4515426283560999,2.1610435770904228e-85,0.4569006123410269,1.0919876856268312e-83,2.3312040844182504e-96,2.227913453005918e-47,2.406947138740182e-130,4.3805703828204574e-177,1.683194012160238e-18,2.6617217835340543e-48,1.066803040628676e-58,4.616899130702071e-73,2.6617217836407334e-48,7.010025993006158e-26,7.182808302823392e-64,1.458796320563404e-47,1.4538232825024301e-41,1.7037505698616626e-78,-3.7995823674126125e-106,3.144615222658309e-88,-1.6621886301435705e-115,2.6299906440003774e-18,2.7157352287657758e-65,-2.9478338465436194e-110,-1.8708223219689017e-122,2.802505445976086e-148,2.2494066160821887e-131,3.4660332531634356e-88,-3.363610426375425e-113,9.70791739242309e-52,2.09664652832992e-94,8.59520147628636e-197,-6.213243224399143e-110,4.864003258211775e-99,6.051120420949509e-97,1.7041977784816368e-164
2.842689709571347e-24,0.0005485282325552088,0.0915567593028733,0.0,0.001614318588409967,0.4515426283560999,1.305270320562616e-84,0.4569006123410269,6.524578096009187e-82,1.3792592880863285e-94,6.238157668416571e-47,5.341282958147977e-128,2.963302368453963e-174,4.712943234048638e-18,1.607679957254559e-47,1.2665085698060178e-57,1.4516269328400961e-71,1.607679957381209e-47,1.962807278041718e-25,8.527401684920906e-63,8.811129774966034e-47,8.781092626314604e-41,5.356864515719115e-77,1.9690153490629602e-104,4.752142525101102e-87,1.642348733377638e-114,7.363973803201031e-18,1.640304090377359e-64,1.527623186709742e-108,1.7263836105711456e-120,7.889820788711713e-146,3.5475254857030895e-129,5.23786945586394e-87,3.323462349067962e-112,5.86356900736233e-51,4.69009953182112e-93,1.1179952845466853e-194,6.13908190374806e-109,2.958516191997738e-97,1.9025690785569056e-95,1.2535365746664454e-161
6.497576479020222e-24,0.0005485282325552088,0.0915567593028733,0.0,0.0016143185884099514,0.4515426283560999,6.2843147221789525e-84,0.4569006123410269,2.9402368188876738e-80,6.205832450637641e-93,1.4258646099237876e-46,2.4982928900241875e-125,9.51622016495421e-171,1.0772441677825318e-17,7.740286946516881e-47,1.2434656241142407e-56,3.2384998317290334e-70,7.740286947760339e-47,4.486416635523899e-25,8.372238857730327e-62,4.242179698342984e-46,4.227718105516953e-40,1.1950870059152618e-75,2.0665617062593567e-102,5.112138074956016e-86,9.058289685695912e-113,1.6831940121602227e-17,7.897358368259777e-64,1.6033026743450803e-106,3.680353572134688e-118,7.623268453205739e-143,1.6948224371596182e-126,5.6346609487316475e-86,1.83303850821968e-110,2.823053209353757e-50,9.266829589080408e-92,2.476875703574817e-192,3.385978943326693e-107,1.3355717228745272e-95,4.2445269544373484e-94,1.652508748920186e-158
1.3807350017917973e-23,0.0005485282325552088,0.0915567593028733,0.0,0.0016143185884099204,0.4515426283560999,2.7445253429048383e-83,0.4569006123410269,1.1099665407523815e-78,2.338995844605576e-91,3.0299622960880488e-46,8.438724343512411e-123,1.4823388887743334e-167,2.2891438565378217e-17,3.380386665088095e-46,1.0998312627225269e-55,6.065351773522797e-69,3.380386666187919e-46,9.533635350488162e-25,7.405144127545073e-61,1.8526713251982804e-45,1.846355568777968e-39,2.238265698015955e-74,1.649930267192915e-100,4.6989356329603745e-85,3.565029585946745e-111,3.576787275840418e-17,3.448984365564807e-63,1.2800670806605617e-104,5.885980561127128e-116,5.182675459560666e-140,5.755738432525349e-124,5.179224188963865e-85,7.214205709968122e-109,1.2329009246562693e-49,1.648981332798941e-90,4.0939860548111986e-190,1.3326042254326302e-105,5.042826887125019e-94,7.949529236061335e-93,1.233998654801278e-155
2.8426897095713473e-23,0.0005485282325552088,0.0915567593028733,0.0,0.0016143185884098584,0.4515426283560998,1.1457853045733426e-82,0.4569006123410269,3.850903731159395e-77,8.10714428113702e-90,6.238157668416571e-46,2.4731893046900036e-120,1.8573254657141712e-164,4.712943234048215e-17,1.411244889629616e-45,9.244744461204569e-55,1.0476386844208489e-67,1.4112448905540843e-45,1.9628072780416284e-24,6.224467215468379e-60,7.734538074371976e-45,7.708171043826814e-39,3.8660473714853786e-73,1.175266746946846e-98,4.020038360576787e-84,1.2596053564318875e-109,7.363973803200631e-17,1.4398839058791545e-62,9.118083988515112e-103,8.391749251490919e-114,3.0429715392479187e-137,1.6889735808327328e-121,4.43093535300242e-84,2.5489415851658223e-107,5.147117500087453e-49,2.7812467980430732e-89,5.924351234106307e-188,4.708391276686332e-104,1.7495874611529737e-92,1.3730834851585554e-91,7.561319937338474e-153
5.766599125130447e-23,0.0005485282325552088,0.0915567593028733,0.0,0.0016143185884097341,0.4515426283560997,4.6809068297209424e-82,0.4569006123410269,1.2825080222171451e-75,2.698661263758592e-88,1.2654548413073619e-45,6.768999808750608e-118,2.0998455572663157e-161,9.560541989068255e-17,5.765395852004919e-45,7.579400053217664e-54,1.740667343565485e-66,5.765395859584268e-45,3.981694764027095e-24,5.103193218880459e-59,3.159811167583757e-44,3.149039382830656e-38,6.423495514479023e-72,7.928782081199412e-97,3.323845451456304e-83,4.231747365318962e-108,1.4938346857920352e-16,5.882409237335375e-62,6.151395100155331e-101,1.1327265386895404e-111,1.666571992710635e-134,4.6240217770942096e-119,3.663583065415862e-83,8.563378048766062e-106,2.1027652122906154e-48,4.5682051965965225e-88,8.052958747805479e-186,1.5818226143774382e-102,5.826853295982363e-91,2.2813987483889996e-90,4.2266508686369575e-150
1.1614417956248647e-22,0.0005485282325552088,0.0915567593028733,0.0,0.0016143185884094856,0.4515426283560995,1.8920973818343705e-81,0.4569006123410269,4.186317868223889e-74,8.806645132034305e-87,2.5487329902387776e-45,1.791404104582062e-115,2.2583129476335e-158,1.9255739499105345e-16,2.3304651841286985e-44,6.137994672305401e-53,2.8377270938471886e-65,2.330465190266652e-44,8.019469735997392e-24,4.1326977326132345e-58,1.2772461888592379e-43,1.2728920673476904e-37,1.0471918846661682e-70,5.2088862028381507e-95,2.702895911983135e-82,1.3872254859397354e-106,3.008709296735696e-16,2.377786072408492e-61,4.041215518917518e-99,1.488611396063358e-109,8.822778554300489e-132,1.2238290126286346e-116,2.9791649537972275e-82,2.807194120401318e-104,8.499712725635883e-48,7.405256631731819e-87,1.0619069756170615e-183,5.1854339481125054e-101,1.9019815765445623e-89,3.719255760859423e-89,2.2600651630583124e-147
2.331005561848505e-22,0.0005485282325552088,0.0915567593028733,0.0,0.0016143185884089889,0.4515426283560991,7.608040354890081e-81,0.4569006123410269,1.3529454483363095e-72,2.845793142641136e-85,5.115289288101727e-45,4.6625887211060583e-113,2.3696385116279484e-155,3.8646134519167567e-16,9.370698007795067e-44,4.94039210573346e-52,4.582936843241784e-64,9.370698057198653e-44,1.609501967993544e-23,3.326354470750606e-57,5.1357507009217374e-43,5.118243018975042e-37,1.691217675262581e-69,3.377401294779475e-93,2.179983459056653e-81,4.492761530261899e-105,6.038458518621885e-16,9.561331372574112e-61,2.620292727292313e-97,1.9306051914800345e-107,4.5930610100959235e-129,3.185386684699744e-114,2.4028045407342176e-81,9.091567288491276e-103,3.4176970107444475e-47,1.1925936753715788e-85,1.3795089512105779e-181,1.6793894277387017e-99,6.146875268879307e-88,6.006608009736927e-88,1.1824067931640786e-144
4.670133094295785e-22,0.0005485282325552088,0.0915567593028733,0.0,0.001614318588407995,0.4515426283560983,3.051164460233041e-80,0.4569006123410269,4.350869630294374e-71,9.151060628427662e-84,1.0248401883829545e-44,1.2035347415810565e-110,2.4562270063610026e-152,7.742692455924421e-16,3.758069015834654e-43,3.964353529816684e-51,7.366937147317533e-63,3.758069055477922e-43,3.2246119567801366e-23,2.669189859954761e-56,2.0596656937086464e-42,2.052644369620601e-36,2.718582968713096e-68,2.1756359628407928e-91,1.7510812458771287e-80,1.4463251739516037e-103,1.2097956962389731e-15,3.835096850971266e-60,1.6879259181130478e-95,2.487421005379917e-105,2.3712560629693688e-126,8.222343968498292e-112,1.9300634023078933e-80,2.926788506288993e-101,1.3706493429146957e-46,1.9143768828129496e-84,1.7788546735910112e-179,5.406347924827707e-98,1.9767428647501723e-86,9.655447033681477e-87,6.119446947801786e-142
9.348388159190344e-22,0.0005485282325552088,0.0915567593028733,0.0,0.0016143185884060075,0.4515426283560967,1.2220572630266477e-79,0.4569006123410269,1.3957194768367154e-69,2.935483472909283e-82,2.0514627075316068e-44,3.093805806564729e-108,2.5305127067788196e-149,1.5498850463920621e-15,1.505187804721558e-42,3.176307021041043e-50,1.1814561999597889e-61,1.5051878364844142e-42,6.454831934349246e-23,2.138599904633805e-55,8.249405618234793e-42,8.221284014644383e-36,4.3598669316856073e-67,1.3969364587057998e-89,1.403708325248009e-79,4.642114403946723e-102,2.4216953849907292e-15,1.5369614736439243e-59,1.0837867041528114e-93,3.194338055711368e-103,1.2191292528124576e-123,2.1136377072055973e-109,1.5471849116042618e-79,9.393798422896638e-100,5.489746603406362e-46,3.0679945076904044e-83,2.2853430898340322e-177,1.735217315474524e-96,6.341211424102242e-85,1.5484709268630536e-85,3.1500439124318998e-139
1.8704898288979464e-21,0.0005485282325552088,0.0915567593028733,0.0,0.0016143185884020324,0.4515426283560935,4.891413825295745e-79,0.4569006123410269,4.471816347433557e-68,9.404993578476803e-81,4.1047077458784236e-44,7.936515567254297e-106,2.5991280271362472e-146,3.1011166479836522e-15,6.02467385149251e-42,2.5429769474645603e-49,1.892529823843571e-60,6.024674105788492e-42,1.2915271889471185e-22,1.7121801506466706e-54,3.30191185162786e-41,3.290656134289898e-35,6.983904683235334e-66,8.954915163577044e-88,1.1241050637787081e-78,1.4877004928199414e-100,4.845494762486991e-15,6.1666237052368525e-59,6.947501833740334e-92,4.0954467238821476e-101,6.254893116930589e-121,5.4220996181991455e-107,1.239003074245456e-78,3.01051526058142e-98,2.1973293031593162e-45,4.912788142462056e-82,2.930632354079403e-175,5.5610069862703713e-95,2.0316927046565116e-83,2.4804369580667997e-84,1.6171599555409926e-136
