Time (s),Volume (m^3),Ne,N2,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(52),COX(53)
1.2027595765644991e-20,0.0007926750507772021,0.0,0.0,0.0021560761379946277,0.799999999999921,0.09999999999998475,0.09999999999999994,2.1862215161986543e-55,3.2384018733664495e-49,4.0143238404156845e-45,6.57996008893287e-103,1.9539837100786257e-123,4.984542149313463e-14,3.643791064461064e-44,3.8676318388679765e-38,9.161735961352295e-63,1.526165973832449e-14,7.247303908580535e-17,1.4339124900024708e-36,3.150650538461597e-38,7.055515679871612e-42,3.807580765041214e-61,1.4102750816189982e-81,2.5346328224521596e-79,6.825157283997856e-101,5.4179805972542825e-14,2.5090015519897442e-18
2.405551780955723e-20,0.0007926750507772021,0.0,0.0,0.0021560761378752627,0.7999999999998418,0.09999999999996949,0.09999999999999987,6.996228942212155e-54,6.4768915963878516e-49,8.028756579296961e-45,2.105988647937179e-101,2.5015520920197808e-121,9.969219515917922e-14,4.7497497176406745e-43,3.0942003585906216e-37,1.8058674582174674e-61,3.052373343636792e-14,1.4494800189953686e-16,1.1471662955829774e-35,1.260285778519583e-37,2.8222636459063155e-41,6.061137808642955e-60,1.1284227302036358e-80,2.027770177926766e-78,2.184152510292344e-99,1.0836108170173738e-13,5.018071115994916e-18
4.811136189738171e-20,0.0007926750507772021,0.0,0.0,0.0021560761376365326,0.7999999999996836,0.09999999999993896,0.09999999999999973,2.2388412325621553e-52,1.2953871042427173e-48,1.6057622057186663e-44,6.747110012414847e-100,3.204605157170241e-119,1.9938574246917165e-13,7.167510829310178e-42,2.475394597191542e-36,3.977306875839655e-60,6.104788068086824e-14,2.898978006781704e-16,9.177475559398827e-35,5.041193775725467e-37,1.1289169060816443e-40,9.725418317701969e-59,9.038252780194467e-80,1.622241405079087e-77,6.98946011235638e-98,2.167236331465746e-13,1.0036210091441495e-17
9.622305007303067e-20,0.0007926750507772021,0.0,0.0,0.002156076137159072,0.7999999999993672,0.0999999999998779,0.09999999999999944,7.16434793098252e-51,2.5907829934491903e-48,3.211535301501964e-44,2.1792335519069048e-98,4.127645284030714e-117,3.9877283700076964e-13,1.1295190105604889e-40,1.980323569193256e-35,9.845137776126479e-59,1.2209617456352282e-13,5.797968908410113e-16,7.342038490968329e-34,2.0164872706020385e-36,4.515690302469975e-40,1.569948189901322e-57,7.299986829865661e-79,1.2978027402685259e-76,2.236679495636319e-96,4.334487359820415e-13,2.0072487432079635e-17
1.924464264243286e-19,0.0007926750507772021,0.0,0.0,0.002156076136204151,0.7999999999987344,0.09999999999975578,0.09999999999999885,2.2925870027119604e-49,5.181574771856674e-48,6.423081496361967e-44,7.499122841859707e-97,5.551204453173858e-115,7.975470257104178e-13,1.8003091419672623e-39,1.5842526782994598e-34,2.6893860772174467e-57,2.441927599034477e-13,1.159593041596091e-15,5.873653954422318e-33,8.065965626574096e-36,1.80628048270928e-39,2.558340349637073e-56,6.292441904360309e-78,1.0382452567200548e-75,7.158120197969465e-95,8.668989414361446e-13,4.014503967233614e-17
3.8489317912692445e-19,0.0007926750507772021,0.0,0.0,0.0021560761342943094,0.7999999999974687,0.09999999999951155,0.09999999999999769,7.336186375046761e-48,1.0363158328652944e-47,1.2846173938807216e-43,3.797076112870938e-95,9.949421073387817e-113,1.5950954017155232e-12,2.877690879840014e-38,1.267384734250518e-33,7.869015915328343e-56,4.883859208817607e-13,2.3191772248806545e-15,4.6989323389015414e-32,3.2263871782683396e-35,7.22512926294961e-39,4.242686800071346e-55,8.041595029689779e-77,8.305961822706203e-75,2.292491339628294e-93,1.733799351477029e-12,8.029013438877237e-17
7.697866845321161e-19,0.0007926750507772021,0.0,0.0,0.002156076130474626,0.7999999999949374,0.09999999999902308,0.09999999999999537,2.3475104227356035e-46,2.072632544227185e-47,2.5692359667423497e-43,5.058498442967249e-93,1.099636151774245e-109,3.190192148068972e-12,4.603063793681694e-37,1.0138769120162555e-32,2.342048337257068e-54,9.767722040322427e-13,4.63831311900204e-15,3.7591493983693035e-31,1.2905531518823405e-34,2.8900520585320193e-38,7.266498400515908e-54,2.711721710731289e-75,6.644749528795962e-74,7.387958387984481e-92,3.467600168089509e-12,1.6058028476535693e-16
1.5395736953424995e-18,0.0007926750507772021,0.0,0.0,0.00215607612283526,0.7999999999898747,0.09999999999804615,0.09999999999999074,7.511573524670677e-45,4.145265967285183e-47,5.138474462470947e-43,1.2820970729742633e-90,1.1189163746680269e-106,6.3803856181488196e-12,7.364014847510021e-36,8.110508820938963e-32,7.397170256053199e-53,1.953544615108655e-12,9.276455021090693e-15,3.0073207009538907e-30,5.162193929150276e-34,1.1560200036277355e-37,1.3156748857436748e-52,1.7244066438518703e-73,5.315760843663141e-73,2.5157041805364556e-90,6.935201787437315e-12,3.211604292935256e-16
3.0791477169632663e-18,0.0007926750507772021,0.0,0.0,0.002156076107556529,0.7999999999797494,0.09999999999609228,0.09999999999998146,2.4034061016629594e-43,8.290532825095521e-47,1.0276973054033847e-42,3.9759335060450244e-88,1.3887146874145167e-103,1.2760772467800327e-11,1.1780812075043006e-34,6.487590489536675e-31,2.3551019937765884e-51,3.9070888163634684e-12,1.8552219309744807e-14,2.4058566678403662e-29,2.0648616445143983e-33,4.6240712513194285e-37,2.5947959563034823e-51,1.3378642324738911e-71,4.252549830998605e-72,1.2874725657951595e-88,1.387040497062432e-11,6.423200934510725e-16
6.158295760204799e-18,0.0007926750507772021,0.0,0.0,0.002156076076999072,0.7999999999594986,0.09999999999218455,0.09999999999996291,7.688985338845518e-42,1.6581066918932544e-46,2.0554315833878946e-42,1.3973541355798547e-85,1.9528297451717643e-100,2.5521545805070653e-11,1.884461471477319e-33,5.188759502845539e-30,7.528666777214516e-50,7.8141747352826e-12,3.71016700576803e-14,1.924684791781551e-28,8.259317194465818e-33,1.8496210490297445e-36,5.718765179688078e-50,1.1759385954658515e-69,3.4019851331692697e-71,2.130548297544385e-86,2.7740811114963922e-11,1.284636922180698e-15
9.237443803446332e-18,0.0007926750507772021,0.0,0.0,0.00215607604644162,0.7999999999392478,0.09999999998827684,0.09999999999994436,3.678202488773149e-41,2.4871602186439322e-46,3.0832448541368267e-42,1.1507237702674746e-84,1.2167509240863914e-99,3.828231878030834e-11,7.128472994393144e-33,1.5401962326953038e-29,3.606435562134058e-49,1.1721258170612814e-11,5.564904320893571e-14,5.713906859388409e-28,1.7550858596226488e-32,3.930433662139859e-36,2.484822188788241e-49,7.362965533075229e-69,1.0099635231881235e-70,1.6717465028673617e-85,4.1611217037269156e-11,1.9269512513345614e-15
