Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(48),CH2O2X(49),CH3OX(44),CH3X(50),CH4(39),CH4X(236),CH3O2X(47),CH4O2(169),H(23),HCO(31),OCHCO(260),SX(257),CH2OX(167),CHOX(166),SX(186),C2H6O(234),SX(408),SX(460),C2H4O(229),SX(525),SX(419),SX(631),C2HOX(645)
0.0,0.0005470875304427673,0.1557,0.0,0.0016100786020930642,0.6424,0.2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.844266856425346e-25,0.0005470875304427673,0.1557,0.0,0.0016100786020930595,0.6424,0.2019,-2.0722850133716252e-191,7.235050508211936e-163,9.584380127291394e-52,2.4702915946948253e-204,-4.6467622819491065e-116,-7.932810080274541e-158,1.847782297700339e-18,5.534937859671427e-109,-4.560835767418696e-138,7.20121598162745e-163,6.985162030331014e-90,-1.4387579645865365e-195,3.0687592702177545e-69,-1.3033506961286835e-185,-5.424054490236137e-204,1.1161256320864274e-69,1.497186621178384e-92,1.9005374907712353e-209,-2.2143144683168062e-117,2.8871598401567893e-18,3.135882234923952e-219,1.4971796682713098e-92,5.534937890379957e-109,-2.959946615253863e-134,-3.070853507981705e-117,1.5818641814976301e-227,-1.9420652615124628e-235,8.477124258354995e-52,1.3465204210038375e-52,3.946564322259353e-71,-4.561690198210535e-232,1.6715763701061163e-104,1.431669439406964e-115,-4.9469261786714755e-188,3.246539298074837e-207,1.032053625618957e-202,7.415387075677737e-199,-1.1071809267699437e-185,-2.2114126661459106e-170,-1.4837137444409636e-187,-2.541538230276786e-198,-2.1767731815571912e-209
2.1963947197990973e-24,0.0005470875304427673,0.1557,0.0,0.001610078602093051,0.6424,0.2019,6.053884534088471e-190,3.3681139744243023e-161,2.6836264356415905e-51,2.0946818929808006e-202,4.591337199997324e-115,1.3315461136458593e-156,5.173790433560915e-18,1.5609485240183736e-107,7.655500486741343e-137,3.3523630765310384e-161,8.292784362408906e-89,7.421743447409559e-194,1.8535305992115154e-68,3.8075491928337566e-184,2.797964762813412e-202,6.741398817801992e-69,2.262559657924457e-91,1.5009956467817792e-207,2.187902841471573e-116,8.084047552438977e-18,3.286413130739544e-217,2.2625377968223578e-91,1.5609485209841482e-107,5.487402338341165e-133,3.034225360438708e-116,2.2645868303740953e-225,7.696488575971524e-233,4.683899440234769e-51,3.770257178810746e-52,2.3837248506426174e-70,1.8081807453255484e-229,5.255703416825005e-103,8.245682735761309e-114,2.606715642586549e-186,7.698917735241032e-206,1.5618021357047873e-200,1.2129742125970921e-197,5.681262099417431e-184,6.596994059319847e-169,7.818703985818328e-186,2.3853436537909457e-196,3.6556248246000105e-207
5.0203307881122226e-24,0.0005470875304427673,0.1557,0.0,0.0016100786020930339,0.6424,0.2019,1.4822002255532283e-187,1.779416686139119e-158,6.134003281466494e-51,2.189286200106825e-199,2.5323522016674342e-113,1.5696509109850614e-154,1.182580670528193e-17,3.395438175451998e-106,9.024443979950027e-135,1.7710952900266714e-158,8.141904862553602e-88,3.7120635756175434e-191,8.9239519577931e-68,9.322175464519958e-182,1.3994317043559629e-199,3.2456933381072887e-68,2.433983680940206e-90,1.4658259324530135e-204,1.2067378939749746e-114,1.847782297700323e-17,5.096308576654483e-214,2.4339349099996105e-90,3.395438158716727e-106,5.979908576285442e-131,1.673527110947528e-114,4.394419532692855e-222,3.445468164765276e-229,2.15974920606146e-50,8.617730694424564e-52,1.1476609049099722e-69,8.094462836743984e-226,1.1725185196865906e-101,3.697710226759605e-112,6.879601967359231e-184,4.7429819334166137e-203,9.165819149958893e-198,3.634474561153131e-195,1.4467106260907154e-181,8.510781299464387e-167,2.0634833104926652e-183,1.2748624819477718e-193,3.934468523936586e-204
1.0668202924738473e-23,0.0005470875304427673,0.1557,0.0,0.0016100786020929998,0.6424,0.2019,2.3485298240659693e-185,5.984421120573323e-156,1.3034756973116298e-50,1.4733539909505787e-196,9.966666209627821e-112,1.2407611686623986e-152,2.512983924872339e-17,6.294696874564413e-105,7.133547708353609e-133,5.956435129975225e-156,7.201422646789586e-87,1.1776995824655064e-188,3.897324273176414e-67,1.4770817450167928e-179,4.4398758273821716e-197,1.4174795527497186e-67,2.2372968577349567e-89,5.415319178938304e-202,4.7494001072911155e-113,3.926537382613123e-17,3.6615212087200982e-211,2.2372055151426607e-89,6.294696808698827e-105,4.726779737328237e-129,6.586558589071334e-113,3.249652998823094e-219,5.4120198282737154e-226,9.238955166769783e-50,1.831267772565221e-51,5.012136689237885e-69,1.2714467350407132e-222,2.1959974220676577e-100,1.3911710040116853e-110,1.1833643431010781e-181,1.8377665777926517e-200,3.3469866450286633e-195,6.905688902949192e-193,2.5014072030143057e-179,7.304788853714991e-165,3.5493815780363294e-181,4.3903046632201965e-191,2.7112799972511806e-201
2.196394719799097e-23,0.0005470875304427673,0.1557,0.0,0.0016100786020929317,0.6424,0.2019,3.32680427004999e-183,1.7447784143154165e-153,2.6836264356415906e-50,8.593195413323502e-194,3.5215921236989317e-110,8.781290004407422e-151,5.173790433560407e-17,1.0819411362395737e-103,5.048655032843916e-131,1.7366190031851222e-153,6.053229652891521e-86,3.3377655760158094e-186,1.6270561650693346e-66,2.092337838727735e-177,1.2583229984167097e-194,5.917698101321838e-67,1.9141341970021838e-88,1.6472800156492667e-199,1.6781388813800883e-111,8.084047552438522e-17,2.2050146429240663e-208,1.9139764253743678e-88,1.0819411129668238e-103,3.3488170602869383e-127,2.327274984877337e-111,1.9775929656038386e-216,6.779887908917027e-223,3.818331683471459e-49,3.770257178810759e-51,2.0924684036335676e-68,1.5927987207531748e-219,3.793039440335168e-99,4.817183502082243e-109,1.741415240876563e-179,5.717812664996711e-198,1.0136174200187475e-192,1.0631230644635953e-190,3.6940103924815095e-177,5.369460900667902e-163,5.2231776906609444e-179,1.2927698454521846e-188,1.5971221144340016e-198
4.4555435744495974e-23,0.0005470875304427673,0.1557,0.0,0.0016100786020927954,0.6423999999999999,0.2019,4.4761581752361846e-181,4.761458740670849e-151,5.443927912301513e-50,4.6906768267110897e-191,1.183204601419244e-108,5.905213068735534e-149,1.0495403450935641e-16,1.7933825411734948e-102,3.395102959190023e-129,4.739191902012405e-151,4.96280339017113e-85,8.983338589122422e-184,6.647055329661488e-66,2.815154271355566e-175,3.386679289427634e-192,2.4175727641241453e-66,1.5827748709626648e-87,4.587396913934921e-197,5.63830674902638e-110,1.6399067892088505e-16,1.2271079263616816e-205,1.5825127310313503e-87,1.793382462980382e-102,2.2532510543868524e-125,7.819311261905073e-110,1.1016201957105884e-213,7.660896626576463e-220,1.5521583915670674e-48,7.648235991301903e-51,8.548416184346734e-68,1.7997732581092334e-216,6.302191758860777e-98,1.6027072933428853e-107,2.385738535724445e-177,1.6090552730802327e-195,2.8163994995724183e-190,1.4880141421935147e-188,5.070291233900753e-175,3.676206958029819e-161,7.155738033849489e-177,3.5430800413085665e-186,8.75553955964091e-196
8.973841283750598e-23,0.0005470875304427673,0.1557,0.0,0.0016100786020925226,0.6423999999999996,0.2019,5.87390163062317e-179,1.258325886320406e-148,1.0964530865621352e-49,2.479389022909869e-188,3.8793440199948713e-107,3.87372569251897e-147,2.1138629485682495e-16,2.920528988914467e-101,2.22713345118479e-127,1.2524413578558632e-148,4.0190068547263636e-84,2.3578416020762038e-181,2.6868460415198672e-65,3.694093428171601e-173,8.888959535791776e-190,9.772215649217274e-66,1.287300441466644e-86,1.2243920658296027e-194,1.848617891653104e-108,3.302910857138523e-16,6.598366306602945e-203,1.2868730872090826e-86,2.920528732544614e-101,1.4785042147379278e-123,2.5636985256196663e-108,5.8809843050403504e-211,8.23685010645405e-217,6.258560797450201e-48,1.5404193616284785e-50,3.4554064990282637e-67,1.9350815039271356e-213,1.027416315488865e-96,5.22884101090404e-106,3.1582467359444227e-175,4.316173969279206e-193,7.508447019047641e-188,1.9904867792273726e-186,6.718506410540714e-173,2.43265926960628e-159,9.472774739071938e-175,9.381870754472529e-184,4.637129702473469e-193
1.8010436702352596e-22,0.0005470875304427673,0.1557,0.0,0.001610078602091977,0.6423999999999992,0.2019,7.614642014276079e-177,3.273525812548461e-146,2.2005736772261024e-49,1.2900614060955962e-185,1.2568018318516546e-105,2.5104379855629346e-145,4.2425081555161764e-16,4.715264110299168e-100,1.443334107411236e-125,3.2582172537440837e-146,3.234846362376348e-83,6.1130343625775834e-179,1.080368976116725e-64,4.788500767161091e-171,2.304587171674817e-187,3.929364932783279e-65,1.0385999691606909e-85,3.200870551803753e-192,5.98901882074997e-107,6.628918992996573e-16,3.514816676849187e-200,1.0379097908892791e-85,4.715263279730624e-100,9.583003139153224e-122,8.305685447838494e-107,3.074997252785881e-208,8.64359894789584e-214,2.5134373446983153e-47,3.091610886625531e-50,1.389403755748818e-66,2.0306387107716205e-210,1.6592800928733638e-95,1.6894393178272327e-104,4.1116320698462454e-173,1.1310939586540514e-190,1.9617420114388205e-185,2.604669625870939e-184,8.750890943353052e-171,1.583301327031687e-157,1.2332331336978493e-172,2.442953816724817e-181,2.415010203990841e-190
3.60836275395566e-22,0.0005470875304427673,0.1557,0.0,0.001610078602090886,0.6423999999999983,0.2019,9.814493089280807e-175,8.451831030045848e-144,4.4088148585540324e-49,6.661649558660613e-183,4.0485885910292047e-104,1.6175430789082928e-143,8.499798569406255e-16,7.582183382608083e-99,9.29979194633852e-124,8.412306260800085e-144,2.5957604822970692e-82,1.5756249153715361e-176,4.332762801062112e-64,6.17100190250396e-169,5.940036898149901e-185,1.5758510831872036e-64,8.348150709750145e-85,8.284303607527305e-190,1.9292679536279777e-105,1.3280935264707483e-15,1.8902291607122636e-197,8.337056295682699e-85,7.582180707062517e-99,6.174967790331855e-120,2.6755455690456426e-105,1.5917359920286364e-205,8.964031772551494e-211,1.00738030097064e-46,6.19399393662347e-50,5.572130485926327e-66,2.1059178105269536e-207,2.6672442849121866e-94,5.432288464031569e-103,5.309924881972918e-171,2.930777369405314e-188,5.075644924234278e-183,3.372179713979014e-182,1.1304069211724416e-168,1.0223049290640299e-155,1.5926458485537428e-170,6.310050881218818e-179,1.247594238508852e-187
