Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(49),H2X(48),COX(58),CHOX2(59),SX(51),CH3OX(44),CH2OX2(50),CH3X(53),CH4(39)
0.0,0.0005284065757894736,0.1557,0.0,0.0015551005525484209,0.6424,0.2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2407170301353658e-24,0.0005284065757894736,0.1557,0.0,0.001555100552548418,0.6424,0.2019,-2.997336007747611e-193,6.688181022175147e-163,8.1246283091069925e-53,4.926902252710693e-205,-1.3932035927708738e-116,-5.13152138724752e-159,2.8722807301768648e-18,6.783673786024247e-110,-1.629603028727889e-138,6.715811310237776e-163,8.6376304453636e-92,-1.2398790537059095e-194,4.706289238103029e-71,-7.399765214754868e-185,-2.911428918930339e-203,1.4707153869071993e-81,1.7059448679055593e-93,1.797485004609889e-213,-4.36774593500936e-118,-1.6008160454555604e-210,4.4879386409013604e-29,2.23229583444303e-93,1.6478392146294796e-82,8.89443105061959e-223,1.7059448681243895e-93,1.4707153869002e-70,6.783673786024251e-110,-6.555860402740421e-135
3.4740076843790245e-24,0.0005284065757894736,0.1557,0.0,0.0015551005525484129,0.6424,0.2019,8.761494861340709e-192,3.113503521523842e-161,2.274895926549958e-52,4.177724047035794e-203,1.3765743511827355e-115,8.613336889597534e-158,8.04238604449519e-18,1.913104660561195e-108,2.7353135305236014e-137,3.126366062011044e-161,1.025459486488024e-90,6.395778968036332e-193,2.842598699814213e-70,2.161713720469929e-183,1.5018284074506995e-201,8.883120936919457e-81,2.5780240438184778e-92,8.367709891911824e-212,4.3156126339428035e-117,8.967491554748918e-209,1.2566228194523783e-28,4.99355648741891e-92,1.9563147150065747e-81,1.1244688727020874e-220,2.578024044435616e-92,8.883120936836356e-70,1.9131046605611954e-108,1.2656188447856847e-133
7.940588992866343e-24,0.0005284065757894736,0.1557,0.0,0.0015551005525484024,0.6424,0.2019,2.1482110615601787e-189,1.6448879586847827e-158,5.1997621178284755e-52,4.366369541331562e-200,7.592424801407559e-114,1.0153469228948373e-155,1.83825966731317e-17,4.161420534595683e-107,3.224409090189566e-135,1.6516833381725859e-158,1.0068022047861577e-89,3.1988899873518924e-190,1.3685889104403372e-69,5.292565414365762e-181,7.511491374700879e-199,4.276840345126099e-80,2.773320634740041e-91,4.420725766185459e-209,2.3802538792810178e-115,4.644168504957912e-206,2.872280730176852e-28,9.86642612253839e-91,1.9207213867073385e-80,2.5969255904491893e-217,2.7733206360824505e-91,4.276840345044506e-69,4.161420534595683e-107,1.336359837855147e-131
1.687375160984098e-23,0.0005284065757894736,0.1557,0.0,0.0015551005525483818,0.6424,0.2019,3.4134307727447083e-187,5.531870886692257e-156,1.1049494500385511e-51,2.938436385720007e-197,2.9881158576381925e-112,8.025845229294766e-154,3.9063017930404173e-17,7.714572337961944e-106,2.548745431758157e-133,5.554724213421086e-156,8.90505148676801e-89,1.0148683005450424e-187,5.976987332390609e-69,8.385804614818764e-179,2.383068663212759e-196,1.8678085413721055e-79,2.5491594640684746e-90,1.4867203589683905e-206,9.367856182870052e-114,1.5789480611203596e-203,6.103596551625756e-28,1.7556778086879205e-89,1.698856312798367e-79,3.326980779992986e-214,2.5491594665570765e-90,1.8678085412999364e-68,7.714572337961944e-106,1.0562810771107831e-129
3.474007684379025e-23,0.0005284065757894736,0.1557,0.0,0.0015551005525483404,0.6424,0.2019,4.862511298769998e-185,1.6127704689044878e-153,2.274895926549958e-51,1.7137453539166385e-194,1.05576872463066e-110,5.679933717793553e-152,8.04238604449469e-17,1.3259378755491096e-104,1.8037608130132445e-131,1.6194331642599128e-153,7.485232351509027e-88,2.8761627784614972e-185,2.4952745540420124e-68,1.1878304304250316e-176,6.753677678009188e-194,7.797732981381634e-79,2.1808595884768586e-89,4.334408267242623e-204,3.309874866274001e-112,4.645607657606518e-201,1.256622819452339e-27,2.961207227110991e-88,1.427991090865656e-78,3.7556559185277494e-211,2.180859592754129e-89,7.797732980775003e-68,1.3259378755491096e-104,7.486546192726951e-128
7.04727273116888e-23,0.0005284065757894736,0.1557,0.0,0.0015551005525482578,0.6424,0.2019,6.615673849460467e-183,4.400855352852057e-151,4.6147888795727715e-51,9.353883055683524e-192,3.546941503510884e-109,3.8193128767484414e-150,1.6314554547402362e-16,2.1976447848676996e-103,1.212888607860439e-129,4.419036215586862e-151,6.1368457443648875e-87,7.740345084347519e-183,1.0194010741298885e-67,1.5980475307136603e-174,1.817553450228154e-191,3.1856283566561863e-78,1.803176877897409e-88,1.1827537887174905e-201,1.111979570972805e-110,1.2784251905049026e-198,2.5491491480317982e-27,4.863791721398438e-87,1.170753365626198e-77,4.023931222383265e-208,1.803176884986671e-88,3.185628356158831e-67,2.1976447848676994e-103,5.038102371844587e-126
1.4193802824748588e-22,0.0005284065757894736,0.1557,0.0,0.0015551005525480924,0.6423999999999999,0.2019,8.873696449965652e-181,1.1628395095823864e-148,9.294574785618398e-51,4.943456830901868e-189,1.1627366241936371e-107,2.5050013843606332e-148,3.285889155321418e-16,3.578294816284604e-102,7.955063488675113e-128,1.1676434451379016e-148,4.969776869769607e-86,2.031267102615156e-180,4.12058212984115e-67,2.0966458811085443e-172,4.769731181438553e-189,1.2876819155755917e-77,1.4663134849248905e-87,3.125194366430425e-199,3.6452232754474064e-109,3.417236513526978e-196,5.1342018051904395e-27,7.884415842213925e-86,9.481064191865866e-77,4.21108596600206e-205,1.466313496467916e-87,1.2876819151728197e-66,3.578294816284603e-102,3.305683231537986e-124
2.8486863011908e-22,0.0005284065757894736,0.1557,0.0,0.0015551005525477615,0.6423999999999997,0.2019,1.200141476947225e-178,3.0241380324077117e-146,1.865414659770964e-50,2.5713179672789707e-186,3.765716832601374e-106,1.6228841540263988e-146,6.594756556482373e-16,5.77538221603126e-101,5.153748241673773e-126,3.036631385184333e-146,4.000109035272279e-85,5.264643746766728e-178,1.6568679514299235e-66,2.716916173260932e-170,1.2362202588559502e-186,5.177712348220384e-77,1.1826349371250504e-86,8.127535282552643e-197,1.1805664637470422e-107,9.067781279664376e-194,1.0304307119506622e-26,1.2697608221900596e-84,7.631185132513056e-76,4.358291737434245e-202,1.1826349557555395e-86,5.177712344978519e-66,5.77538221603126e-101,2.1420335222456387e-122
5.707298338622684e-22,0.0005284065757894736,0.1557,0.0,0.0015551005525470997,0.6423999999999994,0.2019,1.6750770864792488e-176,7.802884287659234e-144,3.7373290221892117e-50,1.3269237868534754e-183,1.2122724468331068e-104,1.0449893080646674e-144,1.3212491358798646e-15,9.280884035265963e-100,3.3185435914447547e-124,7.835119650264319e-144,3.2098363842793954e-84,1.3560778150173182e-175,6.64478153753257e-66,3.4990603177757828e-168,3.184281686656946e-184,2.0764942304804342e-76,9.499566809715356e-86,2.0970675502413545e-194,3.800519952174412e-106,2.429894627037297e-191,2.064451774813458e-26,2.0382471914942284e-83,6.123545211924248e-75,4.486442942467536e-199,9.499567109102314e-86,2.076494227879039e-65,9.280884035265963e-100,1.379409604494925e-120
