Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(49),H2X(48),COX(58),CHOX2(59),SX(51),CH3OX(44),CH2OX2(50),CH3X(53),CH4(39),H(23),CH4X(405),CH2OX(174),CHOX(173)
0.0,0.0005555851823910342,0.1557,0.0,0.0016350871917768135,0.6424,0.2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2812250570580542e-24,0.0005555851823910342,0.1557,0.0,0.0016350871917768105,0.6424,0.2019,-1.611286521582565e-188,1.848472569296803e-160,5.552465685602965e-51,2.44311771006176e-201,-2.4486243092751616e-114,-1.6181446809297446e-155,3.0413806970441603e-18,2.1598221717661043e-107,-4.43775138778153e-136,1.833726965379777e-160,1.6953516434488223e-89,-9.550585657118385e-191,3.405688294421186e-69,-5.529914651378766e-181,-4.696183082315245e-199,1.0642775920066224e-79,3.0273383605809594e-91,8.203486198054986e-209,-1.4004636830735873e-115,-9.426616676538593e-206,4.75215733913151e-29,2.013084143636089e-91,1.4390382337327061e-80,2.5656188899713883e-218,3.027338361152745e-91,1.0642775919997393e-68,2.1598221913923336e-107,-3.066574163886308e-132,4.431604927144094e-51,-1.9626229689246327e-115,6.783245339250137e-104,9.489145818334153e-115
3.587430159762552e-24,0.0005555851823910342,0.1557,0.0,0.001635087191776805,0.6424,0.2019,4.707489121821901e-187,8.605068646512156e-159,1.55469039196883e-50,2.0716199562754738e-199,2.4193975154831442e-113,2.7160804260658108e-154,8.515865951723615e-18,6.091044083838973e-106,7.448833112422201e-135,8.536424439371559e-159,2.012721471116335e-88,4.9265638040171296e-189,2.057035729830385e-68,1.615469086479714e-179,2.422474015829185e-197,6.428236655719983e-79,4.57491366289546e-90,3.8189131487391826e-207,1.383747740524363e-114,5.296840253205536e-204,1.3306040549568197e-28,4.503188703636966e-90,1.7084261905246926e-79,8.464892056307012e-217,4.574913664507989e-90,6.4282366556382555e-68,6.091044064447e-106,5.678183806979505e-131,2.6766807477385574e-50,1.939197089919064e-114,2.132760850396072e-102,5.465262106328507e-113
8.199840365171547e-24,0.0005555851823910342,0.1557,0.0,0.0016350871917767942,0.6424,0.2019,1.1527754667878298e-184,4.546124226839097e-156,3.553578038785898e-50,2.1651646362110543e-196,1.3344062126355436e-111,3.2017369551495878e-152,1.9464836461082376e-17,1.3249351374526016e-104,8.780743022137109e-133,4.5098589620359226e-156,1.9761018756756272e-87,2.464052577625881e-186,9.903741560176643e-68,3.955184140777089e-177,1.2116159620295951e-194,3.0949192375552324e-78,4.9214833468963574e-89,2.0175613117718293e-204,7.63198924467479e-113,2.7450822885787857e-201,3.041380697044146e-28,8.897542016194164e-89,1.6773429634942381e-78,5.036359317118765e-213,4.921483350403963e-89,3.09491923747499e-67,1.3249351267570602e-104,6.193592731539438e-129,1.2887046730339617e-49,1.0695541463351405e-112,4.758072132943434e-101,2.4508529188858352e-111
1.7424660775989537e-23,0.0005555851823910342,0.1557,0.0,0.0016350871917767723,0.6424,0.2019,1.8272361288535777e-182,1.5288927192602677e-153,7.551353332420033e-50,1.4570911865641327e-193,5.2517614148408436e-110,2.530824161647261e-150,4.136277747979932e-17,2.4562064705136464e-103,6.940768997858406e-131,1.5166964622832292e-153,1.7478397306006952e-86,7.817364335928176e-184,4.325224133914735e-67,6.266791017241862e-175,3.843929101317857e-192,1.3516325418483836e-77,4.5236910890455173e-88,6.78519689808678e-202,3.0036870522729588e-111,9.345722950468533e-199,6.462933981218753e-28,1.58327005882414e-87,1.4835908537854028e-77,4.60315828733646e-210,4.523691095548026e-88,1.3516325417774088e-66,2.4562064284196936e-103,4.895588823822762e-127,5.628108058575216e-49,4.209395267828956e-111,8.911342518305714e-100,9.220721221625123e-110
3.587430159762552e-23,0.0005555851823910342,0.1557,0.0,0.0016350871917767285,0.6424,0.2019,2.5902812943217206e-180,4.45735823733512e-151,1.5546903919688304e-49,8.498000042345113e-191,1.8555657519007256e-108,1.79107783310289e-148,8.515865951723085e-17,4.221591429730882e-102,4.9120194461274025e-129,4.4218010750716714e-151,1.4691646095136178e-85,2.2154610902812622e-181,1.8056959337019589e-66,8.87676902715435e-173,1.0893793600553854e-189,5.642799792818871e-77,3.870112961092609e-87,1.978167133937637e-199,1.0612703783294868e-109,2.7471271806543646e-196,1.3306040549567787e-27,2.670416357765577e-86,1.2470475020940833e-76,3.7541126091075606e-207,3.870112972268762e-87,5.642799792222278e-66,4.221591281003454e-102,3.4682298286867886e-125,2.3496235585741396e-48,1.487274283479441e-109,1.539212810406023e-98,3.1928430089463186e-108
7.277358324089748e-23,0.0005555851823910342,0.1557,0.0,0.001635087191776641,0.6424,0.2019,3.490329756070519e-178,1.2163038211961301e-148,3.153800509422484e-49,4.63833780182229e-188,6.233925118532067e-107,1.2043602909539402e-146,1.7275042359208449e-16,6.99697843141127e-101,3.3029503575830466e-127,1.2066011430557302e-148,1.2045099123648183e-84,5.962261062287042e-179,7.376857073246757e-66,1.1942360161187492e-170,2.9317437208630364e-187,2.3052678353898185e-76,3.1998842275913582e-86,5.397933295580293e-197,3.5654247564350354e-108,7.532055146944811e-194,2.699225368626511e-27,4.3861668467746014e-85,1.0224048798030885e-75,3.1181254689281745e-204,3.1998842461150126e-86,2.305267834900694e-65,6.996977931749294e-101,2.333394381828477e-123,9.598977366440437e-48,4.99661976655301e-108,2.557425104723008e-97,1.0622789798705741e-106
1.4657214652744141e-22,0.0005555851823910342,0.1557,0.0,0.0016350871917764657,0.6423999999999999,0.2019,4.5937483462608765e-176,3.2138437257652143e-146,6.352020744329791e-49,2.4513266329230944e-185,2.0435671203882227e-105,7.899128162530081e-145,3.479339517417543e-16,1.1392766287688871e-99,2.16633082184622e-125,3.188206306295464e-146,9.754433635139185e-84,1.5646517819771523e-176,2.981843574802803e-65,1.5668432704516936e-168,7.693655123194558e-185,9.318261171260447e-76,2.602092696446378e-85,1.4262977515692447e-194,1.1687956887392475e-106,1.9969549016126798e-191,5.4364679959656844e-27,7.110165342949606e-84,8.279699698255322e-75,2.751248982022324e-201,2.6020927266073466e-85,9.318261167299377e-65,1.1392764649727606e-99,1.5308403094780707e-121,3.8800598191902063e-47,1.6379612642442475e-106,4.169248379376151e-96,3.4656907826911907e-105
2.941692731005293e-22,0.0005555851823910342,0.1557,0.0,0.0016350871917761153,0.6423999999999996,0.2019,5.990129898468166e-174,8.358081167656301e-144,1.27484612141444e-48,1.27504707911899e-182,6.618433543316081e-104,5.117510097613886e-143,6.983010080409436e-16,1.8387973175133176e-98,1.4034738552733456e-123,8.29140722481106e-144,7.851217046153051e-83,4.055268840343213e-174,1.1989861868032815e-64,2.0303771104776015e-166,1.9940436743596223e-182,3.746831833761619e-75,2.0986820026109823e-84,3.7093005739867306e-192,3.785340111634975e-105,5.2124084471785315e-189,1.0910953250642854e-26,1.1450701676960809e-82,6.664222482213963e-74,2.5718388273260107e-198,2.098682051290907e-84,3.746831830573402e-64,1.8387967870321966e-98,9.919019736016013e-120,1.5601549268171556e-46,5.30481121295393e-105,6.733347262566359e-95,1.1197652132138762e-103
5.89363526246705e-22,0.0005555851823910342,0.1557,0.0,0.0016350871917754145,0.6423999999999993,0.2019,7.810821324874288e-172,2.1565530093562366e-141,2.5541342153773602e-48,6.579856353954832e-180,2.1306287550655565e-102,3.2952095094280063e-141,1.399035120638721e-15,2.9548987143022464e-97,9.03709090145712e-122,2.1393497913877092e-141,6.300107997820183e-82,1.0445645194320453e-171,4.8084708687564594e-64,2.6148807945031107e-164,5.1362988589623155e-180,1.5026471464874901e-74,1.6857754765946125e-83,9.570741363646767e-190,1.2185896310274618e-103,1.3526312260895065e-186,2.1859923759992495e-26,1.8380910811329276e-81,5.3476185991030524e-73,2.502777545172738e-195,1.685775554821943e-83,1.502647143929144e-63,2.954897006559284e-97,6.387378908252918e-118,6.256918930166971e-46,1.7077429633567055e-103,1.082365904789942e-93,3.600536332529147e-102
