Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(48),CH2O2X(49),CH3OX(44),CH3X(50),CH4(39),CH4X(236),CH3O2X(47),CH4O2(169),H(23),HCO(31),OCHCO(260),SX(257),CH2OX(167),CHOX(166),SX(186),C2H6O(234),SX(408),SX(460),C2H4O(229),SX(525),SX(419),SX(631),C2HOX(645)
0.0,0.002771910154243354,0.0915567593028733,0.0,0.008157731583938189,0.4515426283560999,0.0,0.4569006123410269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.115987393455069e-24,0.002771910154243354,0.0915567593028733,0.0,0.008157731583938186,0.4515426283560999,3.588501105448048e-86,0.4569006123410269,6.69900841473811e-85,1.2507780814907554e-97,3.9735233715937715e-48,2.737219754845234e-134,2.661707165349713e-180,1.847782950385401e-18,3.020592433431725e-48,2.6426545837653676e-59,2.4319608382775094e-74,3.0205924334581514e-48,7.56800838838762e-26,1.684823491257369e-64,3.2033785091212084e-48,3.3107145119149646e-42,8.57745602904159e-80,-4.501529108855155e-108,1.2768615116798032e-89,-1.588476710851879e-117,2.88716085997719e-18,5.317183634129731e-66,-3.371123948104843e-112,-2.367575330741964e-124,8.464699683734736e-151,6.172766464047682e-134,1.4077330608480056e-89,-3.2688281426353266e-115,1.0144522525987838e-51,4.726879031715438e-95,6.91420265492737e-199,-6.016417595765916e-112,2.5787589299411295e-100,1.4287888040647529e-97,4.923268634860541e-167,-1.0915359269100851e-231,-1.589067427212381e-208,-4.476138403535259e-221,3.508711903801443e-192,1.2129624103945482e-175,8.744691212105746e-185,2.131071075675581e-195,2.5966977103487787e-206
3.1247647016741932e-24,0.002771910154243354,0.0915567593028733,0.0,0.008157731583938175,0.4515426283560999,2.1674546676906213e-85,0.4569006123410269,3.878643788659033e-83,7.400157081326062e-96,1.1125865440462561e-47,1.625099655244137e-130,1.8007164278486524e-177,5.173792261079114e-18,1.8244378297927587e-47,3.137359521791739e-58,7.646473444374913e-73,1.824437829824132e-47,2.119042348748532e-25,2.0002169999378788e-63,1.93484061921058e-47,1.9996715651966282e-41,2.696889198334062e-78,2.3327772475252094e-106,1.9295930482897346e-88,1.569516617506056e-116,8.08405040793612e-18,3.2115789213603793e-65,1.746980017533714e-110,2.1847841530133031e-122,2.3829829865453745e-148,9.735031826852655e-132,2.1273661277415878e-88,3.2298113400717063e-114,6.127289435549885e-51,1.0573811801851265e-93,8.993447656659558e-197,5.9446055016366196e-111,1.567885007574477e-98,4.492340524177771e-96,3.621350228440001e-164,8.121204917639281e-229,1.0788605863524895e-204,1.7995673713543448e-218,8.5244685945983e-189,1.6341945991446861e-172,1.1586756371579469e-181,5.084753358973989e-192,1.1154933004161543e-202
7.142319318112442e-24,0.002771910154243354,0.0915567593028733,0.0,0.008157731583938158,0.4515426283560999,1.0435361214642925e-84,0.4569006123410269,1.7422607084471789e-81,3.329618850073361e-94,2.5430549578200137e-47,7.216265464116863e-128,5.782534638879562e-174,1.1825810882466512e-17,8.783882796419414e-47,3.0802781827551277e-57,1.7058861585202945e-71,8.78388279672744e-47,4.843525368568066e-25,1.9638220876329376e-62,9.315424700045027e-47,9.627557800648566e-41,6.016611428784472e-77,2.4483446113238367e-104,2.075768143857877e-87,8.656587900846543e-115,1.8477829503853933e-17,1.546237017604029e-64,1.833526580401624e-108,4.657584851312199e-120,2.3025441888074037e-145,4.650889865138302e-129,2.288523400303675e-87,1.7813857758635962e-112,2.950025631454518e-50,2.089203934253475e-92,1.992464589978977e-194,3.278716484211373e-109,7.077404913114247e-97,1.0022164580566118e-94,4.7739436342933804e-161,1.3767485180436345e-224,1.268812341892969e-200,1.42751655533047e-214,4.3847587579725944e-185,4.203228567764936e-169,3.0537646344637705e-178,2.6796244755396662e-188,1.1755500108032744e-198
1.517742855098894e-23,0.002771910154243354,0.0915567593028733,0.0,0.008157731583938123,0.4515426283560999,4.5573964039190215e-84,0.4569006123410269,6.57495418732985e-80,1.2549419283520073e-92,5.403991785367529e-47,2.403955875766944e-125,9.007385725549487e-171,2.5129848125241198e-17,3.8361523904582496e-46,2.724471169594175e-56,3.1949359808417954e-70,3.836152390730695e-46,1.029249140820711e-24,1.7369771793759716e-61,4.0682907019551704e-46,4.204607430131848e-40,1.126844732640209e-75,1.9547434105009177e-102,1.907988546383498e-86,3.406933653346974e-113,3.926538769568938e-17,6.752823540426599e-64,1.4638764422212995e-106,7.448864178983869e-118,1.5653853213904591e-142,1.579475521937417e-126,2.103547286965542e-86,7.010918415307023e-111,1.2883536012490768e-49,3.717624038799989e-91,3.2933116903580995e-192,1.2903894303149656e-107,2.672229856396844e-95,1.877040508515057e-93,3.5649070084381047e-158,1.1810205657857853e-220,8.056849103854512e-197,4.836691410504035e-211,1.3104214295897242e-181,6.279577760090162e-166,4.5620757073060745e-175,8.007441932029327e-185,7.026230971647949e-195
3.124764701674194e-23,0.002771910154243354,0.0915567593028733,0.0,0.008157731583938056,0.4515426283560998,1.9026232861085557e-83,0.4569006123410269,2.2810167706567213e-78,4.3497261820018834e-91,1.112586544046256e-46,7.022635725461239e-123,1.1285946511401527e-167,5.173792261079012e-17,1.601518108205464e-45,2.2900821797415146e-55,5.518457383548379e-69,1.6015181084344708e-45,2.1190423487485086e-24,1.46003347621139e-60,1.698431281370177e-45,1.7553408342171742e-39,1.9463440466530607e-74,1.3923891054006592e-100,1.6323243701106422e-85,1.2037464977142651e-111,8.084050407935955e-17,2.8191713284877544e-63,1.0427381929097825e-104,1.061998077238165e-115,9.191054296284829e-140,4.634839575945659e-124,1.7996289992168524e-85,2.4771155990571485e-109,5.378622479551165e-49,6.270314026984622e-90,4.765706731589342e-190,4.559236884186556e-106,9.271153846439993e-94,3.242120691685481e-92,2.1843947984267865e-155,1.129227715797911e-216,4.0663105249497257e-193,1.2548416150364084e-207,3.2125866209310114e-178,7.69660105176578e-163,5.591638953237416e-172,1.9630540515950705e-181,3.445139342135515e-191
6.338808394824793e-23,0.002771910154243354,0.0915567593028733,0.0,0.008157731583937919,0.4515426283560997,7.772836934444692e-83,0.4569006123410269,7.596680590113373e-77,1.447912467422667e-89,2.2569612750652626e-46,1.9205638723846834e-120,1.2759589109861353e-164,1.0495407158188617e-16,6.542724034510148e-45,1.8775477318873832e-54,9.168999482060075e-68,6.542724036387684e-45,4.298628764604065e-24,1.1970234486174387e-59,6.938645950625721e-45,7.171140061387103e-39,3.233879735317846e-73,9.393569428705051e-99,1.3496373530368327e-84,4.04408495360767e-110,1.6399073684669702e-16,1.1517241854354337e-62,7.034695684907588e-103,1.4334954127095032e-113,5.03374973623676e-137,1.2689126323521814e-121,1.4879680711547853e-84,8.322072765313909e-108,2.1973427444534398e-48,1.0299007724855616e-88,6.478015882705398e-188,1.5317129743118254e-104,3.0876767807467395e-92,5.386832020084256e-91,1.2210400092101276e-152,1.46927579426215e-212,1.844575720152137e-189,2.8828881278967535e-204,7.184136814212992e-175,8.605278526270594e-160,6.251757118275655e-169,4.389775351250515e-178,1.540832244864552e-187
1.2766895781125992e-22,0.002771910154243354,0.0915567593028733,0.0,0.008157731583937646,0.4515426283560995,3.14190496587283e-82,0.4569006123410269,2.479680512895799e-75,4.7250279979960324e-88,4.5457107371032774e-46,5.081768112879814e-118,1.3722496928833445e-161,2.113863695240711e-16,2.644673663906028e-44,1.5204868319935018e-53,1.4947783304082773e-66,2.644673665426505e-44,8.65780159631501e-24,9.69380536777945e-59,2.8047116178906635e-44,2.898689469477147e-38,5.272040130826885e-72,6.171191698010998e-97,1.0975026776598123e-83,1.3257071438306188e-108,3.3029120238136027e-16,4.655464852876979e-62,4.6215079500759664e-101,1.8838771168839338e-111,2.6648512335511295e-134,3.3584013389921374e-119,1.2099909453727677e-83,2.728090901252706e-106,8.882010620801467e-48,1.6695133746334726e-87,8.542264547585485e-186,5.021167595693175e-103,1.0078687139354038e-90,8.781895761924422e-90,6.529117425426496e-150,2.2859575722311635e-208,7.946665906131581e-186,6.24837665713016e-201,1.5367120439116486e-171,9.203237799871062e-157,6.686125141082915e-166,9.389739061743543e-175,6.591754072716139e-184
2.5623070553728384e-22,0.002771910154243354,0.0915567593028733,0.0,0.008157731583937101,0.45154262835609904,1.2633461681774144e-81,0.4569006123410269,8.01389750459052e-74,1.5268528935360022e-86,9.123209661179367e-46,1.3225979664139023e-115,1.4398954463902067e-158,4.242509654084123e-16,1.0634116485591689e-43,1.2238200817523744e-52,2.4140710003521954e-65,1.0634116497829813e-43,1.7376147259736253e-23,7.802417495888627e-58,1.1277621941170735e-43,1.165550286776919e-37,8.51435880691565e-71,4.001352686046562e-95,8.851756634590585e-83,4.2935240962587104e-107,6.628921334506405e-16,1.8719605704885082e-61,2.996549825895121e-99,2.4432319583177463e-109,1.3872982203257922e-131,8.741259424559887e-117,9.7590156699031e-83,8.835378295677307e-105,3.5714173906901106e-47,2.6886996745734056e-86,1.1097140141614175e-183,1.6261890238275614e-101,3.2572570924920775e-89,1.41827851245276e-88,3.4158629150915e-147,3.74290186333845e-204,3.3377249599653296e-182,1.3161868894569424e-197,3.215998264825684e-168,9.630033292360779e-154,6.996160363733954e-163,1.9650484467513135e-171,2.759008093687543e-180
5.133542009893317e-22,0.002771910154243354,0.0915567593028733,0.0,0.00815773158393601,0.45154262835609815,5.0665831797757295e-81,0.4569006123410269,2.5771492152721036e-72,4.9098168173175845e-85,1.827820750933258e-45,3.4139272610073325e-113,1.4925101056347808e-155,8.499801571769799e-16,4.264756333206011e-43,9.820385421087875e-52,3.880548640232341e-64,4.264756343026334e-43,3.481283858657612e-23,6.260948406359377e-57,4.522830707195406e-43,4.67437795507929e-37,1.3686582831965408e-69,2.577569562244773e-93,7.110212214283903e-82,1.3821859719180897e-105,1.3280939955890153e-15,7.507698388151038e-61,1.9303011660192703e-97,3.1478970958321277e-107,7.16219400062714e-129,2.256355306289432e-114,7.838972660235565e-82,2.844315268743485e-103,1.4322981061269927e-46,4.315958255359935e-85,1.4309584335885328e-181,5.235083357617244e-100,1.0474850007666665e-87,2.279841291133228e-87,1.7678511233988287e-144,6.174337309970037e-200,1.3843592350017089e-178,2.7336119219280257e-194,6.657787155049464e-165,9.968017469485287e-151,7.241694318865489e-160,4.0680469138327034e-168,1.1423437030392253e-176
