Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(51),H2X(50),COX(60),CHOX2(61),SX(53),CH3OX(46),CH3X(55),CH4(41),CH2OX2(52),CHX(32),SX(406),SX(420)
9.964890083380974e-22,0.0005284065757894736,0.1557,0.0,0.0015551005525445945,0.6423999999999989,0.2018999999999985,1.2590779274861021e-89,3.684275644089213e-124,6.525341887162047e-50,2.534209895528878e-134,1.9643660071790397e-103,4.060449950370907e-135,2.3068887642824657e-15,3.974437980688639e-67,5.154410653778664e-105,3.699496164716776e-124,1.5195762377715226e-15,3.85006543343478e-95,5.551725753713752e-46,8.726097994782774e-124,4.561223250708805e-127,3.0056769195109543e-71,5.0533311330215996e-85,1.3887573264005002e-169,6.158361697610414e-105,8.86489926868325e-74,3.6045136941972666e-26,6.832142263965934e-31,2.660269771390082e-51,1.4921442829129765e-149,5.0533313981510414e-85,8.613716104486093e-99,3.899618231983632e-119,6.3274301354507435e-65,3.9744388671785656e-67,5.6470180432407204e-117,9.986529252561826e-135
1.9938437760231437e-21,0.0005284065757894736,0.1557,0.0,0.0015551005525407647,0.6423999999999978,0.20189999999999697,1.6142580913571193e-87,1.890290489388318e-121,1.3056353054851506e-49,6.498239799607055e-132,6.295380593999495e-102,5.211459082428095e-133,4.615781775955749e-15,1.2733492519203767e-65,6.608533103376527e-103,1.898099678527702e-121,3.040472698159502e-15,4.936216102298201e-93,4.445883250668e-45,4.477096893599153e-121,2.3401950678984022e-124,9.632386136958073e-70,4.046763268883767e-84,1.4250413187663148e-166,1.9736256166227688e-103,5.682750446422857e-72,7.212159024954532e-26,2.7346371363014086e-30,4.2613840555651283e-50,7.652359469298473e-147,4.046763550616376e-84,1.3796915317946165e-97,2.4996130256296277e-117,2.5327763785925235e-64,1.2733498201954214e-65,2.9000600134282525e-114,2.0523514029080371e-131
3.988553311393236e-21,0.0005284065757894736,0.1557,0.0,0.001555100552533105,0.6423999999999954,0.20189999999999392,2.0679398477377849e-85,9.688387094655865e-119,2.6118375390230126e-49,1.6649150022376587e-129,2.0160295616364564e-100,6.679696729095476e-131,9.233567799256808e-15,4.077164434510606e-64,8.46589440040799e-101,9.728411867300444e-119,6.0822656189192165e-15,6.323564338105717e-91,3.5585085398207923e-44,2.294665407994316e-118,1.1994223551751998e-121,3.084661986237461e-68,3.239052394816074e-83,1.4607561594531288e-163,6.320328894255283e-102,3.639910656244853e-70,1.4427449686433496e-25,1.0942108358750878e-29,6.822176563056848e-49,3.921230666678799e-144,3.2390510145943677e-83,2.2087057414043856e-96,1.600988548408426e-115,1.0144354968056224e-63,4.0771680744212616e-64,1.4870842546634282e-111,4.2105122093800065e-128
7.977972382133422e-21,0.0005284065757894736,0.1557,0.0,0.0015551005525177859,0.6423999999999908,0.20189999999998784,2.648042932277438e-83,4.963037940605173e-116,5.224242006098619e-49,4.2639289589970296e-127,6.4537658418702305e-99,8.555844046981293e-129,1.84691398456769e-14,1.3050833229160383e-62,1.084080152140868e-98,4.983541298095685e-116,1.2165851460373675e-14,8.097491257869102e-89,2.847527783658284e-43,1.1754803210972326e-115,6.14422089521389e-119,9.874605916808293e-67,2.591922702149432e-82,1.496589094428743e-160,2.0232799921044035e-100,2.330485735393894e-68,2.885803100924917e-25,4.3775540774970443e-29,1.0918645325825389e-47,2.0084944304855935e-141,2.5918970426695165e-82,3.5349195729949575e-95,1.02503720232766e-113,4.1221098409203754e-63,1.3050856534017735e-62,7.619645440328578e-109,8.630607924719285e-125
1.5956810523613793e-20,0.0005284065757894736,0.1557,0.0,0.0015551005524871476,0.6423999999999815,0.20189999999997568,3.3901814480622476e-81,2.5417334939220484e-113,1.0449050940249362e-48,1.0917893517168899e-124,2.065901159900564e-97,1.0956242153434197e-126,3.6940283937788994e-14,4.1768859418544446e-61,1.387905932949328e-96,2.5522339314610613e-113,2.433302314302269e-14,1.036690519292057e-86,2.2783106430439852e-42,6.020014555754919e-113,3.146650542889892e-116,3.160464369950727e-65,2.0741214687399807e-81,1.5329039442581176e-157,6.476678318332053e-99,1.4918105434318008e-66,5.771919365431149e-25,1.7511627237891426e-28,1.7472338000988862e-46,1.0285601982456834e-138,2.0737801730465318e-81,5.657461995560832e-94,6.56244525035142e-112,2.0567835924987556e-62,4.1769008599598795e-61,3.902737016137966e-106,1.7683144005060322e-121
3.1914486806574534e-20,0.0005284065757894736,0.1557,0.0,0.001555100552425871,0.6423999999999631,0.20189999999995134,4.3398592966068285e-79,1.3015323663644781e-110,2.0898668808548967e-48,2.7952891859591815e-122,6.62742081628744e-96,1.4048142525757162e-124,7.388257211910082e-14,1.3366988058336188e-59,1.7766959308872736e-94,1.3069092711621154e-110,4.8667366507281136e-14,1.3270955786271267e-84,1.8227638886233773e-41,3.082634430385308e-110,1.6112877198448873e-113,1.0114430987000473e-63,1.6635188977254862e-80,1.56990928802008e-154,2.0777218842971093e-97,9.548519228698097e-65,1.1544151894216e-24,7.004924577647097e-28,2.795766472448794e-45,5.266812174758712e-136,1.6591293459954142e-80,9.073689947546811e-93,4.210033850292681e-110,3.432945748660694e-61,1.3367083543528475e-59,1.9985796542326984e-103,3.6222909051717273e-118
6.382983937249602e-20,0.0005284065757894736,0.1557,0.0,0.0015551005523033177,0.6423999999999261,0.20189999999990269,5.5552615608402046e-77,6.664230042806472e-108,4.179790454514066e-48,7.156913616922366e-120,2.202412279672013e-94,1.8429481777018066e-122,1.4776714847007489e-13,4.2775643931910444e-58,2.2742707962300756e-92,6.6917613818967654e-108,9.733605323163969e-14,1.6987570385002153e-82,1.4582572643849114e-40,1.5783963850617887e-107,8.250264725876564e-111,3.2367691348843487e-62,1.383570223929436e-79,1.6078273693363056e-151,6.904666391389157e-96,6.111315514976864e-63,2.308861695087525e-24,2.802017758016844e-27,4.473354475964658e-44,2.6969819281874918e-133,1.3273479373901793e-79,1.5059703124236168e-91,2.7935464237691722e-108,1.8079159293416505e-59,4.277625506346194e-58,1.0233693387182115e-100,7.419247629294225e-115
1.2766054450433899e-19,0.0005284065757894736,0.1557,0.0,0.0015551005520582112,0.6423999999998523,0.20189999999980535,7.110808408186633e-75,3.412145631010403e-105,8.359637601829408e-48,1.8335417135982617e-117,1.1222958434111726e-92,3.2732740108459785e-120,2.955363011254249e-13,1.3688255820553893e-56,2.9110977090591128e-90,3.4262419226351913e-105,1.9467342666372343e-13,2.1744322304296497e-80,1.1666242811367657e-39,8.081495704788579e-105,4.224207936234054e-108,1.0357903258448278e-60,1.7816436302589094e-78,1.647658070309178e-148,3.5185455351144087e-94,3.911281397834422e-61,4.617754706055194e-24,1.1208112403135287e-26,7.157387100479644e-43,1.3819175383387312e-130,1.0619265528309e-78,3.7954305951653545e-90,2.8016935886739773e-106,1.1415073965671915e-57,1.3688646948693676e-56,5.239895139841273e-98,1.5195409360596833e-111
2.553219547680249e-19,0.0005284065757894736,0.1557,0.0,0.001555100551567998,0.6423999999997045,0.20189999999961067,9.10167437331482e-73,1.7469944203660566e-102,1.6719331896448412e-47,4.721485716120469e-115,2.4968117728539225e-90,2.2913249012977095e-117,5.910746062497324e-13,4.3801503815564286e-55,3.7261407098874256e-88,1.7542116206709523e-102,3.893481734613572e-13,2.7832251761837995e-78,9.33306838688575e-39,4.1376322250016455e-102,2.162763500748718e-105,3.314567856518922e-59,1.0062491375229447e-76,1.6971266768223065e-145,7.82814017224323e-92,2.5031754324307376e-59,9.235540726533808e-24,4.4832096494016197e-26,1.1451571132272072e-41,7.118228764662978e-128,8.499498864302959e-78,4.155063436718814e-88,1.2174391112357838e-103,7.299287177691068e-56,4.380400699099671e-55,2.6828856802649872e-95,3.1120906197954736e-108
5.1064477529539675e-19,0.0005284065757894736,0.1557,0.0,0.001555100550587572,0.642399999999409,0.2018999999992213,1.1649509387423073e-70,8.944145582865765e-100,3.343872048565245e-47,1.2653627167022805e-112,1.1743827491018777e-87,4.127847112742556e-114,1.1821512157527767e-12,1.4015698463992736e-53,4.7692032638040734e-86,8.981095710917748e-100,7.786976667904904e-13,3.5623363393859014e-76,7.466485199335787e-38,2.1183200890518733e-99,1.1072763053009945e-102,1.0606680395964304e-57,1.1860511978831696e-74,1.8192601796722286e-142,3.682011241775953e-89,1.6019446563457166e-57,1.847111276166415e-23,1.7932419299426702e-25,1.832146991839636e-40,3.820182993541737e-125,6.851072502068205e-77,9.747103724935045e-86,1.140956183857464e-100,4.6710368741327996e-54,1.4017300408649085e-53,1.3736494947974365e-92,6.373592696426481e-105
1.0212904163501404e-18,0.0005284065757894736,0.1557,0.0,0.0015551005486267198,0.6423999999988179,0.2018999999984426,1.490960681839995e-68,4.578869689405757e-97,6.687749766465213e-47,4.400556279635922e-110,5.979438693182586e-85,8.381387695088261e-111,2.3643044317765843e-12,4.4844910436793105e-52,6.103863917822554e-84,4.5977859403604553e-97,1.5573966523842192e-12,4.559255315763649e-74,5.973203036576152e-37,1.0844154980485123e-96,5.668585760629997e-100,3.394149331851476e-56,1.5099567931248657e-72,2.5301993920489612e-139,1.874718418584183e-86,1.0251226958552008e-55,3.6942256808617243e-23,7.172604944104587e-25,2.9310812191530988e-39,2.675862604698891e-122,6.139387015737364e-76,2.480966866887604e-83,1.161549847466845e-97,2.989095288306852e-52,4.485516166375166e-52,7.033084380614008e-90,1.305298145153563e-101
2.0425816984596278e-18,0.0005284065757894736,0.1557,0.0,0.0015551005447050155,0.6423999999976358,0.2018999999968852,1.9079687633333588e-66,2.3438216613191024e-94,1.3375505208924095e-46,3.5045026720682387e-107,3.060259050458239e-82,1.7155046938852663e-107,4.7286108518950704e-12,1.4346913988816769e-50,7.811075624188952e-82,2.3535044562906546e-94,3.1147946193135272e-12,5.834448887907463e-72,4.778576974552128e-36,5.550490616498674e-94,2.901613492091788e-97,1.086131548256702e-54,1.931997414643324e-70,8.056710020892665e-136,9.594753709967009e-84,6.55919438073673e-54,7.388454480929319e-23,2.868746327463964e-24,4.6885815920512676e-38,4.318555476820249e-119,1.3340580377811743e-74,6.348686223473927e-81,1.1889363882766373e-94,1.9125529366905845e-50,1.4353473183197509e-50,3.600907708232862e-87,2.6731687293840202e-98
